symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CERC,2016-06-30,False,Q2,2016,10-Q,650488.0,-3488037.0,-3524160.0,-0.41,-0.41,0.0,13171784.0,13130827.0,6585579.0,11879545.0,5570973.0,-7426226.0,-19157.0,-1837039.0,,,19157.0
CERC,2016-12-31,False,FY,2016,10-K,1152987.0,-16080047.0,-16471603.0,-1.87,-1.87,0.0,5768865.0,5662794.0,4311863.0,5127958.0,207002.0,-14573138.0,-34883.0,-1425988.0,,,34883.0
CERC,2017-03-31,False,Q1,2017,10-Q,384206.0,-1899129.0,-2000000.0,-0.19,-0.19,0.0,3560770.0,3458722.0,2736528.0,3001553.0,-425758.0,-2200000.0,-1801.0,120959.0,,,1801.0
CERC,2016-09-30,False,Q3,2016,10-Q,321497.0,-5963296.0,-6168725.0,-0.7,-0.7,0.0,9582732.0,9492338.0,7495905.0,8815177.0,586827.0,-10860184.0,-25646.0,-1460960.0,,,25646.0
CERC,2016-03-31,False,Q1,2016,10-Q,,-4942366.0,-5140013.0,-0.59,-0.59,0.0,16929341.0,16892014.0,6172010.0,16601641.0,8881022.0,-3706560.0,-8898.0,-844868.0,,,8898.0
CERC,2018-09-30,False,Q3,2018,10-Q,4074786.0,-24228471.0,-24603575.0,-0.71,-0.71,0.0,67612205.0,18473176.0,24911549.0,6838353.0,19507905.0,-1152446.0,1364818.0,4237244.0,,16411123.0,65057.0
CERC,2015-12-31,False,FY,2015,10-K,,-11009947.0,-10490103.0,-4.71,-4.71,0.0,21657565.0,21622349.0,5849818.0,21161967.0,13083727.0,-10163380.0,-19984.0,19602982.0,,,19984.0
CERC,2015-09-30,False,Q3,2015,10-Q,,-1959033.0,-691081.0,-0.15,-0.15,0.0,5451371.0,3413051.0,6654161.0,3307992.0,-32850981.0,-6615100.0,-19984.0,-1799273.0,,,19984.0
CERC,2017-06-30,False,Q2,2017,10-Q,157800.0,-1774995.0,-1798515.0,-0.14,-0.14,0.0,6047731.0,5951535.0,1662236.0,5500000.0,3135495.0,-3997720.0,-1801.0,4332262.0,,,1801.0
CERC,2017-09-30,False,Q3,2017,10-Q,25037592.0,21921159.0,18720610.0,0.52,0.52,0.0,28203549.0,28106519.0,4833197.0,24000000.0,22120352.0,15109778.0,-7990.0,3725651.0,,,7990.0
CERC,2017-12-31,False,FY,2017,10-K,27813137.0,13889982.0,7772084.0,0.42,0.42,0.0,43124094.0,10991367.0,11406437.0,2500000.0,27859608.0,12519405.0,-18912257.0,3737081.0,,14292282.0,23325.0
CERC,2018-06-30,False,Q2,2018,10-Q,4785138.0,-5739397.0,-6007476.0,-0.19,-0.19,0.0,62145214.0,11838311.0,19045320.0,2200000.0,19219417.0,-600000.0,-25932.0,398873.0,,18070283.0,25931.0
CERC,2018-03-31,False,Q1,2018,10-Q,4482775.0,-3491767.0,-3900000.0,-0.12,-0.12,0.0,65360857.0,13392727.0,14788520.0,2523927.0,24582975.0,-280423.0,-19225.0,363390.0,15377754.0,18678495.0,19224.0
