symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CETV,2018-12-31,False,FY,2018,10-K,703906000.0,177587000.0,103322000.0,0.45,0.42,0.0,1488361000.0,374093000.0,139692000.0,62031000.0,229321000.0,109024000.0,-24540000.0,-182362000.0,788230000.0,676333000.0,24583000.0
CETV,2011-03-31,False,Q1,2011,10-Q,172772000.0,-7665000.0,-21114000.0,-0.33,-0.33,0.0,3121803000.0,595625000.0,302220000.0,216768000.0,1338970000.0,30172000.0,-6393000.0,-57207000.0,,1325384000.0,5590000.0
CETV,2011-06-30,False,Q2,2011,10-Q,249656000.0,39473000.0,968000.0,0.02,0.02,0.0,3173427000.0,627067000.0,323959000.0,197505000.0,1366541000.0,29050000.0,-23074000.0,-59755000.0,1406422000.0,1353694000.0,14321000.0
CETV,2010-06-30,False,Q2,2010,10-Q,201726000.0,25452000.0,165169000.0,2.59,2.59,0.0,2736262000.0,646938000.0,259267000.0,315257000.0,1151302000.0,-23005000.0,-433696000.0,34936000.0,,1100733000.0,17015000.0
CETV,2010-12-31,False,FY,2010,10-K,737134000.0,22877000.0,100175000.0,1.57,1.57,0.0,2940550000.0,612085000.0,243076000.0,244050000.0,1247752000.0,-49614000.0,-456770000.0,7338000.0,,1221302000.0,45987000.0
CETV,2010-09-30,False,Q3,2010,10-Q,134354000.0,-25345000.0,3416000.0,0.05,0.05,0.0,3040629000.0,644887000.0,232008000.0,302905000.0,1310121000.0,-41439000.0,-443748000.0,43040000.0,,1265447000.0,32476000.0
CETV,2011-09-30,False,Q3,2011,10-Q,165472000.0,-12910000.0,-82074000.0,-1.27,-1.27,0.0,2874498000.0,499985000.0,263536000.0,167417000.0,1175816000.0,17246000.0,-30078000.0,-64667000.0,1342511000.0,1246641000.0,21932000.0
CETV,2013-03-31,False,Q1,2013,10-Q,137042000.0,-34999000.0,-108280000.0,-1.22,-1.22,0.0,2035184000.0,448687000.0,285841000.0,123103000.0,525316000.0,-875000.0,-10063000.0,-962000.0,1173149000.0,799208000.0,10230000.0
CETV,2011-12-31,False,FY,2011,10-K,864782000.0,6792000.0,-174611000.0,-2.71,-2.71,0.0,2681769000.0,538289000.0,255575000.0,186386000.0,1017942000.0,29638000.0,-42698000.0,-38168000.0,1324369000.0,1095193000.0,34192000.0
CETV,2012-09-30,False,Q3,2012,10-Q,140092000.0,-18401000.0,-32049000.0,-0.36,-0.36,0.0,2754858000.0,592097000.0,280656000.0,125658000.0,1114457000.0,-56900000.0,-21081000.0,14633000.0,1312233000.0,1118638000.0,21382000.0
CETV,2012-06-30,False,Q2,2012,10-Q,211222000.0,23650000.0,3956000.0,0.06,0.06,0.0,2597723000.0,524414000.0,379268000.0,124814000.0,1043653000.0,-48193000.0,-11149000.0,-1533000.0,1216028000.0,1068381000.0,11340000.0
CETV,2013-06-30,False,Q2,2013,10-Q,180245000.0,-5669000.0,-41204000.0,-0.34,-0.34,0.0,2100319000.0,500421000.0,301360000.0,144523000.0,625455000.0,-39230000.0,-14544000.0,61472000.0,923474000.0,809489000.0,14808000.0
CETV,2012-03-31,False,Q1,2012,10-Q,167433000.0,-10303000.0,-13392000.0,-0.21,-0.21,0.0,2773252000.0,513207000.0,376873000.0,150032000.0,1071592000.0,-33065000.0,-7177000.0,-1251000.0,1363555000.0,1167538000.0,7339000.0
CETV,2012-12-31,False,FY,2012,10-K,772085000.0,-488193000.0,-535680000.0,-6.96,-6.96,0.0,2174715000.0,518551000.0,291364000.0,140393000.0,631267000.0,-30027000.0,-32426000.0,11896000.0,1220791000.0,836538000.0,32732000.0
CETV,2013-09-30,False,Q3,2013,10-Q,135838000.0,-44967000.0,-26876000.0,-0.16,-0.16,0.0,2119700000.0,457045000.0,313338000.0,122880000.0,600131000.0,-56466000.0,-20667000.0,60115000.0,948064000.0,841053000.0,20913000.0
CETV,2015-03-31,False,Q1,2015,10-Q,126133000.0,-17239000.0,-77415000.0,-0.53,-0.53,0.0,1434895000.0,335996000.0,454149000.0,53289000.0,95547000.0,30755000.0,-7429000.0,-851000.0,848115000.0,607847000.0,7481000.0
CETV,2014-03-31,False,Q1,2014,10-Q,153050000.0,-14394000.0,-51760000.0,-0.33,-0.33,0.0,1954781000.0,459719000.0,353298000.0,112386000.0,390147000.0,18257000.0,-8913000.0,-1393000.0,966602000.0,783390000.0,8982000.0
CETV,2013-12-31,False,FY,2013,10-K,691034000.0,-183121000.0,-285541000.0,-2.21,-2.21,0.0,1961873000.0,451057000.0,316010000.0,104996000.0,441001000.0,-64198000.0,-30136000.0,59321000.0,965448000.0,782870000.0,30449000.0
CETV,2014-12-31,False,FY,2014,10-K,680793000.0,38280000.0,-243464000.0,-1.66,-1.66,0.0,1619360000.0,374869000.0,450527000.0,34298000.0,277182000.0,-65242000.0,-28548000.0,38995000.0,874099000.0,681398000.0,28685000.0
CETV,2014-09-30,False,Q3,2014,10-Q,140149000.0,-8640000.0,-56215000.0,-0.38,-0.38,0.0,1753771000.0,365579000.0,257034000.0,72681000.0,407596000.0,-18417000.0,-20214000.0,15155000.0,806873000.0,714824000.0,20376000.0
CETV,2015-06-30,False,Q2,2015,10-Q,166834000.0,36441000.0,-12942000.0,-0.09,-0.09,0.0,1482253000.0,348712000.0,451567000.0,38013000.0,122996000.0,41522000.0,-14388000.0,-27353000.0,878641000.0,636267000.0,14462000.0
CETV,2015-09-30,False,Q3,2015,10-Q,117322000.0,28853000.0,-25913000.0,-0.18,-0.18,0.0,1476915000.0,334044000.0,431368000.0,61781000.0,102411000.0,79085000.0,-26219000.0,-27664000.0,887587000.0,639177000.0,26344000.0
CETV,2014-06-30,False,Q2,2014,10-Q,204870000.0,22573000.0,-56397000.0,-0.36,-0.36,0.0,1961136000.0,456042000.0,309154000.0,87824000.0,565289000.0,-16916000.0,-14054000.0,15940000.0,827756000.0,777147000.0,14199000.0
CETV,2016-03-31,False,Q1,2016,10-Q,129000000.0,7763000.0,-44945000.0,-0.31,-0.31,0.0,1494798000.0,363933000.0,186268000.0,98419000.0,52085000.0,39658000.0,-6076000.0,-682000.0,946887000.0,650785000.0,6076000.0
CETV,2016-06-30,False,Q2,2016,10-Q,175206000.0,43891000.0,-145757000.0,-0.98,-0.98,0.0,1421953000.0,333383000.0,163199000.0,46442000.0,-101694000.0,17549000.0,-11255000.0,-23970000.0,1054600000.0,632740000.0,11287000.0
CETV,2017-03-31,False,Q1,2017,10-Q,135002000.0,12268000.0,-13422000.0,-0.09,-0.09,0.0,1420280000.0,357974000.0,194420000.0,90959000.0,-115736000.0,54952000.0,-7601000.0,-93000.0,1018304000.0,610282000.0,7707000.0
CETV,2016-12-31,False,FY,2016,10-K,638013000.0,111589000.0,-193992000.0,-1.28,-1.28,0.0,1390717000.0,340420000.0,171564000.0,43459000.0,-106532000.0,33917000.0,-29356000.0,-22743000.0,1003522000.0,602069000.0,29567000.0
CETV,2016-09-30,False,Q3,2016,10-Q,126706000.0,8384000.0,-21991000.0,-0.14,-0.14,0.0,1444236000.0,332727000.0,196578000.0,64229000.0,-116344000.0,42564000.0,-19734000.0,-23395000.0,1060928000.0,639073000.0,19847000.0
CETV,2017-09-30,False,Q3,2017,10-Q,119431000.0,16022000.0,-10199000.0,-0.07,-0.07,0.0,1572690000.0,423318000.0,215528000.0,67034000.0,-59336000.0,90638000.0,-16250000.0,-57782000.0,1069578000.0,693142000.0,16389000.0
CETV,2015-12-31,False,FY,2015,10-K,605841000.0,94583000.0,-132173000.0,-0.9,-0.9,0.0,1454201000.0,358284000.0,146308000.0,61679000.0,78641000.0,85877000.0,-30426000.0,-28906000.0,923460000.0,622243000.0,33517000.0
CETV,2018-03-31,False,Q1,2018,10-Q,139182000.0,20945000.0,3240000.0,0.02,0.01,0.0,1649926000.0,468723000.0,217335000.0,74264000.0,13687000.0,66525000.0,-4085000.0,-60447000.0,1057761000.0,734222000.0,4098000.0
CETV,2017-06-30,False,Q2,2017,10-Q,181856000.0,50823000.0,15154000.0,0.1,0.07,0.0,1558386000.0,403010000.0,182172000.0,95359000.0,-58542000.0,56770000.0,-14581000.0,1897000.0,1090378000.0,667159000.0,14698000.0
CETV,2017-12-31,False,FY,2017,10-K,574212000.0,129949000.0,21861000.0,0.14,0.12,0.0,1628055000.0,464774000.0,188264000.0,54903000.0,-5770000.0,95321000.0,-24742000.0,-58154000.0,1088674000.0,712359000.0,24905000.0
CETV,2018-09-30,False,Q3,2018,10-Q,123522000.0,20966000.0,48247000.0,0.18,0.18,0.0,1471456000.0,371585000.0,162737000.0,56003000.0,188599000.0,84934000.0,-12078000.0,-180520000.0,793553000.0,690016000.0,12098000.0
CETV,2018-06-30,False,Q2,2018,10-Q,159555000.0,45842000.0,16123000.0,0.07,0.06,0.0,1522292000.0,435903000.0,223251000.0,40447000.0,103917000.0,75636000.0,-7819000.0,-91848000.0,872672000.0,682555000.0,7834000.0
