symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CF,2011-06-30,False,Q2,2011,10-Q,1801700000.0,844700000.0,487400000.0,6.81,6.75,0.1,9420000000.0,2080400000.0,1094600000.0,1355600000.0,5331800000.0,922100000.0,-2100000.0,-361700000.0,1613000000.0,2064500000.0,105500000.0
CF,2018-12-31,False,FY,2018,10-K,4429000000.0,766000000.0,290000000.0,1.25,1.24,1.2,12661000000.0,1274000000.0,705000000.0,682000000.0,5731000000.0,1497000000.0,-375000000.0,-1270000000.0,4698000000.0,2353000000.0,422000000.0
CF,2012-03-31,False,Q1,2012,10-Q,1527600000.0,671200000.0,368400000.0,5.62,5.54,0.4,9616900000.0,2458400000.0,1250500000.0,1713300000.0,5360900000.0,603200000.0,-62600000.0,-34200000.0,1613000000.0,2064500000.0,64300000.0
CF,2012-12-31,False,FY,2012,10-K,6104000000.0,2959400000.0,1848700000.0,28.94,28.59,1.6,10166900000.0,2807600000.0,950200000.0,2274900000.0,6282200000.0,2375600000.0,-513500000.0,-796800000.0,1600000000.0,2064500000.0,523500000.0
CF,2013-06-30,False,Q2,2013,10-Q,1714900000.0,833700000.0,498200000.0,8.43,8.38,0.4,10251600000.0,2719500000.0,577100000.0,1934100000.0,5343400000.0,568300000.0,-465900000.0,-429800000.0,3098000000.0,2064500000.0,402500000.0
CF,2011-09-30,True,Q3,2011,10-Q,1403800000.0,582300000.0,330900000.0,4.77,4.73,0.4,9245800000.0,2057900000.0,1502500000.0,1426100000.0,4749800000.0,1955100000.0,-49800000.0,-1279200000.0,1613000000.0,2064500000.0,169200000.0
CF,2013-03-31,False,Q1,2013,10-Q,1336500000.0,627800000.0,406500000.0,6.53,6.47,0.4,10338400000.0,2907700000.0,1285300000.0,2210300000.0,6117700000.0,678700000.0,-196700000.0,-528400000.0,1600000000.0,2064500000.0,152800000.0
CF,2014-03-31,False,Q1,2014,10-Q,1132600000.0,1169800000.0,708500000.0,12.94,12.9,1.0,12475500000.0,4911100000.0,1435700000.0,3530200000.0,5308300000.0,750000000.0,469000000.0,602800000.0,4592300000.0,2094600000.0,392400000.0
CF,2011-12-31,False,FY,2011,10-K,6097900000.0,2790500000.0,1539200000.0,22.18,21.98,1.0,8974500000.0,1798600000.0,1031200000.0,1207000000.0,4932900000.0,2078900000.0,-173800000.0,-1499400000.0,1613000000.0,2064500000.0,247200000.0
CF,2011-09-30,False,Q3,2011,10-Q,1403800000.0,582300000.0,330900000.0,4.77,4.73,0.4,9245800000.0,2057900000.0,1502500000.0,1426100000.0,4749800000.0,1955100000.0,-49800000.0,-1279200000.0,1613000000.0,2064500000.0,169200000.0
CF,2014-09-30,False,Q3,2014,10-Q,921400000.0,246600000.0,130900000.0,2.63,2.62,1.5,11659800000.0,3338700000.0,1048800000.0,2651200000.0,4855300000.0,1176900000.0,121900000.0,-354500000.0,4592400000.0,2094000000.0,1272700000.0
CF,2014-06-30,False,Q2,2014,10-Q,1472700000.0,531300000.0,312600000.0,6.12,6.1,1.0,11304900000.0,3405700000.0,720300000.0,2194100000.0,4845100000.0,555300000.0,200300000.0,-271800000.0,4592400000.0,2095700000.0,685000000.0
CF,2013-09-30,False,Q3,2013,10-Q,1097000000.0,385400000.0,234100000.0,4.09,4.07,0.4,10799000000.0,3059700000.0,912900000.0,2286200000.0,5462000000.0,1429300000.0,-730900000.0,-665300000.0,3098000000.0,2064500000.0,632900000.0
CF,2012-06-30,False,Q2,2012,10-Q,1735600000.0,1005000000.0,606300000.0,9.42,9.31,0.4,9118900000.0,1996700000.0,555300000.0,1383000000.0,5500200000.0,1048700000.0,-136800000.0,-737800000.0,1600000000.0,2064500000.0,157800000.0
CF,2013-12-31,False,FY,2013,10-K,5474700000.0,2411700000.0,1464600000.0,24.87,24.74,2.2,10678100000.0,2630100000.0,828300000.0,1710800000.0,5438400000.0,1466800000.0,-1019300000.0,-980300000.0,3098100000.0,2095800000.0,823800000.0
