symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CHE,2010-09-30,False,Q3,2010,10-Q,320451000.0,36755000.0,20988000.0,0.93,0.91,0.14,898392000.0,276006000.0,152267000.0,137457000.0,533556000.0,57990000.0,-19585000.0,-13364000.0,,450095000.0,19107000.0
CHE,2010-12-31,False,FY,2010,10-K,1280545000.0,143522000.0,81831000.0,3.62,3.55,0.52,830161000.0,196797000.0,149342000.0,49917000.0,462049000.0,86012000.0,-35700000.0,-112811000.0,,458343000.0,25639000.0
CHE,2010-06-30,False,Q2,2010,10-Q,314995000.0,33856000.0,18855000.0,0.83,0.82,0.12,865963000.0,244021000.0,141925000.0,109080000.0,512967000.0,20277000.0,-12169000.0,-11444000.0,,450105000.0,11942000.0
CHE,2011-03-31,False,Q1,2011,10-Q,330918000.0,30548000.0,18101000.0,0.86,0.84,0.14,822728000.0,183514000.0,135936000.0,59745000.0,463870000.0,48541000.0,-6282000.0,-32431000.0,,458434000.0,6173000.0
CHE,2018-12-31,False,FY,2018,10-K,1782648000.0,243632000.0,205544000.0,12.8,12.23,1.16,975529000.0,159840000.0,191670000.0,4831000.0,591334000.0,287138000.0,-105225000.0,-188203000.0,89200000.0,510570000.0,52872000.0
CHE,2011-09-30,False,Q3,2011,10-Q,341439000.0,41311000.0,21887000.0,1.06,1.04,0.16,815056000.0,168596000.0,160792000.0,21342000.0,426335000.0,107936000.0,-27977000.0,-108534000.0,,460747000.0,23459000.0
CHE,2011-06-30,False,Q2,2011,10-Q,333360000.0,35842000.0,20286000.0,0.96,0.94,0.14,850613000.0,203600000.0,135303000.0,50941000.0,489334000.0,51127000.0,-19518000.0,-30585000.0,,460793000.0,14960000.0
CHE,2011-12-31,False,FY,2011,10-K,1355970000.0,153727000.0,85979000.0,4.19,4.1,0.6,795905000.0,150753000.0,145400000.0,38081000.0,413684000.0,174343000.0,-34114000.0,-152065000.0,,460633000.0,29592000.0
CHE,2012-06-30,False,Q2,2012,10-Q,354170000.0,39525000.0,21274000.0,1.12,1.1,0.16,831128000.0,178073000.0,142590000.0,59966000.0,447445000.0,54655000.0,-19617000.0,-13153000.0,,461965000.0,18474000.0
CHE,2012-03-31,False,Q1,2012,10-Q,352943000.0,34977000.0,20445000.0,1.08,1.06,0.16,831483000.0,177276000.0,155196000.0,34214000.0,434457000.0,10381000.0,-12122000.0,-2126000.0,,461064000.0,12018000.0
CHE,2012-09-30,False,Q3,2012,10-Q,354353000.0,35970000.0,20845000.0,1.1,1.07,0.18,864787000.0,205104000.0,147681000.0,69296000.0,474625000.0,77337000.0,-31861000.0,-14261000.0,,465861000.0,26489000.0
CHE,2012-12-31,False,FY,2012,10-K,1430043000.0,156419000.0,89304000.0,4.72,4.62,0.68,859626000.0,197671000.0,156822000.0,69531000.0,453291000.0,131768000.0,-40684000.0,-59634000.0,,465832000.0,35252000.0
CHE,2014-09-30,False,Q3,2014,10-Q,358389000.0,40211000.0,24585000.0,1.44,1.39,0.22,869508000.0,188738000.0,197255000.0,18562000.0,432431000.0,51009000.0,-31806000.0,-85059000.0,173550000.0,466844000.0,31745000.0
CHE,2013-03-31,False,Q1,2013,10-Q,366641000.0,38852000.0,22278000.0,1.2,1.17,0.18,899409000.0,236249000.0,160918000.0,72956000.0,483089000.0,8141000.0,-5328000.0,612000.0,,465734000.0,5406000.0
CHE,2013-09-30,False,Q3,2013,10-Q,340886000.0,29210000.0,17432000.0,0.96,0.94,0.2,881540000.0,216373000.0,376354000.0,83204000.0,426827000.0,135858000.0,-20958000.0,-101227000.0,,466940000.0,18887000.0
CHE,2013-06-30,False,Q2,2013,10-Q,357198000.0,25892000.0,14608000.0,0.79,0.77,0.18,898878000.0,233310000.0,338248000.0,113047000.0,481287000.0,84666000.0,-13600000.0,-27550000.0,,466271000.0,12200000.0
CHE,2014-12-31,False,FY,2014,10-K,1456282000.0,168419000.0,99317000.0,5.79,5.57,0.84,859932000.0,174564000.0,175554000.0,14132000.0,451356000.0,110279000.0,-43527000.0,-137038000.0,147500000.0,466722000.0,43571000.0
CHE,2014-03-31,False,Q1,2014,10-Q,358300000.0,36652000.0,20574000.0,1.17,1.12,0.2,868620000.0,198412000.0,337851000.0,39479000.0,445933000.0,-11846000.0,-8352000.0,-24741000.0,185825000.0,466961000.0,8131000.0
CHE,2015-03-31,False,Q1,2015,10-Q,376652000.0,40571000.0,24537000.0,1.45,1.4,0.22,895677000.0,208486000.0,171570000.0,28335000.0,476542000.0,12374000.0,-8202000.0,10031000.0,161250000.0,466576000.0,8553000.0
CHE,2013-12-31,False,FY,2013,10-K,1413329000.0,133394000.0,77227000.0,4.24,4.16,0.76,893701000.0,224656000.0,363986000.0,84418000.0,448890000.0,150847000.0,-31346000.0,-104614000.0,183564000.0,466871000.0,29324000.0
CHE,2014-06-30,False,Q2,2014,10-Q,360182000.0,41519000.0,24363000.0,1.41,1.36,0.2,841595000.0,165500000.0,156673000.0,27913000.0,444484000.0,45113000.0,-19512000.0,-82106000.0,160000000.0,466867000.0,19454000.0
CHE,2015-06-30,False,Q2,2015,10-Q,381921000.0,44600000.0,26975000.0,1.6,1.55,0.22,885283000.0,190046000.0,161912000.0,32705000.0,477798000.0,69638000.0,-25065000.0,-26000000.0,160000000.0,472546000.0,18846000.0
CHE,2015-09-30,False,Q3,2015,10-Q,386226000.0,50128000.0,28833000.0,1.71,1.65,0.24,897638000.0,200775000.0,186763000.0,38450000.0,488576000.0,113084000.0,-36412000.0,-52354000.0,138125000.0,472407000.0,30194000.0
CHE,2016-03-31,False,Q1,2016,10-Q,390389000.0,44393000.0,24840000.0,1.49,1.45,0.24,882919000.0,179941000.0,191557000.0,15235000.0,484821000.0,7223000.0,-11320000.0,4605000.0,144875000.0,472438000.0,11473000.0
CHE,2017-09-30,False,Q3,2017,10-Q,417444000.0,53997000.0,35437000.0,2.22,2.13,0.28,895459000.0,135311000.0,269374000.0,18871000.0,477702000.0,190989000.0,-50656000.0,-136772000.0,82500000.0,473024000.0,50247000.0
CHE,2017-06-30,False,Q2,2017,10-Q,415059000.0,-38948000.0,-21656000.0,-1.35,-1.35,0.26,910274000.0,156492000.0,268600000.0,13753000.0,453083000.0,100324000.0,-28571000.0,-73310000.0,125000000.0,472897000.0,28133000.0
CHE,2017-03-31,False,Q1,2017,10-Q,405864000.0,41454000.0,29844000.0,1.84,1.78,0.26,886231000.0,175973000.0,164383000.0,47049000.0,500644000.0,68786000.0,-9090000.0,-27957000.0,146875000.0,472391000.0,9020000.0
CHE,2016-09-30,False,Q3,2016,10-Q,392607000.0,42871000.0,26829000.0,1.66,1.62,0.26,842476000.0,132959000.0,167457000.0,21285000.0,487202000.0,128353000.0,-29822000.0,-91973000.0,110625000.0,472418000.0,29708000.0
CHE,2016-12-31,False,FY,2016,10-K,1576881000.0,178749000.0,108743000.0,6.64,6.48,1.0,880059000.0,169900000.0,171832000.0,15310000.0,524099000.0,135393000.0,-39862000.0,-94948000.0,108750000.0,472366000.0,39772000.0
