symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CHMA,2015-06-30,False,Q2,2015,10-Q,0.0,-7595292.0,-7961883.0,-50.36,-50.36,0.0,66520878.0,63732920.0,5927874.0,63266889.0,-81927087.0,-11917882.0,-93750.0,35118086.0,,,61190.0
CHMA,2018-12-31,False,FY,2018,10-K,,-32336000.0,-31261000.0,-1.28,-1.28,0.0,63256000.0,62187000.0,28627000.0,13060000.0,34124000.0,-24091000.0,24211000.0,-1663000.0,,,6000.0
CHMA,2015-09-30,False,Q3,2015,10-Q,0.0,-9181650.0,-9389811.0,-0.46,-0.46,0.0,165224862.0,164246847.0,6231045.0,140869221.0,155341606.0,-19867109.0,-22163386.0,142739281.0,,,111747.0
CHMA,2016-06-30,False,Q2,2016,10-Q,,-26708000.0,-26663000.0,-1.1,-1.1,0.0,122229000.0,118121000.0,16724000.0,30483000.0,101794000.0,-29736000.0,20281000.0,-1101000.0,,,2384000.0
CHMA,2016-09-30,False,Q3,2016,10-Q,,-9439000.0,-9373000.0,-0.38,-0.38,0.0,105506000.0,101602000.0,8616000.0,28475000.0,93063000.0,-45581000.0,34112000.0,-1095000.0,,,2889000.0
CHMA,2017-03-31,False,Q1,2017,10-Q,,-7115000.0,-7020000.0,-0.29,-0.29,0.0,88425000.0,86787000.0,7897000.0,18989000.0,79427000.0,-6314000.0,-10010000.0,-1700000.0,,,3000.0
CHMA,2017-06-30,False,Q2,2017,10-Q,,-6920000.0,-6854000.0,-0.28,-0.28,0.0,83048000.0,81515000.0,7845000.0,18369000.0,74101000.0,-11292000.0,-5652000.0,-1700000.0,,,3000.0
CHMA,2015-12-31,False,FY,2015,10-K,98200000.0,-35447000.0,-36226000.0,-3.25,-3.25,0.0,153108000.0,151085000.0,6514000.0,41039000.0,142816000.0,-33303000.0,-109112000.0,143294000.0,,,269000.0
CHMA,2016-12-31,False,FY,2016,10-K,98200000.0,-61311000.0,-61111000.0,-2.51,-2.51,0.0,96756000.0,95094000.0,8400000.0,37013000.0,85725000.0,-51964000.0,49033000.0,-1095000.0,,,2964000.0
CHMA,2016-03-31,False,Q1,2016,10-Q,,-17220000.0,-17180000.0,-0.71,-0.71,0.0,141251000.0,138122000.0,10938000.0,39107000.0,128114000.0,-12752000.0,11942000.0,-1122000.0,,,650000.0
CHMA,2018-06-30,False,Q2,2018,10-Q,,-8932000.0,-8673000.0,-0.36,-0.36,0.0,56935000.0,55800000.0,8177000.0,13844000.0,48200000.0,-10765000.0,11706000.0,-1700000.0,,,6000.0
CHMA,2018-09-30,False,Q3,2018,10-Q,,-7718000.0,-7470000.0,-0.31,-0.31,0.0,50885000.0,49774000.0,8832000.0,11169000.0,41515000.0,-17453000.0,15715000.0,-1696000.0,,,6000.0
CHMA,2017-09-30,False,Q3,2017,10-Q,,-6943000.0,-6849000.0,-0.28,-0.28,0.0,76853000.0,75342000.0,7804000.0,12133000.0,67966000.0,-18244000.0,-4937000.0,-1699000.0,,,20000.0
CHMA,2017-12-31,False,FY,2017,10-K,,-28132000.0,-26826000.0,-1.1,-1.1,0.0,69883000.0,68707000.0,6745000.0,14603000.0,62474000.0,-24424000.0,3712000.0,-1698000.0,,,23000.0
CHMA,2018-03-31,False,Q1,2018,10-Q,,-7297000.0,-7043000.0,-0.29,-0.29,0.0,63347000.0,62186000.0,6704000.0,15248000.0,56057000.0,-4754000.0,7099000.0,-1700000.0,,,5000.0
