symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CHMI,2013-09-30,False,Q3,2013,10-Q,,,-36054.0,,,0.0,14826.0,,,14826.0,-131309.0,-27309.0,,42135.0,,,
CHMI,2018-09-30,False,Q3,2018,10-Q,6066000.0,,25763000.0,1.62,1.62,0.0,2233500000.0,,,21388000.0,388169000.0,52042000.0,-210361000.0,152380000.0,1809740000.0,,
CHMI,2015-03-31,False,Q1,2015,10-Q,5237000.0,,-2434000.0,-0.32,-0.32,0.0,542737000.0,,,13672000.0,156605000.0,4699000.0,-8025000.0,4551000.0,373868000.0,,
CHMI,2014-09-30,False,Q3,2014,10-Q,5080000.0,,2788000.0,0.37,0.37,0.0,495663000.0,,,13486000.0,159873000.0,21536000.0,-71845000.0,53420000.0,329239000.0,,
CHMI,2014-12-31,False,FY,2014,10-K,20654000.0,,2353000.0,0.31,0.31,2.03,531926000.0,,,12447000.0,160318000.0,24971000.0,-105807000.0,82908000.0,362126000.0,,
CHMI,2014-06-30,False,Q2,2014,10-Q,5131000.0,,-655000.0,-0.09,-0.09,0.0,463598000.0,,,14452000.0,162754000.0,16471000.0,-36032000.0,23638000.0,293747000.0,,
CHMI,2014-03-31,False,Q1,2014,10-Q,5064000.0,,730000.0,0.1,0.1,0.5,438210000.0,,,12707000.0,161557000.0,13058000.0,-16208000.0,5482000.0,269981000.0,,
CHMI,2013-12-31,False,FY,2013,10-K,4608000.0,,21095000.0,12.5,12.5,0.45,427398000.0,,,10375000.0,161122000.0,-6080000.0,-387414000.0,403868000.0,261302000.0,,
CHMI,2015-09-30,False,Q3,2015,10-Q,463000.0,,-5124000.0,-0.68,-0.68,0.0,702185000.0,,,12661000.0,152481000.0,15975000.0,-164224000.0,148463000.0,534122000.0,,
CHMI,2015-06-30,False,Q2,2015,10-Q,2000.0,,11205000.0,1.49,1.49,0.0,563996000.0,,,15105000.0,158134000.0,4793000.0,-19265000.0,17130000.0,395086000.0,,
CHMI,2016-06-30,False,Q2,2016,10-Q,1574000.0,,283000.0,0.04,0.04,0.0,655401000.0,,,9820000.0,150172000.0,18404000.0,-12687000.0,-6500000.0,478928000.0,,
CHMI,2015-12-31,False,FY,2015,10-K,958000.0,,13214000.0,1.76,1.76,2.03,636340000.0,,,10603000.0,152337000.0,23375000.0,-113147000.0,87928000.0,472123000.0,,
CHMI,2016-03-31,False,Q1,2016,10-Q,1093000.0,,-7063000.0,-0.94,-0.94,0.49,635192000.0,,,10649000.0,148957000.0,3285000.0,6084000.0,-9323000.0,469460000.0,,
CHMI,2016-09-30,False,Q3,2016,10-Q,1724000.0,,5443000.0,0.72,0.72,0.0,664806000.0,,,12586000.0,152493000.0,26123000.0,-22883000.0,-1257000.0,488065000.0,,
CHMI,2016-12-31,False,FY,2016,10-K,5017000.0,,24832000.0,3.31,3.3,2.11,792878000.0,,,15824000.0,156009000.0,34457000.0,-146094000.0,116858000.0,617501000.0,,
CHMI,2017-12-31,False,FY,2017,10-K,18251000.0,,45526000.0,3.98,3.98,1.96,2050685000.0,,,27327000.0,322457000.0,40240000.0,-1224475000.0,1195738000.0,1705562000.0,,
CHMI,2017-03-31,False,Q1,2017,10-Q,3347000.0,,22178000.0,2.91,2.9,0.49,1317779000.0,,,75115000.0,257540000.0,258962000.0,-464008000.0,264337000.0,789317000.0,,
CHMI,2017-06-30,False,Q2,2017,10-Q,4502000.0,,-1546000.0,-0.12,-0.12,0.0,1522627000.0,,,30520000.0,255627000.0,28439000.0,-703225000.0,689482000.0,1232940000.0,,
CHMI,2018-03-31,False,Q1,2018,10-Q,6938000.0,,33570000.0,2.64,2.64,0.49,1924177000.0,,,24276000.0,319297000.0,16649000.0,105195000.0,-124895000.0,1575311000.0,,
CHMI,2017-09-30,False,Q3,2017,10-Q,4681000.0,,6173000.0,0.49,0.49,0.0,1935405000.0,,,33899000.0,317264000.0,28018000.0,-1104439000.0,1094496000.0,1595607000.0,,
CHMI,2018-06-30,False,Q2,2018,10-Q,4695000.0,,12355000.0,0.91,0.91,0.0,2184916000.0,,,23942000.0,373738000.0,39590000.0,-171472000.0,128497000.0,1772591000.0,,
