symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CIDM,2018-12-31,False,Q3,2019,10-Q,14643000.0,-612000.0,-3347000.0,-0.09,-0.09,0.0,105814000.0,68009000.0,94290000.0,17141000.0,-31164000.0,6333000.0,-1179000.0,-5965000.0,26405000.0,8701000.0,1068000.0
CIDM,2013-09-30,False,Q2,2014,10-Q,20367000.0,-118000.0,-5256000.0,-0.1,-0.1,0.0,264027000.0,63022000.0,,12389000.0,-254799000.0,16960000.0,-1780000.0,-16239000.0,221870000.0,12739000.0,618000.0
CIDM,2013-12-31,False,Q3,2014,10-Q,34885000.0,2297000.0,-10471000.0,-0.05,-0.05,0.0,322242000.0,111508000.0,120178000.0,18863000.0,-16653000.0,23617000.0,-50163000.0,31961000.0,256942000.0,8542000.0,914000.0
CIDM,2013-06-30,False,Q1,2014,10-Q,19625000.0,-1779000.0,-7077000.0,-0.15,-0.15,0.0,275785000.0,64360000.0,87594000.0,13611000.0,-23950000.0,9678000.0,-874000.0,-8641000.0,234258000.0,12739000.0,141000.0
CIDM,2012-06-30,False,Q1,2013,10-Q,20904000.0,1940000.0,-5241000.0,-0.12,-0.12,0.0,303630000.0,67180000.0,69788000.0,19512000.0,-2134000.0,1970000.0,3558000.0,-3859000.0,214824000.0,7101000.0,2007000.0
CIDM,2014-03-31,False,FY,2014,10-K,104328000.0,6386000.0,-26220000.0,-0.25,-0.25,0.0,345998000.0,124474000.0,129476000.0,50215000.0,10227000.0,39594000.0,-52009000.0,49182000.0,247434000.0,25494000.0,1356000.0
CIDM,2012-12-31,False,Q3,2013,10-Q,23212000.0,3774000.0,-1873000.0,-0.03,-0.03,0.0,294882000.0,73767000.0,82081000.0,17321000.0,-5726000.0,23991000.0,-356000.0,-24157000.0,237011000.0,7101000.0,4354000.0
CIDM,2012-09-30,False,Q2,2013,10-Q,22609000.0,3578000.0,-2700000.0,-0.06,-0.06,0.0,300044000.0,70605000.0,77260000.0,20270000.0,-4404000.0,15228000.0,1169000.0,-13970000.0,244867000.0,7101000.0,3793000.0
CIDM,2014-06-30,False,Q1,2015,10-Q,22857000.0,-5657000.0,-10752000.0,-0.14,-0.14,0.0,303386000.0,90733000.0,108319000.0,36742000.0,-49000.0,2424000.0,-818000.0,-15079000.0,232974000.0,27944000.0,331000.0
CIDM,2013-03-31,False,FY,2013,10-K,88080000.0,12164000.0,-21422000.0,-0.44,-0.44,0.0,284058000.0,62802000.0,80299000.0,13448000.0,-17314000.0,29369000.0,-4250000.0,-29514000.0,242427000.0,12739000.0,6476000.0
CIDM,2012-03-31,False,FY,2012,10-K,76557000.0,15194000.0,-23396000.0,-0.65,-0.65,0.0,290137000.0,63393000.0,60436000.0,17843000.0,-11473000.0,39938000.0,-17315000.0,-15528000.0,,5765000.0,16395000.0
