symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CINF,2011-12-31,False,FY,2011,10-K,3803000000.0,,166000000.0,1.02,1.02,1.605,15668000000.0,,,438000000.0,5055000000.0,247000000.0,-8000000.0,-186000000.0,790000000.0,,7000000.0
CINF,2010-09-30,False,Q3,2010,10-Q,1071000000.0,,156000000.0,0.95,0.95,0.0,15070000000.0,,,445000000.0,5010000000.0,417000000.0,-402000000.0,-127000000.0,790000000.0,,14000000.0
CINF,2018-12-31,False,FY,2018,10-K,5407000000.0,,287000000.0,1.76,1.75,2.12,21935000000.0,,,784000000.0,7833000000.0,1181000000.0,-451000000.0,-603000000.0,788000000.0,,20000000.0
CINF,2010-06-30,False,Q2,2010,10-Q,878000000.0,,27000000.0,0.17,0.17,0.0,14607000000.0,,,325000000.0,4737000000.0,253000000.0,-415000000.0,-70000000.0,790000000.0,,11000000.0
CINF,2011-03-31,False,Q1,2011,10-Q,929000000.0,,62000000.0,0.38,0.38,0.0,15369000000.0,,,379000000.0,5118000000.0,57000000.0,-30000000.0,-33000000.0,790000000.0,,2000000.0
CINF,2011-06-30,False,Q2,2011,10-Q,975000000.0,,-49000000.0,-0.3,-0.3,0.0,15702000000.0,,,313000000.0,5057000000.0,4000000.0,26000000.0,-102000000.0,790000000.0,,4000000.0
CINF,2011-09-30,False,Q3,2011,10-Q,944000000.0,,19000000.0,0.12,0.12,0.0,15412000000.0,,,308000000.0,4786000000.0,148000000.0,-71000000.0,-154000000.0,790000000.0,,12000000.0
CINF,2010-12-31,False,FY,2010,10-K,3772000000.0,,377000000.0,2.32,2.31,0.0,15095000000.0,,,385000000.0,5032000000.0,531000000.0,-529000000.0,-174000000.0,790000000.0,,17000000.0
CINF,2012-03-31,False,Q1,2012,10-Q,986000000.0,,86000000.0,0.53,0.53,0.0,16022000000.0,,,424000000.0,5207000000.0,148000000.0,-100000000.0,-62000000.0,790000000.0,,2000000.0
CINF,2012-09-30,False,Q3,2012,10-Q,1035000000.0,,111000000.0,0.69,0.68,0.0,16479000000.0,,,416000000.0,5359000000.0,433000000.0,-257000000.0,-198000000.0,790000000.0,,5000000.0
CINF,2013-03-31,False,Q1,2013,10-Q,1103000000.0,,154000000.0,0.95,0.94,0.0,17037000000.0,,,380000000.0,5785000000.0,57000000.0,-102000000.0,-62000000.0,790000000.0,,1000000.0
CINF,2013-09-30,False,Q3,2013,10-Q,1152000000.0,,131000000.0,0.8,0.79,0.0,17339000000.0,,,511000000.0,5816000000.0,538000000.0,-320000000.0,-194000000.0,790000000.0,,5000000.0
CINF,2012-06-30,False,Q2,2012,10-Q,1020000000.0,,32000000.0,0.2,0.2,0.0,16089000000.0,,,263000000.0,5144000000.0,265000000.0,-304000000.0,-136000000.0,790000000.0,,4000000.0
CINF,2012-12-31,False,FY,2012,10-K,4111000000.0,,421000000.0,2.59,2.57,1.62,16548000000.0,,,487000000.0,5453000000.0,638000000.0,-304000000.0,-285000000.0,790000000.0,,6000000.0
CINF,2013-06-30,False,Q2,2013,10-Q,1104000000.0,,110000000.0,0.67,0.66,0.0,17034000000.0,,,382000000.0,5699000000.0,251000000.0,-230000000.0,-126000000.0,790000000.0,,3000000.0
CINF,2014-03-31,False,Q1,2014,10-Q,1189000000.0,,91000000.0,0.56,0.55,0.0,17942000000.0,,,521000000.0,6168000000.0,129000000.0,39000000.0,-80000000.0,790000000.0,,3000000.0
CINF,2014-06-30,False,Q2,2014,10-Q,1214000000.0,,84000000.0,0.51,0.51,0.0,18335000000.0,,,462000000.0,6343000000.0,351000000.0,-97000000.0,-225000000.0,790000000.0,,5000000.0
CINF,2015-03-31,False,Q1,2015,10-Q,1285000000.0,,128000000.0,0.78,0.77,0.0,18897000000.0,,,640000000.0,6608000000.0,215000000.0,-88000000.0,-78000000.0,791000000.0,,1000000.0
CINF,2013-12-31,False,FY,2013,10-K,4531000000.0,,517000000.0,3.16,3.12,1.655,17662000000.0,,,433000000.0,6070000000.0,796000000.0,-509000000.0,-341000000.0,790000000.0,,7000000.0
CINF,2014-09-30,False,Q3,2014,10-Q,1280000000.0,,183000000.0,1.12,1.11,0.0,18474000000.0,,,412000000.0,6376000000.0,633000000.0,-331000000.0,-323000000.0,790000000.0,,6000000.0
CINF,2015-09-30,False,Q3,2015,10-Q,1278000000.0,,174000000.0,1.06,1.05,0.0,18751000000.0,,,419000000.0,6350000000.0,755000000.0,-620000000.0,-307000000.0,791000000.0,,7000000.0
CINF,2015-06-30,False,Q2,2015,10-Q,1316000000.0,,176000000.0,1.07,1.06,0.0,18888000000.0,,,487000000.0,6497000000.0,470000000.0,-389000000.0,-185000000.0,791000000.0,,5000000.0
CINF,2015-12-31,False,FY,2015,10-K,5142000000.0,,634000000.0,3.87,3.83,2.3,18888000000.0,,,544000000.0,6427000000.0,1064000000.0,-624000000.0,-487000000.0,786000000.0,,10000000.0
CINF,2014-12-31,False,FY,2014,10-K,4945000000.0,,525000000.0,3.21,3.18,1.76,18753000000.0,,,591000000.0,6573000000.0,873000000.0,-311000000.0,-404000000.0,791000000.0,,9000000.0
CINF,2017-09-30,False,Q3,2017,10-Q,1412000000.0,,102000000.0,0.62,0.61,0.0,21592000000.0,,,674000000.0,7523000000.0,746000000.0,-459000000.0,-390000000.0,787000000.0,,14000000.0
CINF,2016-09-30,False,Q3,2016,10-Q,1402000000.0,,180000000.0,1.09,1.08,0.0,20455000000.0,,,700000000.0,7121000000.0,824000000.0,-386000000.0,-282000000.0,786000000.0,,9000000.0
CINF,2017-06-30,False,Q2,2017,10-Q,1386000000.0,,100000000.0,0.61,0.6,0.0,21238000000.0,,,606000000.0,7373000000.0,445000000.0,-333000000.0,-283000000.0,787000000.0,,9000000.0
CINF,2016-12-31,False,FY,2016,10-K,5449000000.0,,591000000.0,3.59,3.55,1.92,20386000000.0,,,777000000.0,7060000000.0,1103000000.0,-456000000.0,-414000000.0,787000000.0,,13000000.0
CINF,2018-06-30,False,Q2,2018,10-Q,1558000000.0,,217000000.0,1.33,1.32,0.0,21760000000.0,,,521000000.0,7916000000.0,464000000.0,-265000000.0,-335000000.0,787000000.0,,9000000.0
