symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CINR,2018-12-31,False,FY,2018,10-K,486700000.0,106300000.0,49900000.0,2.48,2.48,0.0,434600000.0,141500000.0,64600000.0,10200000.0,260100000.0,162200000.0,-39400000.0,-142800000.0,99000000.0,,39400000.0
OCIR,2014-06-30,False,Q2,2014,10-Q,113000000.0,22200000.0,10300000.0,1.02,1.02,0.0,442300000.0,207500000.0,43100000.0,46400000.0,240200000.0,49200000.0,-6400000.0,-43300000.0,155000000.0,,
OCIR,2014-09-30,False,Q3,2014,10-Q,109800000.0,22200000.0,10400000.0,1.04,1.04,0.0,444800000.0,207400000.0,43200000.0,56200000.0,242500000.0,86700000.0,-13900000.0,-63500000.0,155000000.0,,
OCIR,2015-03-31,False,Q1,2015,10-Q,120400000.0,27500000.0,12800000.0,1.28,1.28,0.0,448000000.0,203000000.0,47100000.0,36400000.0,251600000.0,34700000.0,-7800000.0,-21500000.0,145000000.0,,
CINR,2016-03-31,False,Q1,2016,10-Q,114400000.0,22200000.0,10100000.0,1.02,1.02,0.0,417600000.0,142200000.0,47300000.0,22900000.0,259800000.0,36800000.0,-4400000.0,-29900000.0,103500000.0,,
OCIR,2013-09-30,False,Q3,2013,10-Q,105600000.0,17100000.0,500000.0,0.46,0.46,0.0,500200000.0,261400000.0,125400000.0,106800000.0,216100000.0,71400000.0,-10700000.0,23400000.0,155000000.0,,
OCIR,2014-03-31,False,Q1,2014,10-Q,116200000.0,22600000.0,10300000.0,1.04,1.04,0.0,440700000.0,205500000.0,42200000.0,35400000.0,239600000.0,14300000.0,-2700000.0,-23100000.0,155000000.0,,
CINR,2017-03-31,False,Q1,2017,10-Q,126600000.0,23400000.0,10900000.0,0.54,0.54,0.0,419200000.0,144500000.0,52900000.0,11400000.0,255700000.0,10800000.0,-6000000.0,-13100000.0,108500000.0,,
OCIR,2015-06-30,False,Q2,2015,10-Q,122200000.0,26100000.0,11700000.0,1.18,1.18,0.0,438800000.0,167100000.0,48400000.0,19200000.0,255200000.0,61500000.0,-15100000.0,-58200000.0,130000000.0,,
CINR,2016-12-31,False,FY,2016,10-K,475200000.0,89900000.0,41400000.0,2.08,2.08,0.0,413100000.0,136000000.0,55500000.0,19700000.0,259200000.0,128300000.0,-25300000.0,-103700000.0,98000000.0,,
OCIR,2013-12-31,False,FY,2013,10-K,442100000.0,79900000.0,13000000.0,1.3,1.3,0.0,442000000.0,202700000.0,41900000.0,46900000.0,241300000.0,100300000.0,-16200000.0,-59900000.0,155000000.0,,
CINR,2017-06-30,False,Q2,2017,10-Q,119700000.0,18400000.0,8200000.0,0.41,0.41,0.0,434300000.0,159800000.0,53900000.0,15800000.0,249800000.0,25700000.0,-13300000.0,-16300000.0,129000000.0,,
CINR,2015-12-31,False,FY,2015,10-K,486400000.0,110100000.0,106200000.0,5.16,5.16,0.0,423200000.0,146900000.0,43200000.0,20400000.0,263200000.0,150200000.0,-35700000.0,-125100000.0,110000000.0,,
CINR,2016-06-30,False,Q2,2016,10-Q,116700000.0,22600000.0,10400000.0,1.04,1.04,0.0,408700000.0,134800000.0,44100000.0,16800000.0,262200000.0,66100000.0,-11200000.0,-58500000.0,96000000.0,,
OCIR,2015-09-30,False,Q3,2015,10-Q,117300000.0,27900000.0,13100000.0,1.3,1.3,0.0,429000000.0,153200000.0,45200000.0,13700000.0,256100000.0,102900000.0,-28100000.0,-92100000.0,121000000.0,,
CINR,2016-09-30,False,Q3,2016,10-Q,121000000.0,24000000.0,11100000.0,1.11,1.11,0.0,417900000.0,143600000.0,57400000.0,29600000.0,260500000.0,103900000.0,-16200000.0,-78500000.0,99500000.0,,
CINR,2017-09-30,False,Q3,2017,10-Q,122500000.0,20200000.0,9200000.0,0.46,0.46,0.0,440300000.0,171400000.0,49300000.0,13800000.0,245300000.0,45200000.0,-16900000.0,-34200000.0,135900000.0,,
CINR,2017-12-31,False,FY,2017,10-K,497300000.0,89500000.0,41600000.0,2.08,2.07,0.0,453200000.0,184300000.0,56600000.0,30200000.0,248200000.0,79300000.0,-24700000.0,-44100000.0,149400000.0,,
OCIR,2014-12-31,False,FY,2014,10-K,465000000.0,96000000.0,44500000.0,4.46,4.46,0.0,447400000.0,201500000.0,49700000.0,31000000.0,248500000.0,106100000.0,-27200000.0,-94800000.0,145000000.0,,
CINR,2018-03-31,False,Q1,2018,10-Q,121200000.0,21600000.0,10100000.0,0.51,0.51,0.0,442800000.0,172700000.0,67000000.0,22100000.0,243200000.0,37300000.0,-4000000.0,-41400000.0,131900000.0,,
CINR,2018-09-30,False,Q3,2018,10-Q,123400000.0,20000000.0,9000000.0,0.44,0.44,0.0,427100000.0,151400000.0,65100000.0,26600000.0,251100000.0,131400000.0,-25300000.0,-109700000.0,110900000.0,,25300000.0
CINR,2018-06-30,False,Q2,2018,10-Q,109900000.0,35000000.0,16800000.0,0.83,0.83,0.0,464200000.0,188800000.0,63600000.0,20900000.0,253600000.0,57200000.0,-14900000.0,-51600000.0,145400000.0,,14900000.0
