symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CL,2010-06-30,False,Q2,2010,10-Q,3814000000.0,948000000.0,595000000.0,1.21,1.17,0.0,10586000000.0,3811000000.0,2955000000.0,555000000.0,2804000000.0,1302000000.0,-215000000.0,-1114000000.0,,2207000000.0,204000000.0
CL,2012-03-31,False,Q1,2012,10-Q,4200000000.0,938000000.0,593000000.0,1.24,1.23,1.2,13254000000.0,4849000000.0,4107000000.0,1044000000.0,2496000000.0,662000000.0,-41000000.0,-465000000.0,4929000000.0,2721000000.0,60000000.0
CL,2010-09-30,False,Q3,2010,10-Q,3943000000.0,958000000.0,610000000.0,1.26,1.21,0.53,11390000000.0,4091000000.0,3176000000.0,654000000.0,2846000000.0,2243000000.0,-438000000.0,-1745000000.0,,2336000000.0,318000000.0
CL,2011-06-30,False,Q2,2011,10-Q,4185000000.0,968000000.0,622000000.0,1.27,1.26,0.0,13244000000.0,4470000000.0,4249000000.0,739000000.0,3144000000.0,1154000000.0,-1111000000.0,199000000.0,,2920000000.0,225000000.0
CL,2012-09-30,False,Q3,2012,10-Q,4332000000.0,1027000000.0,654000000.0,1.38,1.36,0.62,13424000000.0,4761000000.0,3700000000.0,909000000.0,2697000000.0,2133000000.0,-624000000.0,-1458000000.0,5193000000.0,2634000000.0,317000000.0
CL,2012-06-30,False,Q2,2012,10-Q,4267000000.0,982000000.0,627000000.0,1.31,1.3,0.0,13153000000.0,4835000000.0,3566000000.0,995000000.0,2510000000.0,1193000000.0,-321000000.0,-730000000.0,5320000000.0,2611000000.0,189000000.0
CL,2011-09-30,False,Q3,2011,10-Q,4383000000.0,1035000000.0,643000000.0,1.32,1.31,0.58,12768000000.0,4443000000.0,4317000000.0,945000000.0,2870000000.0,2057000000.0,-998000000.0,-566000000.0,,2694000000.0,324000000.0
CL,2010-12-31,False,FY,2010,10-K,15564000000.0,3489000000.0,2169000000.0,4.45,4.31,0.0,11172000000.0,3730000000.0,3728000000.0,490000000.0,2817000000.0,3211000000.0,-658000000.0,-2624000000.0,3376000000.0,2362000000.0,550000000.0
CL,2018-12-31,False,FY,2018,10-K,15544000000.0,3694000000.0,2400000000.0,2.76,2.75,0.0,12161000000.0,3793000000.0,3341000000.0,726000000.0,197000000.0,3056000000.0,-1170000000.0,-2679000000.0,6354000000.0,2530000000.0,436000000.0
CL,2011-03-31,False,Q1,2011,10-Q,3994000000.0,915000000.0,576000000.0,1.17,1.16,1.11,11931000000.0,4274000000.0,4282000000.0,686000000.0,2591000000.0,680000000.0,-71000000.0,-417000000.0,,2411000000.0,78000000.0
CL,2013-09-30,False,Q3,2013,10-Q,4398000000.0,1016000000.0,656000000.0,0.71,0.7,0.34,13439000000.0,4600000000.0,4491000000.0,721000000.0,2007000000.0,2365000000.0,-628000000.0,-1810000000.0,5265000000.0,2471000000.0,419000000.0
CL,2013-03-31,False,Q1,2013,10-Q,4315000000.0,742000000.0,460000000.0,0.98,0.97,1.3,13533000000.0,4828000000.0,4091000000.0,932000000.0,2019000000.0,777000000.0,-232000000.0,-462000000.0,5345000000.0,2451000000.0,94000000.0
CL,2013-06-30,False,Q2,2013,10-Q,4346000000.0,906000000.0,561000000.0,0.6,0.6,0.34,13487000000.0,4867000000.0,4444000000.0,884000000.0,1804000000.0,1325000000.0,-398000000.0,-846000000.0,5607000000.0,2419000000.0,243000000.0
CL,2012-12-31,False,FY,2012,10-K,17085000000.0,3889000000.0,2472000000.0,5.19,5.15,0.0,13394000000.0,4556000000.0,3736000000.0,884000000.0,2390000000.0,3196000000.0,-865000000.0,-2301000000.0,5176000000.0,2500000000.0,565000000.0
CL,2011-12-31,False,FY,2011,10-K,16734000000.0,3841000000.0,2431000000.0,4.98,4.94,0.0,12724000000.0,4402000000.0,3716000000.0,878000000.0,2541000000.0,2896000000.0,-1213000000.0,-1242000000.0,4776000000.0,2657000000.0,537000000.0
CL,2013-12-31,False,FY,2013,10-K,17420000000.0,3556000000.0,2241000000.0,2.41,2.38,0.0,13876000000.0,4822000000.0,4470000000.0,962000000.0,2536000000.0,3204000000.0,-890000000.0,-2142000000.0,5644000000.0,2474000000.0,670000000.0
CL,2009-06-30,False,Q2,2009,10-Q,3745000000.0,887100000.0,561600000.0,1.11,1.07,0.0,10730100000.0,4217800000.0,3240200000.0,896000000.0,2699000000.0,1210700000.0,-216700000.0,-664800000.0,,2209100000.0,-210100000.0
CL,2010-03-31,False,Q1,2010,10-Q,3829000000.0,678000000.0,357000000.0,0.71,0.69,0.97,10823000000.0,3931000000.0,3818000000.0,561000000.0,2764000000.0,733000000.0,-87000000.0,-677000000.0,,2257000000.0,81000000.0
CL,2009-09-30,False,Q3,2009,10-Q,3998000000.0,926000000.0,590000000.0,1.17,1.12,0.44,11067000000.0,4204000000.0,3591000000.0,847000000.0,3111000000.0,2375000000.0,-484000000.0,-1620000000.0,,2296000000.0,347000000.0
CL,2014-03-31,False,Q1,2014,10-Q,4325000000.0,634000000.0,388000000.0,0.42,0.42,0.7,14432000000.0,5677000000.0,4702000000.0,1795000000.0,1900000000.0,820000000.0,-249000000.0,303000000.0,6635000000.0,2485000000.0,168000000.0
CL,2015-06-30,False,Q2,2015,10-Q,4066000000.0,932000000.0,574000000.0,0.63,0.63,0.38,13660000000.0,4988000000.0,4206000000.0,1059000000.0,757000000.0,1223000000.0,-438000000.0,-756000000.0,6674000000.0,2241000000.0,280000000.0
CL,2014-09-30,False,Q3,2014,10-Q,4379000000.0,948000000.0,542000000.0,0.59,0.59,0.36,13685000000.0,5181000000.0,4412000000.0,1355000000.0,1746000000.0,2392000000.0,-455000000.0,-1437000000.0,6041000000.0,2355000000.0,493000000.0
CL,2014-06-30,False,Q2,2014,10-Q,4352000000.0,980000000.0,622000000.0,0.68,0.67,0.36,13988000000.0,5174000000.0,4061000000.0,1161000000.0,2071000000.0,1389000000.0,-314000000.0,-830000000.0,6041000000.0,2489000000.0,314000000.0
CL,2014-12-31,False,FY,2014,10-K,17277000000.0,3557000000.0,2180000000.0,2.38,2.36,0.0,13459000000.0,4863000000.0,3946000000.0,1089000000.0,1385000000.0,3298000000.0,-859000000.0,-2170000000.0,6132000000.0,2307000000.0,757000000.0
CL,2015-03-31,False,Q1,2015,10-Q,4070000000.0,860000000.0,542000000.0,0.6,0.59,0.74,13156000000.0,4700000000.0,4323000000.0,859000000.0,739000000.0,727000000.0,-257000000.0,-641000000.0,6110000000.0,2186000000.0,122000000.0
