symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CLB,2011-03-31,False,Q1,2011,10-Q,206733000.0,,46290000.0,1.02,0.94,0.25,597274000.0,304719000.0,252511000.0,80011000.0,283016000.0,58022000.0,4624000.0,-107267000.0,,154217000.0,4379000.0
CLB,2018-12-31,False,FY,2018,10-K,700846000.0,118622000.0,79526000.0,1.8,1.79,2.2,648827000.0,230977000.0,102547000.0,13116000.0,160900000.0,111827000.0,-70639000.0,-42472000.0,292000000.0,219412000.0,21741000.0
CLB,2010-06-30,False,Q2,2010,10-Q,198902000.0,,34216000.0,0.77,0.71,0.06,652661000.0,373971000.0,337412000.0,173622000.0,234393000.0,111360000.0,-22634000.0,-96149000.0,,154217000.0,12696000.0
CLB,2010-09-30,False,Q3,2010,10-Q,199221000.0,,38554000.0,0.86,0.79,0.71,645029000.0,363616000.0,323405000.0,167953000.0,247990000.0,169129000.0,-29636000.0,-152585000.0,,154217000.0,19661000.0
CLB,2011-09-30,False,Q3,2011,10-Q,231344000.0,,44867000.0,0.96,0.93,0.25,562901000.0,254423000.0,210119000.0,17021000.0,138050000.0,146829000.0,-39474000.0,-224214000.0,239586000.0,162326000.0,18203000.0
CLB,2011-06-30,False,Q2,2011,10-Q,225785000.0,,40451000.0,0.88,0.83,0.25,552233000.0,254691000.0,236098000.0,24561000.0,252202000.0,97954000.0,-12304000.0,-194969000.0,89747000.0,154217000.0,11984000.0
CLB,2010-12-31,False,FY,2010,10-K,794653000.0,,144917000.0,3.23,3.0,0.89,636042000.0,349320000.0,279353000.0,133880000.0,292340000.0,205832000.0,-38581000.0,-214416000.0,,154217000.0,27569000.0
CLB,2010-12-31,False,FY,2010,10-K,794653000.0,,144917000.0,3.23,3.0,0.89,636042000.0,349320000.0,279353000.0,133880000.0,292340000.0,205832000.0,-38581000.0,-214416000.0,,154217000.0,27569000.0
CLB,2013-03-31,False,Q1,2013,10-Q,260927000.0,,56516000.0,1.22,1.22,0.32,655443000.0,312867000.0,150750000.0,22927000.0,187907000.0,68258000.0,-9567000.0,-54990000.0,241061000.0,163337000.0,8443000.0
CLB,2012-06-30,False,Q2,2012,10-Q,247006000.0,,52916000.0,1.11,1.11,0.28,622673000.0,291437000.0,126177000.0,23408000.0,224153000.0,100894000.0,-14754000.0,-92064000.0,206676000.0,163337000.0,14894000.0
