symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CLCT,2018-12-31,False,Q2,2019,10-Q,15704000.0,2214000.0,1481000.0,0.17,0.17,0.175,32753000.0,18805000.0,11593000.0,12420000.0,15218000.0,6351000.0,-973000.0,-3539000.0,2813000.0,2083000.0,505000.0
CLCT,2016-12-31,False,Q2,2017,10-Q,17862000.0,4511000.0,2922000.0,0.34,0.34,0.35,27646000.0,18138000.0,13542000.0,10097000.0,13767000.0,5182000.0,-1093000.0,-5959000.0,,2083000.0,726000.0
CLCT,2016-09-30,False,Q1,2017,10-Q,15748000.0,2774000.0,1581000.0,0.19,0.18,0.35,26537000.0,17097000.0,12361000.0,10344000.0,13713000.0,1928000.0,-567000.0,-2984000.0,,2083000.0,439000.0
CLCT,2015-12-31,False,Q2,2016,10-Q,12636000.0,1689000.0,989000.0,0.12,0.12,0.35,28086000.0,19239000.0,11475000.0,12794000.0,15776000.0,2241000.0,-680000.0,-6021000.0,,2083000.0,292000.0
CLCT,2015-09-30,False,Q1,2016,10-Q,14618000.0,3195000.0,1931000.0,0.23,0.23,0.35,30124000.0,21609000.0,11548000.0,14663000.0,17624000.0,862000.0,-407000.0,-3046000.0,,2083000.0,188000.0
CLCT,2016-03-31,False,Q3,2016,10-Q,17329000.0,4405000.0,2778000.0,0.33,0.32,0.35,29830000.0,20888000.0,13351000.0,12581000.0,15743000.0,6001000.0,-1683000.0,-8991000.0,,2083000.0,1113000.0
CLCT,2015-06-30,False,FY,2015,10-K,61684000.0,12108000.0,7401000.0,0.89,0.87,1.35,32202000.0,23872000.0,12669000.0,17254000.0,18469000.0,10604000.0,-1340000.0,-11919000.0,,2083000.0,777000.0
CLCT,2017-03-31,False,Q3,2017,10-Q,18596000.0,4709000.0,2963000.0,0.35,0.35,0.35,28938000.0,19173000.0,14754000.0,10836000.0,13876000.0,9396000.0,-1594000.0,-8933000.0,0.0,2083000.0,919000.0
CLCT,2017-09-30,False,Q1,2018,10-Q,19753000.0,4522000.0,3633000.0,0.42,0.41,0.35,32301000.0,18194000.0,12152000.0,10207000.0,16800000.0,4029000.0,-1675000.0,-1973000.0,3500000000000.0,2083000.0,1401000.0
CLCT,2018-03-31,False,Q3,2018,10-Q,17512000.0,1986000.0,1474000.0,0.17,0.17,0.175,32366000.0,16390000.0,11868000.0,9179000.0,14584000.0,8248000.0,-4347000.0,-4548000.0,3000000.0,2083000.0,3626000.0
CLCT,2018-09-30,False,Q1,2019,10-Q,17495000.0,2827000.0,2131000.0,0.24,0.24,0.175,32804000.0,18661000.0,11671000.0,12194000.0,15098000.0,3890000.0,-491000.0,-1786000.0,3000000.0,2083000.0,297000.0
CLCT,2015-03-31,False,Q3,2015,10-Q,15987000.0,3672000.0,2170000.0,0.26,0.25,0.35,33163000.0,24561000.0,12787000.0,17329000.0,19199000.0,7371000.0,-1032000.0,-8919000.0,,2083000.0,624000.0
CLCT,2017-12-31,False,Q2,2018,10-Q,14063000.0,240000.0,159000.0,0.02,0.02,0.35,31814000.0,15597000.0,11800000.0,8727000.0,14137000.0,5191000.0,-3269000.0,-3021000.0,3000000.0,2083000.0,2761000.0
CLCT,2018-06-30,False,FY,2018,10-K,68449000.0,8977000.0,6236000.0,0.72,0.71,1.05,32214000.0,17733000.0,11973000.0,10581000.0,14268000.0,11657000.0,-4819000.0,-6083000.0,3000000.0,2083000.0,3923000.0
CLCT,2016-06-30,False,FY,2016,10-K,60954000.0,12370000.0,7640000.0,0.9,0.89,1.4,28190000.0,18958000.0,12597000.0,11967000.0,14995000.0,8732000.0,-2011000.0,-12008000.0,,2083000.0,1299000.0
CLCT,2017-06-30,False,FY,2017,10-K,70158000.0,13224000.0,8509000.0,1.0,0.99,1.4,28609000.0,17824000.0,12416000.0,9826000.0,15917000.0,12184000.0,-2413000.0,-11912000.0,0.0,2083000.0,1410000.0
CLCT,2011-12-31,False,Q2,2012,10-Q,11472000.0,1894000.0,1085000.0,0.14,0.14,0.325,34610000.0,25533000.0,7998000.0,20300000.0,23810000.0,4384000.0,-1261000.0,-4749000.0,,2083000.0,512000.0
CLCT,2012-09-30,False,Q1,2013,10-Q,11230000.0,1291000.0,806000.0,0.1,0.1,0.325,34378000.0,25328000.0,9055000.0,19555000.0,22837000.0,1458000.0,-220000.0,-2897000.0,,2083000.0,181000.0
CLCT,2012-03-31,False,Q3,2012,10-Q,13082000.0,2914000.0,1738000.0,0.22,0.22,0.325,35882000.0,27508000.0,9033000.0,20456000.0,24151000.0,7379000.0,-1646000.0,-7203000.0,,2083000.0,922000.0
CLCT,2011-09-30,False,Q1,2012,10-Q,12072000.0,2493000.0,1476000.0,0.19,0.19,0.325,35391000.0,26475000.0,7648000.0,20647000.0,24855000.0,1797000.0,-893000.0,-2183000.0,,2083000.0,298000.0
CLCT,2012-06-30,False,FY,2012,10-K,48359000.0,9157000.0,6749000.0,0.85,0.84,1.3,36445000.0,27446000.0,9322000.0,21214000.0,24531000.0,10786000.0,-1716000.0,-9782000.0,,2083000.0,1052000.0
CLCT,2013-03-31,False,Q3,2013,10-Q,14488000.0,3920000.0,2380000.0,0.3,0.29,0.325,34162000.0,25169000.0,10889000.0,18732000.0,21016000.0,6097000.0,-428000.0,-8151000.0,,2083000.0,529000.0
CLCT,2013-09-30,False,Q1,2014,10-Q,14166000.0,2855000.0,1637000.0,0.2,0.2,0.325,31924000.0,23516000.0,10080000.0,17511000.0,19832000.0,2021000.0,-401000.0,-2820000.0,,2083000.0,403000.0
CLCT,2014-09-30,False,Q1,2015,10-Q,16178000.0,3025000.0,1804000.0,0.22,0.21,0.325,33510000.0,25216000.0,11834000.0,18148000.0,20244000.0,1401000.0,16000.0,-3178000.0,,2083000.0,44000.0
CLCT,2014-03-31,False,Q3,2014,10-Q,16308000.0,3713000.0,2119000.0,0.26,0.26,0.325,33178000.0,24542000.0,12356000.0,17683000.0,19085000.0,8109000.0,-1227000.0,-7910000.0,,2083000.0,1125000.0
CLCT,2012-12-31,False,Q2,2013,10-Q,9595000.0,971000.0,561000.0,0.07,0.07,0.325,32533000.0,23495000.0,9087000.0,17456000.0,21069000.0,2180000.0,-410000.0,-5528000.0,,2083000.0,356000.0
CLCT,2014-12-31,False,Q2,2015,10-Q,14148000.0,2646000.0,1655000.0,0.2,0.19,0.325,32864000.0,24451000.0,12040000.0,17150000.0,19538000.0,3650000.0,-437000.0,-5972000.0,,2083000.0,275000.0
CLCT,2013-12-31,False,Q2,2014,10-Q,13550000.0,2099000.0,1215000.0,0.15,0.15,0.325,31757000.0,23170000.0,10771000.0,16307000.0,19096000.0,3673000.0,-838000.0,-5239000.0,,2083000.0,793000.0
CLCT,2013-06-30,False,FY,2013,10-K,49090000.0,9494000.0,5730000.0,0.71,0.71,1.3,33018000.0,24726000.0,10316000.0,18711000.0,20562000.0,9054000.0,-885000.0,-10672000.0,,2083000.0,1020000.0
CLCT,2014-06-30,False,FY,2014,10-K,60571000.0,12476000.0,7359000.0,0.9,0.89,1.3,35588000.0,27001000.0,13363000.0,19909000.0,20640000.0,12116000.0,-1355000.0,-9563000.0,,2083000.0,1166000.0
