symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CLX,2018-12-31,False,Q2,2019,10-Q,1473000000.0,,182000000.0,1.42,1.4,0.96,5073000000.0,1365000000.0,1186000000.0,162000000.0,742000000.0,449000000.0,-77000000.0,-338000000.0,2285000000.0,1586000000.0,86000000.0
CLX,2011-12-31,False,Q2,2012,10-Q,1221000000.0,,105000000.0,0.79,0.79,0.6,4290000000.0,1348000000.0,1637000000.0,297000000.0,-199000000.0,168000000.0,-163000000.0,38000000.0,,1093000000.0,82000000.0
CLX,2012-09-30,False,Q1,2013,10-Q,1338000000.0,,133000000.0,1.02,1.01,0.64,4747000000.0,1745000000.0,1725000000.0,667000000.0,-20000000.0,208000000.0,-54000000.0,242000000.0,,1123000000.0,54000000.0
CLX,2011-09-30,False,Q1,2012,10-Q,1305000000.0,,130000000.0,0.99,0.98,0.6,4077000000.0,1238000000.0,1268000000.0,270000000.0,-76000000.0,131000000.0,-37000000.0,-77000000.0,,1053000000.0,37000000.0
CLX,2010-09-30,False,Q1,2011,10-Q,1266000000.0,,216000000.0,1.54,1.52,0.55,4793000000.0,1721000000.0,1697000000.0,286000000.0,279000000.0,148000000.0,-34000000.0,75000000.0,,1317000000.0,34000000.0
CLX,2011-03-31,False,Q3,2011,10-Q,1304000000.0,,151000000.0,1.1,1.09,0.55,4051000000.0,1204000000.0,1232000000.0,153000000.0,-82000000.0,406000000.0,613000000.0,-961000000.0,,1066000000.0,159000000.0
CLX,2012-12-31,False,Q2,2013,10-Q,1325000000.0,,123000000.0,0.94,0.93,0.64,4502000000.0,1552000000.0,1373000000.0,445000000.0,56000000.0,325000000.0,6000000.0,-155000000.0,,1119000000.0,102000000.0
CLX,2012-06-30,False,FY,2012,10-K,5468000000.0,,541000000.0,4.14,4.09,2.44,4355000000.0,1376000000.0,2061000000.0,267000000.0,-135000000.0,612000000.0,-277000000.0,-321000000.0,2421000000.0,1112000000.0,192000000.0
CLX,2010-06-30,False,FY,2010,10-K,5534000000.0,,603000000.0,4.28,4.24,2.05,4555000000.0,1124000000.0,1647000000.0,87000000.0,83000000.0,819000000.0,-231000000.0,-706000000.0,,1650000000.0,203000000.0
CLX,2012-03-31,False,Q3,2012,10-Q,1401000000.0,,132000000.0,1.02,1.01,0.6,4386000000.0,1442000000.0,2131000000.0,303000000.0,-106000000.0,325000000.0,-200000000.0,-78000000.0,,1120000000.0,119000000.0
CLX,2011-06-30,False,FY,2011,10-K,5231000000.0,,557000000.0,4.06,4.02,2.25,4163000000.0,1279000000.0,1365000000.0,259000000.0,-86000000.0,698000000.0,544000000.0,-1078000000.0,,1070000000.0,228000000.0
CLX,2013-09-30,False,Q1,2014,10-Q,1364000000.0,,136000000.0,1.04,1.03,0.71,4301000000.0,1420000000.0,1170000000.0,323000000.0,81000000.0,178000000.0,-27000000.0,-128000000.0,,1108000000.0,27000000.0
CLX,2013-03-31,False,Q3,2013,10-Q,1413000000.0,,133000000.0,1.01,1.0,0.64,4523000000.0,1588000000.0,1308000000.0,423000000.0,152000000.0,485000000.0,-27000000.0,-303000000.0,,1118000000.0,134000000.0
CLX,2010-12-31,False,Q2,2011,10-Q,1179000000.0,,21000000.0,0.15,0.15,0.55,4158000000.0,1344000000.0,1176000000.0,379000000.0,124000000.0,225000000.0,683000000.0,-622000000.0,,1063000000.0,89000000.0
