symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CNA,2018-12-31,False,FY,2018,10-K,10134000000.0,,813000000.0,2.99,2.98,3.3,57152000000.0,,,310000000.0,11217000000.0,1227000000.0,-177000000.0,-1085000000.0,2680000000.0,146000000.0,99000000.0
CNA,2011-06-30,False,Q2,2011,10-Q,2198000000.0,,126000000.0,0.47,0.47,0.0,55774000000.0,,,84000000.0,11749000000.0,412000000.0,97000000.0,-504000000.0,,,24000000.0
CNA,2011-09-30,False,Q3,2011,10-Q,2175000000.0,,75000000.0,0.28,0.28,0.0,55844000000.0,,,84000000.0,11956000000.0,813000000.0,-217000000.0,-588000000.0,,,67000000.0
CNA,2012-03-31,False,Q1,2012,10-Q,2401000000.0,,250000000.0,0.93,0.93,0.15,56007000000.0,,,59000000.0,11981000000.0,312000000.0,-287000000.0,-42000000.0,,,22000000.0
CNA,2013-03-31,False,Q1,2013,10-Q,2503000000.0,,250000000.0,0.93,0.93,0.2,58727000000.0,,,123000000.0,12405000000.0,191000000.0,-161000000.0,-56000000.0,,151000000.0,21000000.0
CNA,2012-09-30,False,Q3,2012,10-Q,2466000000.0,,221000000.0,0.82,0.82,0.15,58612000000.0,,,129000000.0,12660000000.0,993000000.0,-747000000.0,-195000000.0,,,60000000.0
CNA,2012-06-30,False,Q2,2012,10-Q,2246000000.0,,166000000.0,0.62,0.62,0.15,56499000000.0,,,100000000.0,12214000000.0,618000000.0,-510000000.0,-83000000.0,,,42000000.0
CNA,2011-12-31,False,FY,2011,10-K,8947000000.0,,614000000.0,2.28,2.28,0.4,55179000000.0,,,75000000.0,11557000000.0,1702000000.0,-1060000000.0,-644000000.0,2608000000.0,,84000000.0
CNA,2014-03-31,False,Q1,2014,10-Q,2463000000.0,,13000000.0,0.05,0.05,1.25,58224000000.0,,,206000000.0,12582000000.0,168000000.0,-354000000.0,210000000.0,,155000000.0,10000000.0
CNA,2012-12-31,False,FY,2012,10-K,9547000000.0,,628000000.0,2.33,2.33,0.6,58522000000.0,,,156000000.0,12314000000.0,1250000000.0,-934000000.0,-239000000.0,2570000000.0,154000000.0,94000000.0
CNA,2013-06-30,False,Q2,2013,10-Q,2493000000.0,,194000000.0,0.72,0.72,0.2,57567000000.0,,,121000000.0,11944000000.0,569000000.0,-471000000.0,-127000000.0,,152000000.0,42000000.0
CNA,2013-12-31,False,FY,2013,10-K,10113000000.0,,937000000.0,3.48,3.47,0.8,57194000000.0,,,195000000.0,12651000000.0,1204000000.0,-898000000.0,-264000000.0,2560000000.0,155000000.0,91000000.0
CNA,2015-03-31,False,Q1,2015,10-Q,2352000000.0,,233000000.0,0.86,0.86,2.25,55465000000.0,,,201000000.0,12437000000.0,94000000.0,526000000.0,-603000000.0,,151000000.0,20000000.0
CNA,2014-12-31,False,FY,2014,10-K,9692000000.0,,691000000.0,2.56,2.55,2.0,55566000000.0,,,190000000.0,12794000000.0,1440000000.0,-918000000.0,-519000000.0,2559000000.0,152000000.0,71000000.0
CNA,2014-09-30,False,Q3,2014,10-Q,2411000000.0,,213000000.0,0.79,0.79,0.25,55731000000.0,,,247000000.0,13034000000.0,1047000000.0,-1087000000.0,95000000.0,,154000000.0,42000000.0
CNA,2015-09-30,False,Q3,2015,10-Q,2153000000.0,,178000000.0,0.66,0.66,0.25,54812000000.0,,,236000000.0,12265000000.0,1045000000.0,-254000000.0,-739000000.0,,151000000.0,84000000.0
CNA,2015-12-31,False,FY,2015,10-K,9101000000.0,,479000000.0,1.77,1.77,3.0,55047000000.0,,,387000000.0,11756000000.0,1387000000.0,-372000000.0,-807000000.0,2562000000.0,150000000.0,125000000.0
CNA,2015-06-30,False,Q2,2015,10-Q,2327000000.0,,138000000.0,0.51,0.51,0.25,55022000000.0,,,145000000.0,12234000000.0,540000000.0,87000000.0,-670000000.0,,153000000.0,57000000.0
CNA,2014-06-30,False,Q2,2014,10-Q,2440000000.0,,267000000.0,0.99,0.98,0.25,59437000000.0,,,204000000.0,13074000000.0,587000000.0,-734000000.0,163000000.0,,156000000.0,27000000.0
CNA,2016-03-31,False,Q1,2016,10-Q,2195000000.0,,66000000.0,0.25,0.24,2.25,55502000000.0,,,242000000.0,11470000000.0,334000000.0,-9000000.0,-469000000.0,,150000000.0,33000000.0
CNA,2013-09-30,False,Q3,2013,10-Q,2504000000.0,,272000000.0,1.01,1.01,0.2,57187000000.0,,,185000000.0,12153000000.0,921000000.0,-689000000.0,-200000000.0,,154000000.0,67000000.0
CNA,2016-09-30,False,Q3,2016,10-Q,2433000000.0,,343000000.0,1.27,1.26,0.25,56859000000.0,,,290000000.0,12195000000.0,1120000000.0,-604000000.0,-605000000.0,,146000000.0,94000000.0
CNA,2017-03-31,False,Q1,2017,10-Q,2330000000.0,,260000000.0,0.96,0.96,2.25,55201000000.0,,,299000000.0,11693000000.0,282000000.0,354000000.0,-609000000.0,,146000000.0,30000000.0
CNA,2016-06-30,False,Q2,2016,10-Q,2348000000.0,,209000000.0,0.77,0.77,0.25,56906000000.0,,,289000000.0,11886000000.0,613000000.0,-167000000.0,-538000000.0,,147000000.0,65000000.0
CNA,2017-09-30,False,Q3,2017,10-Q,2398000000.0,,144000000.0,0.53,0.53,0.3,56582000000.0,,,283000000.0,12169000000.0,894000000.0,-218000000.0,-673000000.0,,147000000.0,80000000.0
CNA,2017-06-30,False,Q2,2017,10-Q,2366000000.0,,272000000.0,1.01,1.0,0.25,56205000000.0,,,225000000.0,12028000000.0,515000000.0,111000000.0,-677000000.0,,147000000.0,68000000.0
CNA,2018-06-30,False,Q2,2018,10-Q,2574000000.0,,270000000.0,0.99,0.99,0.3,57858000000.0,,,288000000.0,11415000000.0,354000000.0,439000000.0,-855000000.0,,147000000.0,76000000.0
CNA,2018-03-31,False,Q1,2018,10-Q,2535000000.0,,291000000.0,1.07,1.07,2.3,57649000000.0,,,282000000.0,11425000000.0,218000000.0,489000000.0,-781000000.0,,149000000.0,38000000.0
CNA,2017-12-31,False,FY,2017,10-K,9449000000.0,,899000000.0,3.32,3.3,3.1,56567000000.0,,,355000000.0,12244000000.0,1254000000.0,-424000000.0,-755000000.0,2858000000.0,148000000.0,102000000.0
CNA,2016-12-31,False,FY,2016,10-K,9366000000.0,,859000000.0,3.18,3.17,3.0,55233000000.0,,,271000000.0,11969000000.0,1416000000.0,-846000000.0,-673000000.0,2710000000.0,145000000.0,146000000.0
CNA,2018-09-30,False,Q3,2018,10-Q,2622000000.0,,336000000.0,1.24,1.23,0.35,57259000000.0,,,310000000.0,11510000000.0,868000000.0,80000000.0,-989000000.0,,147000000.0,87000000.0
