symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CNCE,2018-12-31,False,FY,2018,10-K,10505000.0,-55584000.0,-56024000.0,-2.4,-2.4,0.0,192547000.0,180149000.0,8749000.0,17770000.0,167740000.0,-48029000.0,37903000.0,-169000.0,,,2869000.0
CNCE,2014-06-30,False,Q2,2014,10-Q,1235000.0,-7726000.0,-7990000.0,-0.45,-0.45,0.0,103707000.0,100965000.0,19648000.0,17916000.0,69703000.0,-15210000.0,-57907000.0,81395000.0,,,188000.0
CNCE,2014-09-30,False,Q3,2014,10-Q,4418000.0,-7608000.0,-7832000.0,-0.43,-0.43,0.0,95736000.0,93302000.0,20375000.0,23436000.0,63002000.0,-21770000.0,-44287000.0,79855000.0,,,244000.0
CNCE,2015-09-30,False,Q3,2015,10-Q,1709000.0,-8694000.0,-8554000.0,-0.39,-0.39,0.0,146254000.0,143356000.0,7618000.0,20710000.0,128869000.0,22030000.0,-56680000.0,41964000.0,,,727000.0
CNCE,2015-06-30,False,Q2,2015,10-Q,53409000.0,41690000.0,41046000.0,1.89,1.8,0.0,156203000.0,153397000.0,10585000.0,22567000.0,135744000.0,29936000.0,-64107000.0,43342000.0,,,420000.0
CNCE,2015-03-31,False,Q1,2015,10-Q,1306000.0,-8871000.0,-9002000.0,-0.48,-0.48,0.0,118360000.0,115635000.0,14554000.0,63816000.0,93490000.0,-11036000.0,16274000.0,45182000.0,,,150000.0
CNCE,2014-12-31,False,FY,2014,10-K,8576000.0,-30598000.0,-31754000.0,-2.0,-2.0,0.0,84454000.0,81720000.0,18618000.0,13396000.0,54825000.0,-29760000.0,-44452000.0,77970000.0,,,804000.0
CNCE,2016-06-30,False,Q2,2016,10-Q,71000.0,-13573000.0,-13441000.0,-0.6,-0.6,0.0,122631000.0,120083000.0,7007000.0,53651000.0,106183000.0,-23574000.0,-15524000.0,239000.0,,,231000.0
CNCE,2016-03-31,False,Q1,2016,10-Q,56000.0,-13974000.0,-13880000.0,-0.63,-0.63,0.0,133295000.0,130555000.0,5471000.0,37821000.0,118262000.0,-14470000.0,-40395000.0,176000.0,,,92000.0
CNCE,2017-03-31,False,Q1,2017,10-Q,20000.0,-13470000.0,-13333000.0,-0.6,-0.6,0.0,89031000.0,86428000.0,4900000.0,28106000.0,75020000.0,-13147000.0,-441000.0,1139000.0,,,150000.0
CNCE,2017-06-30,False,Q2,2017,10-Q,15000.0,-12977000.0,-13027000.0,-0.58,-0.58,0.0,108622000.0,106229000.0,6077000.0,27591000.0,64381000.0,-23535000.0,-20565000.0,31136000.0,29188000.0,,229000.0
CNCE,2016-12-31,False,FY,2016,10-K,174000.0,-51167000.0,-50720000.0,-2.28,-2.28,0.0,100395000.0,97729000.0,5570000.0,40555000.0,85594000.0,-45343000.0,-7213000.0,601000.0,,,770000.0
CNCE,2017-09-30,False,Q3,2017,10-Q,143844000.0,131833000.0,127324000.0,5.61,5.44,0.0,212229000.0,209677000.0,7448000.0,32119000.0,195860000.0,110436000.0,-120182000.0,1310000.0,,,653000.0
CNCE,2018-03-31,False,Q1,2018,10-Q,10500000.0,-3807000.0,-4463000.0,-0.19,-0.19,0.0,227646000.0,219463000.0,6570000.0,35697000.0,210397000.0,-12485000.0,19848000.0,669000.0,,,325000.0
CNCE,2016-09-30,False,Q3,2016,10-Q,26000.0,-11468000.0,-11356000.0,-0.51,-0.51,0.0,112362000.0,109768000.0,6898000.0,29803000.0,96140000.0,-33846000.0,-29154000.0,293000.0,,,295000.0
CNCE,2014-03-31,False,Q1,2014,10-Q,1613000.0,-6519000.0,-7005000.0,-0.76,-0.76,0.0,113625000.0,110638000.0,16880000.0,39651000.0,77197000.0,-8095000.0,-45532000.0,83640000.0,,,100000.0
CNCE,2015-12-31,False,FY,2015,10-K,66729000.0,24788000.0,24174000.0,1.14,1.09,0.0,146932000.0,144108000.0,6627000.0,92510000.0,130635000.0,23061000.0,14569000.0,41484000.0,,,868000.0
CNCE,2017-12-31,False,FY,2017,10-K,143891000.0,92649000.0,95195000.0,4.2,4.06,0.0,211736000.0,205734000.0,6445000.0,27665000.0,196432000.0,102927000.0,-121307000.0,5490000.0,,,947000.0
CNCE,2018-09-30,False,Q3,2018,10-Q,11000.0,-17340000.0,-17387000.0,-0.74,-0.74,0.0,208556000.0,196060000.0,7344000.0,39597000.0,185753000.0,-32415000.0,44619000.0,-272000.0,,,2405000.0
CNCE,2018-06-30,False,Q2,2018,10-Q,2000.0,-14374000.0,-13325000.0,-0.57,-0.57,0.0,220515000.0,208994000.0,6166000.0,58359000.0,200283000.0,-21205000.0,52194000.0,-295000.0,,,1521000.0
