symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CNXM,2018-12-31,False,FY,2018,10-K,256668000.0,,138995000.0,1.9,1.89,0.0,925428000.0,30450000.0,48899000.0,3966000.0,,180115000.0,-138869000.0,-40474000.0,393215000.0,,145331000.0
CNNX,2015-12-31,False,FY,2015,10-K,203423000.0,,71247000.0,1.2,1.2,0.0,924425000.0,57588000.0,47783000.0,217000.0,,116017000.0,-291211000.0,172159000.0,73500000.0,,291211000.0
CNNX,2015-03-31,False,Q1,2015,10-Q,43168000.0,,14212000.0,0.24,0.24,0.0,719681000.0,60095000.0,59964000.0,460000.0,,10206000.0,-61806000.0,48808000.0,7500000.0,,61806000.0
CNNX,2016-03-31,False,Q1,2016,10-Q,62248000.0,,24790000.0,0.42,0.42,0.0,935325000.0,56705000.0,30732000.0,14273000.0,,41180000.0,-24386000.0,-2738000.0,74000000.0,,24386000.0
CNNX,2016-06-30,False,Q2,2016,10-Q,58407000.0,,23217000.0,0.39,0.39,0.0,913035000.0,23733000.0,25350000.0,5096000.0,,82957000.0,-33724000.0,-44354000.0,47000000.0,,33724000.0
CNNX,2014-12-31,False,FY,2014,10-K,130172000.0,,56969000.0,0.26,0.26,0.0,686804000.0,63445000.0,72741000.0,3252000.0,,84694000.0,-269601000.0,182183000.0,31300000.0,,269686000.0
CNNX,2014-12-31,False,FY,2014,10-K,130172000.0,,56969000.0,0.26,0.26,0.0,686804000.0,63445000.0,72741000.0,3252000.0,,84694000.0,-269601000.0,182183000.0,31300000.0,,269686000.0
CNNX,2015-09-30,False,Q3,2015,10-Q,53753000.0,,19657000.0,0.33,0.33,0.0,880711000.0,53245000.0,83550000.0,1205000.0,,99268000.0,-232950000.0,131635000.0,56500000.0,,232950000.0
CNNX,2014-09-30,False,Q3,2014,10-Q,35770000.0,,19236000.0,0.0,0.0,0.0,582843000.0,40687000.0,63606000.0,7348000.0,,62363000.0,-185702000.0,124711000.0,0.0,,185702000.0
CNNX,2016-09-30,False,Q3,2016,10-Q,60729000.0,,23631000.0,0.4,0.4,0.0,910715000.0,25914000.0,20804000.0,4196000.0,,122938000.0,-40229000.0,-78730000.0,41000000.0,,40466000.0
CNNX,2017-03-31,False,Q1,2017,10-Q,58958000.0,,30067000.0,0.46,0.45,0.0,926016000.0,31318000.0,23619000.0,6018000.0,,34176000.0,-11192000.0,-23387000.0,162000000.0,,11192000.0
CNNX,2017-06-30,False,Q2,2017,10-Q,56534000.0,,28991000.0,0.44,0.44,0.0,908937000.0,30448000.0,21608000.0,4866000.0,,76434000.0,-9415000.0,-68574000.0,161000000.0,,23415000.0
CNNX,2015-06-30,False,Q2,2015,10-Q,47717000.0,,14912000.0,0.25,0.25,0.0,778284000.0,44712000.0,66185000.0,161000.0,,60460000.0,-138169000.0,74618000.0,23000000.0,,138169000.0
CNNX,2016-12-31,False,FY,2016,10-K,239211000.0,,130122000.0,1.59,1.58,0.0,918557000.0,31036000.0,26296000.0,6421000.0,,160089000.0,-45328000.0,-108557000.0,167000000.0,,50660000.0
CNNX,2017-09-30,False,Q3,2017,10-Q,56658000.0,,28914000.0,0.43,0.43,0.0,911607000.0,25139000.0,20778000.0,3839000.0,,114637000.0,-13374000.0,-103845000.0,157000000.0,,34905000.0
CNXM,2017-12-31,False,FY,2017,10-K,233848000.0,,134062000.0,1.72,1.72,0.0,926589000.0,26718000.0,25978000.0,3194000.0,,155550000.0,-26835000.0,-131942000.0,149500000.0,,48366000.0
CNXM,2018-03-31,False,Q1,2018,10-Q,63869000.0,,27847000.0,0.4,0.4,0.0,932116000.0,28264000.0,26419000.0,1966000.0,,41867000.0,-10156000.0,-32939000.0,392647000.0,,15972000.0
CNXM,2018-09-30,False,Q3,2018,10-Q,60968000.0,,33639000.0,0.47,0.47,0.0,878051000.0,25811000.0,57818000.0,950000.0,,131207000.0,-79366000.0,-54085000.0,392978000.0,,85828000.0
CNXM,2018-06-30,False,Q2,2018,10-Q,61014000.0,,30005000.0,0.43,0.43,0.0,819058000.0,23051000.0,41538000.0,707000.0,,95541000.0,-35125000.0,-62903000.0,393169000.0,,41587000.0
