symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CONE,2018-12-31,False,FY,2018,10-K,821400000.0,89700000.0,1200000.0,0.0,0.0,1.84,5592500000.0,,,64400000.0,2226000000.0,309300000.0,-1341100000.0,944700000.0,2624700000.0,455100000.0,182300000.0
CONE,2014-09-30,False,Q3,2014,10-Q,84800000.0,9600000.0,-100000.0,0.0,0.0,0.21,1538000000.0,,,30400000.0,740000000.0,88300000.0,-194900000.0,-11800000.0,555000000.0,276200000.0,194900000.0
CONE,2013-03-31,False,Q1,2013,10-Q,1400000.0,5800000.0,-1000000.0,-0.05,-0.05,0.16,1574000000.0,,,328600000.0,816500000.0,22900000.0,-43100000.0,336500000.0,525000000.0,276200000.0,26700000.0
CONE,2013-09-30,False,Q3,2013,10-Q,67500000.0,8500000.0,-800000.0,-0.05,-0.05,0.16,1519900000.0,,,213200000.0,790400000.0,62800000.0,-153500000.0,291600000.0,525000000.0,276200000.0,124600000.0
CONE,2013-12-31,False,FY,2013,10-K,263500000.0,11600000.0,-5300000.0,-0.28,-0.28,0.0,1506800000.0,,,148800000.0,777600000.0,77400000.0,-216700000.0,275800000.0,525000000.0,276200000.0,172900000.0
CONE,2014-03-31,False,Q1,2014,10-Q,77500000.0,11800000.0,200000.0,0.0,0.0,0.21,1528100000.0,,,125200000.0,766800000.0,37900000.0,-49700000.0,-11800000.0,525000000.0,276200000.0,49700000.0
CONE,2013-06-30,False,Q2,2013,10-Q,63600000.0,5600000.0,-2300000.0,-0.12,-0.12,0.16,1519800000.0,,,267100000.0,801200000.0,39500000.0,-89200000.0,304500000.0,525000000.0,276200000.0,67000000.0
CONE,2015-06-30,False,Q2,2015,10-Q,89100000.0,2600000.0,-5800000.0,-0.11,-0.11,0.315,1991700000.0,,,413500000.0,865600000.0,61700000.0,-91500000.0,406800000.0,729800000.0,276200000.0,74200000.0
CONE,2014-12-31,False,FY,2014,10-K,330900000.0,40000000.0,-8600000.0,-0.3,-0.3,0.84,1586500000.0,,,36500000.0,717000000.0,111100000.0,-284200000.0,60800000.0,659800000.0,276200000.0,284200000.0
CONE,2015-03-31,False,Q1,2015,10-Q,85700000.0,1600000.0,-4600000.0,-0.12,-0.12,0.315,1576600000.0,,,26000000.0,691200000.0,33300000.0,-49200000.0,5400000.0,679800000.0,276200000.0,31900000.0
