symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
COT,2018-12-29,False,FY,2018,10-K,2372900000.0,58800000.0,382900000.0,2.75,2.71,0.24,3175500000.0,635900000.0,561000000.0,170800000.0,1170400000.0,244300000.0,-282700000.0,-296600000.0,1342200000.0,1143900000.0,130800000.0
COT,2011-10-01,False,Q3,2011,10-Q,611300000.0,29000000.0,16200000.0,0.17,0.17,0.0,1500700000.0,534800000.0,254600000.0,28200000.0,583800000.0,63900000.0,-35200000.0,-23300000.0,,129100000.0,31400000.0
COT,2012-03-31,False,Q1,2012,10-Q,523800000.0,21000000.0,5900000.0,0.06,0.06,0.0,1488000000.0,525200000.0,248000000.0,31600000.0,582100000.0,-43100000.0,-25400000.0,-2300000.0,607200000.0,130300000.0,17700000.0
COT,2012-06-30,False,Q2,2012,10-Q,625800000.0,43200000.0,25100000.0,0.27,0.26,0.0,1528700000.0,576900000.0,266800000.0,47100000.0,602300000.0,38100000.0,-19700000.0,-2000000.0,606300000.0,129600000.0,37400000.0
COT,2011-12-31,False,FY,2011,10-K,2334600000.0,100700000.0,37600000.0,0.4,0.4,0.0,1508900000.0,550900000.0,284500000.0,100900000.0,568200000.0,163500000.0,-90200000.0,-20300000.0,608000000.0,129600000.0,48800000.0
COT,2012-09-29,False,Q3,2012,10-Q,583800000.0,28600000.0,14500000.0,0.15,0.15,0.0,1534000000.0,587200000.0,248900000.0,88100000.0,630100000.0,58000000.0,-15900000.0,-3300000.0,606100000.0,130800000.0,50600000.0
COT,2013-09-28,False,Q3,2013,10-Q,543200000.0,26000000.0,12000000.0,0.13,0.13,0.06,1560400000.0,619600000.0,263600000.0,125800000.0,622600000.0,87400000.0,-16800000.0,-12900000.0,608100000.0,140400000.0,44700000.0
COT,2011-07-02,False,Q2,2011,10-Q,640000000.0,42900000.0,26500000.0,0.28,0.28,0.0,1593800000.0,599000000.0,340400000.0,24000000.0,584700000.0,21300000.0,-15100000.0,-18100000.0,,131300000.0,23300000.0
COT,2013-03-30,False,Q1,2013,10-Q,505400000.0,15100000.0,-2300000.0,,,0.0,1500100000.0,573800000.0,240400000.0,93000000.0,604800000.0,-58600000.0,-19700000.0,-5500000.0,605400000.0,129700000.0,19900000.0
COT,2013-06-29,False,Q2,2013,10-Q,563800000.0,32600000.0,16500000.0,0.17,0.17,0.06,1546100000.0,597000000.0,267200000.0,66800000.0,608600000.0,34100000.0,-22800000.0,-36500000.0,606600000.0,139400000.0,34500000.0
COT,2012-12-29,False,FY,2012,10-K,2250600000.0,109700000.0,47800000.0,0.51,0.5,0.0,1565900000.0,625100000.0,289600000.0,179400000.0,622900000.0,173000000.0,-80400000.0,-16200000.0,605800000.0,130300000.0,69700000.0
COT,2014-03-29,False,Q1,2014,10-Q,475100000.0,4100000.0,-3900000.0,-0.04,-0.04,0.06,1454200000.0,547700000.0,408600000.0,40600000.0,595200000.0,-52500000.0,-10300000.0,56100000.0,522600000.0,136500000.0,8800000.0
COT,2013-12-28,False,FY,2013,10-K,2094000000.0,88600000.0,17000000.0,0.18,0.18,0.24,1426100000.0,505100000.0,352900000.0,47200000.0,605900000.0,155200000.0,-71900000.0,-213300000.0,458300000.0,137300000.0,55600000.0
