symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
COTY,2018-12-31,False,Q2,2019,10-Q,2511200000.0,-804600000.0,-960600000.0,-1.28,-1.28,0.125,21270700000.0,3714400000.0,3865000000.0,417500000.0,7611300000.0,237700000.0,-300100000.0,153700000.0,,7665000000.0,259300000.0
COTY,2013-09-30,False,Q1,2014,10-Q,1178200000.0,165600000.0,93500000.0,0.24,0.24,0.2,6729200000.0,2643800000.0,1589600000.0,946800000.0,1584300000.0,101200000.0,-90600000.0,-9700000.0,,1568100000.0,65600000.0
COTY,2013-12-31,False,Q2,2014,10-Q,1323200000.0,143500000.0,82500000.0,0.21,0.21,0.0,6869000000.0,2749700000.0,1661900000.0,1154000000.0,1701100000.0,447300000.0,-141100000.0,-106100000.0,,1573200000.0,116600000.0
COTY,2015-03-31,False,Q3,2015,10-Q,933800000.0,114700000.0,75500000.0,0.22,0.21,0.0,6108100000.0,2497000000.0,1285200000.0,1144100000.0,528400000.0,388200000.0,-151200000.0,-162300000.0,3586400000.0,1319500000.0,135000000.0
COTY,2014-12-31,False,Q2,2015,10-Q,1259600000.0,183700000.0,125400000.0,0.35,0.35,0.0,6389300000.0,2720900000.0,2225500000.0,1203200000.0,664200000.0,355000000.0,-89500000.0,-210800000.0,3405100000.0,1313700000.0,103100000.0
COTY,2014-09-30,False,Q1,2015,10-Q,1182300000.0,120100000.0,10600000.0,0.03,0.03,0.2,6426700000.0,2699900000.0,2336000000.0,1002700000.0,700200000.0,26200000.0,-60400000.0,-148000000.0,3237900000.0,1324700000.0,59900000.0
COTY,2015-09-30,False,Q1,2016,10-Q,1112300000.0,81700000.0,125700000.0,0.35,0.34,0.25,6157000000.0,2038000000.0,1687200000.0,416000000.0,893300000.0,116700000.0,-42500000.0,6600000.0,2792500000.0,1528700000.0,42600000.0
COTY,2014-03-31,False,Q3,2014,10-Q,1008700000.0,-272000000.0,-253300000.0,-0.66,-0.66,0.0,6508000000.0,2697000000.0,1506400000.0,1147200000.0,1400400000.0,443100000.0,-224300000.0,-32600000.0,,1343300000.0,165200000.0
COTY,2014-06-30,False,FY,2014,10-K,4551600000.0,25700000.0,-97400000.0,-0.26,-0.26,0.2,6592500000.0,2784800000.0,1597300000.0,1238000000.0,854400000.0,536500000.0,-257600000.0,-5700000.0,3293500000.0,1342800000.0,201500000.0
COTY,2015-06-30,False,FY,2015,10-K,4395200000.0,395100000.0,232500000.0,0.66,0.64,0.2,6018900000.0,1856400000.0,1526200000.0,341300000.0,984700000.0,526300000.0,-171200000.0,-1138200000.0,2634700000.0,1530700000.0,170900000.0
COTY,2016-12-31,False,Q2,2017,10-Q,2296700000.0,-12700000.0,46800000.0,0.06,0.06,0.125,21891000000.0,3909300000.0,3137800000.0,939200000.0,9810200000.0,663400000.0,-342000000.0,299200000.0,,7390100000.0,198200000.0
COTY,2016-09-30,False,Q1,2017,10-Q,1080200000.0,46400000.0,0.0,0.0,0.0,0.275,7193400000.0,2107700000.0,1882900000.0,378000000.0,266100000.0,-15000000.0,-111800000.0,131400000.0,742400000.0,2192300000.0,86800000.0
COTY,2017-03-31,False,Q3,2017,10-Q,2032100000.0,-192500000.0,-164200000.0,-0.22,-0.22,0.125,22773300000.0,3746200000.0,3257700000.0,767000000.0,9630600000.0,706700000.0,-1056100000.0,781100000.0,,8111800000.0,324000000.0
COTY,2018-03-31,False,Q3,2018,10-Q,2222700000.0,19900000.0,-77000000.0,-0.1,-0.1,0.0,23765000000.0,3910600000.0,3941800000.0,460800000.0,9499600000.0,188900000.0,-580700000.0,290900000.0,7986600000.0,8972800000.0,318700000.0
