symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CPF,2018-12-31,False,FY,2018,10-K,103166000.0,,59486000.0,2.02,2.01,0.82,5807026000.0,,,80569000.0,491725000.0,103486000.0,-211143000.0,127550000.0,122166000.0,,3225000.0
CPF,2011-09-30,False,Q3,2011,10-Q,45839000.0,,11626000.0,0.28,0.28,0.0,4119158000.0,,,68508000.0,450855000.0,9624000.0,-635839000.0,135337000.0,258347000.0,,706000.0
CPF,2012-03-31,False,Q1,2012,10-Q,46135000.0,,13478000.0,0.32,0.32,0.0,4158288000.0,,,69873000.0,477440000.0,26805000.0,-170580000.0,14237000.0,108294000.0,,519000.0
CPF,2011-06-30,False,Q2,2011,10-Q,45121000.0,,8211000.0,0.2,0.2,0.0,4131733000.0,,,68986000.0,433774000.0,27731000.0,-534381000.0,169374000.0,409076000.0,,784000.0
CPF,2011-12-31,False,FY,2011,10-K,186631000.0,,120468000.0,3.36,3.31,0.0,4132865000.0,,,76233000.0,466420000.0,23123000.0,-687244000.0,130454000.0,158298000.0,,747000.0
CPF,2013-09-30,False,Q3,2013,10-Q,47488000.0,,10204000.0,0.24,0.24,0.08,4744483000.0,,,59400000.0,653536000.0,69678000.0,-388485000.0,238331000.0,108268000.0,,3920000.0
CPF,2012-06-30,False,Q2,2012,10-Q,46093000.0,,10812000.0,0.26,0.26,0.0,4227070000.0,,,72967000.0,490482000.0,28097000.0,-180404000.0,68746000.0,108289000.0,,1901000.0
CPF,2012-09-30,False,Q3,2012,10-Q,47603000.0,,10721000.0,0.26,0.26,0.0,4309618000.0,,,61078000.0,511005000.0,42688000.0,-207102000.0,128015000.0,108285000.0,,2770000.0
CPF,2012-12-31,False,FY,2012,10-K,57000.0,,47421000.0,1.14,1.13,0.0,4370368000.0,,,56473000.0,514779000.0,39388000.0,-306278000.0,187193000.0,108281000.0,,3696000.0
CPF,2013-06-30,False,Q2,2013,10-Q,52804000.0,,14267000.0,0.34,0.34,0.08,4706756000.0,,,57477000.0,651981000.0,75548000.0,-290634000.0,174885000.0,108272000.0,,3075000.0
CPF,2013-03-31,False,Q1,2013,10-Q,45067000.0,,137309000.0,3.28,3.25,0.0,4581077000.0,,,46877000.0,660052000.0,32738000.0,-79518000.0,83914000.0,108276000.0,,1337000.0
CPF,2014-03-31,False,Q1,2014,10-Q,47537000.0,,9808000.0,0.23,0.23,0.08,4827437000.0,,,85347000.0,608464000.0,19016000.0,-48430000.0,71332000.0,92795000.0,,416000.0
CPF,2014-06-30,False,Q2,2014,10-Q,49540000.0,,9150000.0,0.25,0.25,0.08,4727766000.0,,,83539000.0,564568000.0,35556000.0,50302000.0,-48187000.0,92790000.0,,2573000.0
CPF,2013-12-31,False,FY,2013,10-K,2031000.0,,172075000.0,4.1,4.07,0.16,4741198000.0,,,45092000.0,660174000.0,84531000.0,-442050000.0,229492000.0,92799000.0,,6287000.0
CPF,2015-06-30,False,Q2,2015,10-Q,47020000.0,,12335000.0,0.39,0.39,0.12,4967851000.0,,,66715000.0,488847000.0,27572000.0,-125629000.0,93540000.0,92785000.0,,1421000.0
CPF,2014-09-30,False,Q3,2014,10-Q,48602000.0,,8230000.0,0.23,0.23,0.1,4750269000.0,,,76047000.0,569042000.0,62500000.0,13537000.0,-35264000.0,92785000.0,,4425000.0
CPF,2014-12-31,False,FY,2014,10-K,159424000.0,,40453000.0,1.08,1.07,0.36,4852987000.0,,,72316000.0,568041000.0,71432000.0,-83135000.0,48362000.0,92785000.0,,6017000.0
CPF,2015-03-31,False,Q1,2015,10-Q,48971000.0,,10395000.0,0.3,0.29,0.12,4965925000.0,,,74743000.0,572925000.0,15711000.0,-113380000.0,96883000.0,92785000.0,,1033000.0
CPF,2015-09-30,False,Q3,2015,10-Q,49271000.0,,12206000.0,0.39,0.38,0.12,5021833000.0,,,69628000.0,503261000.0,61896000.0,-195851000.0,131952000.0,92785000.0,,3014000.0
CPF,2015-12-31,False,FY,2015,10-K,111865000.0,,45868000.0,1.42,1.4,0.82,5131288000.0,,,71797000.0,494639000.0,74505000.0,-315141000.0,234823000.0,92785000.0,,5817000.0
CPF,2016-06-30,False,Q2,2016,10-Q,53562000.0,,12137000.0,0.39,0.39,0.14,5282967000.0,,,76482000.0,517616000.0,50669000.0,-149821000.0,109624000.0,92785000.0,,2183000.0
CPF,2016-03-31,False,Q1,2016,10-Q,51414000.0,,11181000.0,0.36,0.35,0.14,5242202000.0,,,85495000.0,509377000.0,24150000.0,-102704000.0,91035000.0,92785000.0,,654000.0
CPF,2016-09-30,False,Q3,2016,10-Q,52740000.0,,11466000.0,0.37,0.37,0.16,5319947000.0,,,79647000.0,519492000.0,69012000.0,-184791000.0,138959000.0,92785000.0,,3574000.0
CPF,2017-03-31,False,Q1,2017,10-Q,54227000.0,,13079000.0,0.43,0.42,0.16,5443181000.0,,,83670000.0,511561000.0,45170000.0,-70270000.0,46792000.0,92785000.0,,1582000.0
CPF,2017-09-30,False,Q3,2017,10-Q,55562000.0,,11812000.0,0.39,0.39,0.18,5569230000.0,,,90080000.0,509870000.0,76579000.0,-199749000.0,147104000.0,92785000.0,,4849000.0
CPF,2016-12-31,False,FY,2016,10-K,30071000.0,,46992000.0,1.52,1.5,0.6,5384236000.0,,,75272000.0,504675000.0,76485000.0,-277216000.0,204878000.0,92785000.0,,5896000.0
CPF,2017-12-31,False,FY,2017,10-K,43156000.0,,41204000.0,1.36,1.34,0.7,5623708000.0,,,75318000.0,500035000.0,96784000.0,-296127000.0,197295000.0,92785000.0,,6531000.0
CPF,2017-12-31,True,FY,2017,10-K,43156000.0,,41204000.0,1.36,1.34,0.7,5623708000.0,,,75318000.0,500035000.0,96784000.0,-296127000.0,197295000.0,92785000.0,,6531000.0
CPF,2017-06-30,False,Q2,2017,10-Q,52950000.0,,12025000.0,0.39,0.39,0.18,5533135000.0,,,85975000.0,512955000.0,58172000.0,-123503000.0,121541000.0,92785000.0,,4144000.0
CPF,2018-03-31,False,Q1,2018,10-Q,56264000.0,,14277000.0,0.48,0.48,0.19,5651287000.0,,,59905000.0,484108000.0,29345000.0,-78154000.0,32296000.0,92785000.0,,687000.0
CPF,2018-09-30,False,Q3,2018,10-Q,60956000.0,,15193000.0,0.52,0.52,0.21,5728640000.0,,,82668000.0,478151000.0,78206000.0,-148304000.0,77524000.0,92785000.0,,2536000.0
CPF,2018-06-30,False,Q2,2018,10-Q,58139000.0,,14224000.0,0.48,0.48,0.21,5681519000.0,,,75547000.0,480668000.0,49681000.0,-90267000.0,47788000.0,92785000.0,,1833000.0
