symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CREX,2018-09-30,False,Q3,2018,10-Q,6001000.0,-508000.0,-983000.0,-0.35,-0.31,0.0,25281000.0,8403000.0,12919000.0,1500000.0,2834000.0,-1348000.0,-255000.0,2100000.0,8375000.0,14989000.0,255000.0
RNIN,2014-06-30,False,Q2,2014,10-Q,1166000.0,-950000.0,-989000.0,-0.17,-0.17,0.0,1678000.0,1333000.0,1447000.0,187000.0,-765000.0,-1551000.0,-128000.0,382000.0,,,28000.0
RNIN,2013-03-31,False,Q1,2013,10-Q,1407000.0,-1405000.0,-1412000.0,,,0.0,4648000.0,4206000.0,2245000.0,3060000.0,2403000.0,-563000.0,-20000.0,1391000.0,,,20000.0
RNIN,2014-03-31,False,Q1,2014,10-Q,1263000.0,-1004000.0,-1083000.0,-0.17,-0.17,0.0,2128000.0,1846000.0,1456000.0,675000.0,-29000.0,-782000.0,-27000.0,,,,27000.0
RNIN,2012-09-30,False,Q3,2012,10-Q,1769000.0,-1179000.0,-1180000.0,0.0,0.0,0.0,5503000.0,4968000.0,2120000.0,3465000.0,3383000.0,-3163000.0,-36000.0,1208000.0,,,36000.0
RNIN,2012-12-31,False,FY,2012,10-K,6704000.0,-5399000.0,-5406000.0,,,0.0,4364000.0,3879000.0,2107000.0,2252000.0,2257000.0,-4760000.0,-47000.0,1586000.0,,,47000.0
RNIN,2013-06-30,False,Q2,2013,10-Q,2626000.0,-70000.0,-76000.0,-0.01,-0.01,0.0,4271000.0,3885000.0,1857000.0,2204000.0,2414000.0,-1411000.0,-23000.0,1391000.0,,,23000.0
RNIN,2013-12-31,False,FY,2013,10-K,6802000.0,-3572000.0,-3597000.0,-0.63,-0.63,0.0,3056000.0,2758000.0,1473000.0,1484000.0,708000.0,-2826000.0,-29000.0,2073000.0,,,29000.0
CREX,2015-03-31,False,Q1,2015,10-Q,2126000.0,-2605000.0,-2046000.0,-0.04,-0.04,0.0,20483000.0,4492000.0,6728000.0,473000.0,9979000.0,-1309000.0,-29000.0,1238000.0,,9210000.0,29000.0
CREX,2015-09-30,False,Q3,2015,10-Q,3369000.0,-1317000.0,-1775000.0,-0.04,-0.04,0.0,18244000.0,2861000.0,8465000.0,264000.0,6136000.0,-1953000.0,-585000.0,2229000.0,,9094000.0,585000.0
CREX,2016-03-31,False,Q1,2016,10-Q,2435000.0,-1597000.0,-1878000.0,-0.03,-0.03,0.0,21735000.0,1956000.0,7347000.0,339000.0,5908000.0,-965000.0,-57000.0,,2488000.0,14354000.0,57000.0
RNIN,2013-09-30,False,Q3,2013,10-Q,1534000.0,-1148000.0,-1154000.0,-0.2,-0.2,0.0,3123000.0,2784000.0,1763000.0,1103000.0,1360000.0,-2120000.0,-23000.0,995000.0,,,23000.0
