symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CRMD,2013-03-31,True,Q1,2013,10-Q,,-806776.0,-1247051.0,-0.13,-0.13,0.0,967649.0,950182.0,2082913.0,692720.0,-1126217.0,-617751.0,0.0,475000.0,207467.0,,61709.0
CRMD,2018-09-30,False,Q3,2018,10-Q,372514.0,-10241453.0,-10236119.0,-0.11,-0.11,0.0,8048675.0,7870214.0,17546249.0,6443868.0,-9497574.0,-16500414.0,1555305.0,11012647.0,,,48893.0
CRMD,2013-09-30,False,Q3,2013,10-Q,,-1265302.0,-2509899.0,-0.18,-0.18,0.0,1036756.0,1020375.0,3936870.0,483052.0,-2908604.0,-2695295.0,0.0,27333118.0,0.0,,61709.0
CRMD,2015-03-31,False,Q1,2015,10-Q,31264.0,-5496924.0,-5497669.0,-0.23,-0.23,0.0,9751752.0,9686399.0,2119898.0,8799328.0,7596207.0,-2348297.0,-12944.0,6827668.0,,,12944.0
CRMD,2012-12-31,True,FY,2012,10-K,,-2999711.0,-3380682.0,-0.3,-0.3,0.0,1153265.0,1135255.0,1476456.0,835471.0,-335376.0,-2276260.0,-61709.0,1126397.0,16061.0,,61709.0
CRMD,2013-06-30,True,Q2,2013,10-Q,,-1298910.0,-1960871.0,-0.15,-0.15,0.0,395085.0,378161.0,2579107.0,158405.0,-2193743.0,-1177066.0,0.0,25490242.0,166466.0,,61709.0
CRMD,2013-12-31,False,FY,2013,10-K,2001.0,-4915395.0,-9517405.0,-0.69,-0.69,0.0,2967800.0,2916031.0,1674081.0,2373893.0,-4022343.0,-3618532.0,-35683.0,5204082.0,,,97392.0
CRMD,2013-09-30,True,Q3,2013,10-Q,,-1255302.0,-2499899.0,-0.18,-0.18,0.0,1036756.0,1020375.0,3766870.0,483052.0,-2738604.0,-2695295.0,0.0,27333118.0,0.0,,61709.0
CRMD,2013-06-30,True,Q2,2013,10-Q,,-1288910.0,-1950871.0,-0.15,-0.15,0.0,395085.0,378161.0,2419107.0,158405.0,-2033743.0,-1177066.0,0.0,25490242.0,166466.0,,61709.0
CRMD,2014-12-31,False,FY,2014,10-K,189274.0,-8902120.0,-20536326.0,-0.96,-0.96,0.0,5097762.0,5037962.0,1425387.0,4339540.0,3634472.0,-6320819.0,-25402.0,8357916.0,,,25402.0
CRMD,2015-06-30,False,Q2,2015,10-Q,119973.0,-4134589.0,-4135100.0,-0.13,-0.13,0.0,38796026.0,38746374.0,1911775.0,24110836.0,36850860.0,-5947178.0,-13396378.0,39121489.0,,,13797.0
CRMD,2015-09-30,False,Q3,2015,10-Q,35947.0,-4712560.0,-4688476.0,-0.14,-0.14,0.0,39306582.0,39260507.0,2881594.0,14246979.0,36391597.0,-8891841.0,-23618063.0,42422467.0,,,13796.0
CRMD,2014-03-31,False,Q1,2014,10-Q,12203.0,-2934550.0,-16713291.0,-0.87,-0.87,0.0,9761335.0,9714419.0,1122470.0,9189398.0,-3729021.0,-1429289.0,0.0,8253416.0,,,97392.0
CRMD,2014-06-30,False,Q2,2014,10-Q,39729.0,-1889720.0,2715490.0,0.12,-0.05,0.0,8255514.0,8187992.0,1180516.0,7651844.0,-1600780.0,-2935421.0,-19613.0,8253416.0,,,19613.0
CRMD,2014-09-30,False,Q3,2014,10-Q,52441.0,-1863536.0,-5035117.0,-0.23,-0.23,0.0,6845035.0,6784818.0,1227249.0,5920020.0,5577626.0,-4746676.0,-25898.0,8349216.0,,,25898.0
CRMD,2013-03-31,True,Q1,2013,10-Q,,-816776.0,-1257051.0,-0.14,-0.14,0.0,967649.0,950182.0,2232913.0,692720.0,-1276217.0,-617751.0,0.0,475000.0,207467.0,,61709.0
