symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CSGP,2012-03-31,False,Q1,2012,10-Q,68629000.0,8602000.0,5132000.0,0.2,0.2,0.0,773751000.0,584908000.0,57743000.0,549096000.0,666705000.0,6381000.0,-1767000.0,-814000.0,,92624000.0,3012000.0
CSGP,2011-06-30,False,Q2,2011,10-Q,62127000.0,3909000.0,2637000.0,0.12,0.12,0.0,757856000.0,578622000.0,60216000.0,547617000.0,645864000.0,15284000.0,73899000.0,251934000.0,,80466000.0,9887000.0
CSGP,2011-09-30,False,Q3,2011,10-Q,63829000.0,3004000.0,2311000.0,0.09,0.09,0.0,764753000.0,589381000.0,64606000.0,550740000.0,649690000.0,19707000.0,72196000.0,252367000.0,,79849000.0,12172000.0
CSGP,2011-12-31,False,FY,2011,10-K,251738000.0,21771000.0,14656000.0,0.63,0.62,0.0,771035000.0,583183000.0,61782000.0,545280000.0,659177000.0,25685000.0,58366000.0,254780000.0,,91784000.0,15013000.0
CSGP,2012-06-30,False,Q2,2012,10-Q,85223000.0,-13000.0,-6710000.0,-0.25,-0.25,0.0,1141287000.0,159609000.0,85261000.0,103338000.0,802592000.0,30578000.0,-636578000.0,164059000.0,172813000.0,717212000.0,6117000.0
CSGP,2012-09-30,False,Q3,2012,10-Q,96001000.0,8946000.0,6779000.0,0.25,0.24,0.0,1154659000.0,184333000.0,93028000.0,129462000.0,815851000.0,56558000.0,-635311000.0,162872000.0,170625000.0,718080000.0,9002000.0
CSGP,2018-12-31,False,FY,2018,10-K,1205584000.0,273564000.0,238334000.0,6.61,6.54,0.0,3312957000.0,1213298000.0,154159000.0,1100416000.0,3021942000.0,335458000.0,-448001000.0,2744000.0,200000.0,1611535000.0,29632000.0
CSGP,2013-09-30,False,Q3,2013,10-Q,112301000.0,19770000.0,11052000.0,0.4,0.39,0.0,1230374000.0,277570000.0,107403000.0,222938000.0,899319000.0,72828000.0,-15244000.0,9219000.0,,718039000.0,15331000.0
CSGP,2013-06-30,False,Q2,2013,10-Q,108999000.0,15283000.0,8293000.0,0.3,0.29,0.0,1197018000.0,244698000.0,102735000.0,190101000.0,866596000.0,41567000.0,-8834000.0,1361000.0,,716580000.0,8912000.0
CSGP,2013-03-31,False,Q1,2013,10-Q,104033000.0,-2598000.0,-2410000.0,-0.09,-0.09,0.0,1183858000.0,225465000.0,97719000.0,167394000.0,850651000.0,10708000.0,-4560000.0,5249000.0,,716569000.0,4643000.0
CSGP,2012-12-31,False,FY,2012,10-K,349936000.0,27440000.0,9915000.0,0.37,0.37,0.0,1165139000.0,199563000.0,101638000.0,156027000.0,826343000.0,86126000.0,-640398000.0,164941000.0,170625000.0,718078000.0,14834000.0
CSGP,2013-12-31,False,FY,2013,10-K,440943000.0,54154000.0,29734000.0,1.07,1.05,0.0,1256982000.0,308466000.0,111553000.0,255953000.0,927862000.0,108298000.0,-18966000.0,10405000.0,153125000.0,718587000.0,19042000.0
CSGP,2014-06-30,False,Q2,2014,10-Q,147708000.0,16909000.0,8249000.0,0.28,0.28,0.0,2046394000.0,531014000.0,117286000.0,444857000.0,1471241000.0,43334000.0,-595105000.0,740533000.0,,1141187000.0,11437000.0
CSGP,2014-03-31,False,Q1,2014,10-Q,119076000.0,17141000.0,9740000.0,0.34,0.34,0.0,1244796000.0,303751000.0,107276000.0,223443000.0,929793000.0,-6555000.0,-4149000.0,-21844000.0,,718824000.0,4149000.0
CSGP,2014-09-30,False,Q3,2014,10-Q,153056000.0,23480000.0,12957000.0,0.41,0.4,0.0,2064341000.0,562752000.0,120201000.0,486195000.0,1492373000.0,96036000.0,-603933000.0,738248000.0,0.0,1139917000.0,20865000.0
