symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CSL,2011-09-30,False,Q3,2011,10-Q,870500000.0,81800000.0,53700000.0,0.86,0.85,11.2,2803200000.0,1212800000.0,585400000.0,81800000.0,1470900000.0,118900000.0,-150900000.0,24000000.0,,710500000.0,48500000.0
CSL,2010-09-30,False,Q3,2010,10-Q,665900000.0,66500000.0,50500000.0,0.82,0.81,0.17,2071300000.0,983900000.0,359500000.0,114800000.0,1318700000.0,62400000.0,-20700000.0,-23500000.0,,450600000.0,46800000.0
CSL,2010-06-30,False,Q2,2010,10-Q,709400000.0,64200000.0,38600000.0,0.63,0.62,0.16,2029700000.0,941200000.0,367100000.0,96600000.0,1269800000.0,20500000.0,-6300000.0,-13300000.0,,449800000.0,31600000.0
CSL,2011-03-31,False,Q1,2011,10-Q,693600000.0,55200000.0,33400000.0,0.54,0.53,0.17,2581100000.0,1077700000.0,477400000.0,104200000.0,1369900000.0,-300000.0,-16400000.0,29600000.0,,665600000.0,16900000.0
CSL,2012-03-31,False,Q1,2012,10-Q,889300000.0,96200000.0,60000000.0,0.96,0.94,11.2,3241600000.0,1285400000.0,645500000.0,68900000.0,1562100000.0,48300000.0,-49500000.0,-5900000.0,766400000.0,867500000.0,22000000.0
CSL,2012-09-30,False,Q3,2012,10-Q,910200000.0,110600000.0,69500000.0,1.1,1.08,0.2,3243300000.0,1276500000.0,670700000.0,87100000.0,1733200000.0,323200000.0,-117200000.0,-194500000.0,574600000.0,859100000.0,93700000.0
CSL,2010-12-31,False,FY,2010,10-K,2527700000.0,196100000.0,145600000.0,2.36,2.34,0.66,2529500000.0,1016900000.0,456400000.0,89400000.0,1340700000.0,107400000.0,-339300000.0,223800000.0,,667100000.0,64600000.0
CSL,2012-12-31,False,FY,2012,10-K,3629400000.0,424300000.0,270200000.0,4.3,4.22,0.76,3457300000.0,1205300000.0,470600000.0,112500000.0,1788100000.0,485900000.0,-428500000.0,-20600000.0,752500000.0,958800000.0,140400000.0
CSL,2011-12-31,False,FY,2011,10-K,3224500000.0,275100000.0,180300000.0,2.91,2.86,0.7,3137900000.0,1214100000.0,613500000.0,74700000.0,1500100000.0,191200000.0,-463500000.0,256400000.0,762400000.0,845200000.0,79600000.0
CSL,2013-03-31,False,Q1,2013,10-Q,857000000.0,70100000.0,55200000.0,0.87,0.85,0.2,3458300000.0,1215100000.0,433400000.0,116000000.0,1834900000.0,38000000.0,-26500000.0,-7500000.0,753300000.0,957400000.0,26800000.0
CSL,2013-06-30,False,Q2,2013,10-Q,996100000.0,22500000.0,8200000.0,0.13,0.13,0.2,3462400000.0,1328300000.0,465200000.0,168200000.0,1841200000.0,119500000.0,-49100000.0,-13900000.0,752600000.0,858000000.0,49400000.0
CSL,2011-06-30,False,Q2,2011,10-Q,870800000.0,85400000.0,54600000.0,0.88,0.86,10.6,2702900000.0,1207900000.0,538900000.0,99100000.0,1433300000.0,13700000.0,-29800000.0,23000000.0,,664000000.0,33800000.0
CSL,2012-06-30,False,Q2,2012,10-Q,984600000.0,140300000.0,92800000.0,1.48,1.45,0.18,3296600000.0,1334800000.0,708900000.0,76800000.0,1654800000.0,154300000.0,-84100000.0,-68300000.0,699500000.0,858200000.0,60600000.0
CSL,2014-09-30,False,Q3,2014,10-Q,904100000.0,134000000.0,87300000.0,1.35,1.32,0.25,3718400000.0,1761100000.0,437300000.0,805100000.0,2150600000.0,164700000.0,-80700000.0,-32300000.0,751300000.0,854800000.0,93100000.0
CSL,2014-06-30,False,Q2,2014,10-Q,859500000.0,122300000.0,75200000.0,1.16,1.14,0.22,3656900000.0,1689000000.0,431100000.0,757000000.0,2093000000.0,70400000.0,-50500000.0,-17200000.0,751200000.0,858700000.0,63900000.0
CSL,2013-09-30,False,Q3,2013,10-Q,968800000.0,123400000.0,76600000.0,1.2,1.18,0.22,3596900000.0,1462100000.0,515600000.0,332400000.0,1923600000.0,315500000.0,-71000000.0,-24400000.0,752600000.0,859600000.0,77700000.0
