symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CSOD,2014-03-31,False,Q1,2014,10-Q,57409000.0,-12722000.0,-15790000.0,-0.3,-0.3,0.0,436518000.0,373488000.0,160327000.0,108685000.0,50814000.0,879000.0,-7037000.0,5152000.0,219714000.0,8193000.0,3196000.0
CSOD,2013-06-30,False,Q2,2013,10-Q,44346000.0,-8105000.0,-8683000.0,-0.17,-0.17,0.0,397195000.0,356561000.0,122422000.0,290264000.0,52947000.0,-1114000.0,-5791000.0,221022000.0,214529000.0,8193000.0,2377000.0
CSOD,2013-09-30,False,Q3,2013,10-Q,48270000.0,-8203000.0,-11054000.0,-0.21,-0.21,0.0,412795000.0,312879000.0,137129000.0,89641000.0,52708000.0,-2064000.0,-209954000.0,225214000.0,216236000.0,8193000.0,6467000.0
CSOD,2012-06-30,False,Q2,2012,10-Q,26718000.0,-8054000.0,-8234000.0,-0.17,-0.17,0.0,134678000.0,107861000.0,73178000.0,66968000.0,52719000.0,-2360000.0,-15078000.0,-884000.0,,8193000.0,188000.0
CSOD,2018-12-31,False,FY,2018,10-K,876000000.0,-7769000.0,-33842000.0,-0.58,-0.58,0.0,807156000.0,573035000.0,400423000.0,183596000.0,55907000.0,90253000.0,-20876000.0,-278016000.0,,47453000.0,14895000.0
CSOD,2014-09-30,False,Q3,2014,10-Q,68318000.0,-9907000.0,-14311000.0,-0.27,-0.27,0.0,459322000.0,348215000.0,185062000.0,103994000.0,41447000.0,-11431000.0,-1864000.0,8595000.0,223279000.0,8193000.0,10522000.0
CSOD,2012-12-31,False,FY,2012,10-K,117914000.0,-31777000.0,-31390000.0,-0.63,-0.63,0.0,171834000.0,141573000.0,114038000.0,76442000.0,46648000.0,10294000.0,-19581000.0,312000.0,,8193000.0,2123000.0
CSOD,2015-03-31,False,Q1,2015,10-Q,73955000.0,-17673000.0,-23262000.0,-0.43,-0.43,0.0,471625000.0,322032000.0,206131000.0,86648000.0,22470000.0,-2650000.0,-75535000.0,1164000.0,226932000.0,25894000.0,5064000.0
CSOD,2014-06-30,False,Q2,2014,10-Q,61468000.0,-13117000.0,-16632000.0,-0.31,-0.31,0.0,446462000.0,342626000.0,173255000.0,96578000.0,44133000.0,-7278000.0,-12352000.0,6539000.0,221485000.0,8193000.0,7269000.0
CSOD,2013-03-31,False,Q1,2013,10-Q,37657000.0,-9841000.0,-9934000.0,-0.2,-0.2,0.0,165119000.0,133754000.0,111203000.0,76170000.0,43368000.0,478000.0,-3402000.0,2820000.0,,8193000.0,1467000.0
CSOD,2012-09-30,False,Q3,2012,10-Q,30768000.0,-7943000.0,-7627000.0,-0.15,-0.15,0.0,149277000.0,121004000.0,90321000.0,64492000.0,49255000.0,-3793000.0,-16437000.0,-663000.0,,8193000.0,347000.0
CSOD,2011-06-30,False,Q2,2011,10-Q,14870000.0,-7152000.0,-7074000.0,-0.15,-0.15,0.0,117407000.0,108939000.0,46117000.0,48658000.0,67556000.0,-3596000.0,-36210000.0,81397000.0,,,769000.0
CSOD,2015-09-30,False,Q3,2015,10-Q,87271000.0,-17031000.0,-20149000.0,-0.37,-0.37,0.0,497097000.0,352930000.0,239022000.0,57927000.0,10107000.0,-9284000.0,-105778000.0,8717000.0,230676000.0,25894000.0,15006000.0
CSOD,2015-06-30,False,Q2,2015,10-Q,82563000.0,-19169000.0,-23262000.0,-0.43,-0.43,0.0,483405000.0,349356000.0,226984000.0,79379000.0,12144000.0,-15332000.0,-73372000.0,3294000.0,228792000.0,25894000.0,8509000.0
CSOD,2011-12-31,False,FY,2011,10-K,73022000.0,-19307000.0,-69108000.0,-1.74,-1.74,0.0,135362000.0,126845000.0,67089000.0,85409000.0,62460000.0,1832000.0,-3885000.0,80639000.0,,,784000.0
CSOD,2011-09-30,False,Q3,2011,10-Q,20019000.0,-2992000.0,-4277000.0,-0.09,-0.09,0.0,119788000.0,110892000.0,51100000.0,64375000.0,64861000.0,-3040000.0,-20144000.0,80637000.0,,,848000.0
CSOD,2014-12-31,False,FY,2014,10-K,263568000.0,-49916000.0,-64899000.0,-1.22,-1.22,0.0,505655000.0,406405000.0,230450000.0,166557000.0,35502000.0,33009000.0,15005000.0,10840000.0,225094000.0,25894000.0,11025000.0
CSOD,2015-12-31,False,FY,2015,10-K,339651000.0,-68707000.0,-85516000.0,-1.58,-1.58,0.0,561545000.0,400425000.0,303440000.0,107691000.0,7822000.0,43796000.0,-110939000.0,11005000.0,232583000.0,25894000.0,15633000.0
CSOD,2013-12-31,False,FY,2013,10-K,185129000.0,-33992000.0,-40426000.0,-0.79,-0.79,0.0,451355000.0,407451000.0,173274000.0,109583000.0,52895000.0,17431000.0,-213445000.0,228928000.0,217965000.0,8193000.0,8762000.0
CSOD,2016-03-31,False,Q1,2016,10-Q,99324000.0,-16657000.0,-18243000.0,-0.33,-0.33,0.0,525452000.0,414231000.0,273464000.0,94527000.0,7287000.0,-14854000.0,-2459000.0,4051000.0,234513000.0,25894000.0,1460000.0
CSOD,2012-03-31,False,Q1,2012,10-Q,24002000.0,-8126000.0,-8112000.0,-0.16,-0.16,0.0,130675000.0,120192000.0,66900000.0,87186000.0,57392000.0,3029000.0,-1310000.0,-65000.0,,,46000.0
CSOD,2017-06-30,False,Q2,2017,10-Q,116651000.0,-18568000.0,-21265000.0,-0.37,-0.37,0.0,597399000.0,487895000.0,557592000.0,107002000.0,29557000.0,-5611000.0,21739000.0,6311000.0,244530000.0,25894000.0,3740000.0
CSOD,2016-09-30,False,Q3,2016,10-Q,107758000.0,-10039000.0,-12388000.0,-0.22,-0.22,0.0,551839000.0,388523000.0,281576000.0,65290000.0,22759000.0,1718000.0,-61344000.0,17737000.0,238446000.0,25894000.0,4345000.0
CSOD,2017-09-30,False,Q3,2017,10-Q,121796000.0,-12104000.0,-14855000.0,-0.26,-0.26,0.0,621399000.0,493740000.0,572004000.0,76433000.0,34035000.0,15927000.0,-34046000.0,9722000.0,246609000.0,25894000.0,6682000.0
CSOD,2017-03-31,False,Q1,2017,10-Q,111582000.0,-13148000.0,-16211000.0,-0.29,-0.29,0.0,577831000.0,450378000.0,298262000.0,59860000.0,29555000.0,-7235000.0,-20248000.0,3473000.0,242477000.0,25894000.0,2698000.0
