symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CTGX,2011-07-01,False,Q2,2011,10-Q,98327000.0,4677000.0,2830000.0,0.19,0.17,0.0,140816000.0,83887000.0,44346000.0,13002000.0,86650000.0,-4338000.0,-1284000.0,3062000.0,,35678000.0,1197000.0
CTGX,2011-09-30,False,Q3,2011,10-Q,101119000.0,4576000.0,2991000.0,0.2,0.18,0.0,139952000.0,84277000.0,42873000.0,12641000.0,87278000.0,-1545000.0,-1521000.0,871000.0,,35678000.0,1660000.0
CTG,2018-09-28,False,Q3,2018,10-Q,90260000.0,820000.0,1088000.0,0.08,0.08,0.0,130610000.0,97188000.0,44964000.0,10487000.0,68529000.0,-293000.0,-13180000.0,12995000.0,,12268000.0,1664000.0
CTGX,2011-12-31,False,FY,2011,10-K,396275000.0,19310000.0,11938000.0,0.8,0.71,0.0,147492000.0,93312000.0,47926000.0,22414000.0,88805000.0,8605000.0,-1675000.0,1020000.0,,35678000.0,1584000.0
CTGX,2012-09-28,False,Q3,2012,10-Q,106418000.0,6323000.0,3813000.0,0.25,0.23,0.0,155588000.0,103304000.0,45808000.0,29412000.0,99353000.0,9758000.0,-1202000.0,-1510000.0,,35678000.0,1094000.0
CTGX,2013-03-29,False,Q1,2013,10-Q,108495000.0,6182000.0,4057000.0,0.26,0.24,0.05,164123000.0,108903000.0,44693000.0,30745000.0,106216000.0,-7073000.0,-3465000.0,1141000.0,,37879000.0,675000.0
CTGX,2012-03-30,False,Q1,2012,10-Q,103367000.0,5599000.0,3360000.0,0.22,0.2,0.0,145070000.0,90739000.0,41633000.0,19265000.0,92696000.0,-2424000.0,-738000.0,-285000.0,,35678000.0,340000.0
CTGX,2012-06-29,False,Q2,2012,10-Q,106705000.0,6143000.0,4123000.0,0.27,0.25,0.0,153855000.0,98888000.0,49146000.0,23624000.0,94239000.0,3595000.0,-733000.0,-1168000.0,,35678000.0,623000.0
CTGX,2012-12-31,False,FY,2012,10-K,424415000.0,24462000.0,16165000.0,1.07,0.96,0.0,166205000.0,113668000.0,50201000.0,40614000.0,102781000.0,21156000.0,-1980000.0,-1315000.0,,35678000.0,1872000.0
CTG,2013-06-28,False,Q2,2013,10-Q,107117000.0,6399000.0,4055000.0,0.26,0.24,0.05,169502000.0,113307000.0,46464000.0,33974000.0,109862000.0,-2156000.0,-4659000.0,442000.0,,37917000.0,1194000.0
CTG,2013-09-27,False,Q3,2013,10-Q,100689000.0,6054000.0,3863000.0,0.25,0.23,0.05,167812000.0,110078000.0,44493000.0,31532000.0,110210000.0,815000.0,-5607000.0,-4433000.0,,37999000.0,1683000.0
CTG,2015-04-03,False,Q1,2015,10-Q,36800000.0,2213000.0,1267000.0,0.08,0.08,0.06,163243000.0,107485000.0,37467000.0,34420000.0,111339000.0,-4413000.0,-138000.0,-806000.0,,37218000.0,324000.0
CTG,2014-06-27,False,Q2,2014,10-Q,100331000.0,5470000.0,3233000.0,0.22,0.2,0.06,167595000.0,109498000.0,43463000.0,31650000.0,113419000.0,-6599000.0,-1569000.0,-6316000.0,,37617000.0,737000.0
CTG,2014-03-28,False,Q1,2014,10-Q,21500000.0,5475000.0,3166000.0,0.21,0.19,0.06,166732000.0,108779000.0,42390000.0,32309000.0,113466000.0,-9275000.0,-742000.0,-3913000.0,,37638000.0,304000.0
CTG,2014-09-26,False,Q3,2014,10-Q,96760000.0,4571000.0,2726000.0,0.18,0.17,0.06,163417000.0,104432000.0,37361000.0,28256000.0,115687000.0,-8962000.0,-2304000.0,-5898000.0,,37493000.0,1061000.0
CTG,2016-09-30,False,Q3,2016,10-Q,78065000.0,-16480000.0,-16183000.0,-1.03,-1.03,0.06,129582000.0,86731000.0,36115000.0,9785000.0,80858000.0,3823000.0,-1624000.0,-3383000.0,,0.0,1529000.0
CTGX,2013-12-31,False,FY,2013,10-K,419036000.0,24727000.0,15679000.0,1.02,0.92,0.2,174431000.0,116419000.0,48929000.0,46227000.0,113842000.0,18991000.0,-6709000.0,-7063000.0,,37638000.0,2266000.0
CTG,2016-07-01,False,Q2,2016,10-Q,83486000.0,1886000.0,1259000.0,0.08,0.08,0.06,146268000.0,88245000.0,32125000.0,10866000.0,97346000.0,-521000.0,-998000.0,1484000.0,,15717000.0,1007000.0
CTG,2016-04-01,False,Q1,2016,10-Q,85850000.0,-20466000.0,-20857000.0,-1.34,-1.34,0.06,145986000.0,88275000.0,35404000.0,9432000.0,96615000.0,299000.0,-1129000.0,-911000.0,1500000.0,15755000.0,816000.0
CTG,2017-06-30,False,Q2,2017,10-Q,75521000.0,717000.0,434000.0,0.03,0.03,0.0,126942000.0,82338000.0,31273000.0,11523000.0,78875000.0,7016000.0,-1060000.0,-4508000.0,,,223000.0
CTG,2014-12-31,False,FY,2014,10-K,393268000.0,17152000.0,10350000.0,0.68,0.64,0.24,170796000.0,113285000.0,44060000.0,40862000.0,110966000.0,6708000.0,-2984000.0,-7750000.0,0.0,37409000.0,1410000.0
CTG,2015-07-03,False,Q2,2015,10-Q,94744000.0,1116000.0,554000.0,0.04,0.03,0.06,160802000.0,99566000.0,34104000.0,31441000.0,112276000.0,-2206000.0,-661000.0,-5704000.0,,37254000.0,539000.0
