symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CTLT,2014-06-30,False,FY,2014,10-K,1827700000.0,240900000.0,16200000.0,0.22,0.21,0.0,3090200000.0,687500000.0,453000000.0,74400000.0,-371800000.0,178300000.0,-171200000.0,-42100000.0,2710600000.0,1097100000.0,122400000.0
CTLT,2015-12-31,False,Q2,2016,10-Q,454900000.0,58600000.0,30700000.0,0.25,0.24,0.0,3035200000.0,679500000.0,340200000.0,115500000.0,607400000.0,71500000.0,-82500000.0,-20900000.0,1872700000.0,1027200000.0,82500000.0
CTLT,2016-03-31,False,Q3,2016,10-Q,438000000.0,31500000.0,9800000.0,0.08,0.08,0.0,3057700000.0,727500000.0,371500000.0,133900000.0,602900000.0,121400000.0,-107800000.0,-27100000.0,1870800000.0,1020300000.0,107800000.0
CTLT,2017-12-31,False,Q2,2018,10-Q,606300000.0,68800000.0,-21900000.0,-0.16,-0.16,0.0,4387100000.0,1075500000.0,484000000.0,329500000.0,1005500000.0,176000000.0,-825700000.0,682400000.0,1853300000.0,1408300000.0,82900000.0
CTLT,2015-03-31,False,Q3,2015,10-Q,446600000.0,65800000.0,31500000.0,0.25,0.25,0.0,2974100000.0,653100000.0,365400000.0,116100000.0,468200000.0,94700000.0,-240300000.0,209000000.0,1881800000.0,1039900000.0,108700000.0
CTLT,2015-09-30,False,Q1,2015,10-Q,423000000.0,37100000.0,9100000.0,0.07,0.07,0.0,3056400000.0,691200000.0,352900000.0,151400000.0,597200000.0,44900000.0,-33200000.0,-10300000.0,1883900000.0,1038100000.0,33200000.0
CTLT,2014-12-31,False,Q2,2015,10-Q,455800000.0,62400000.0,46500000.0,0.37,0.37,0.0,3038100000.0,637500000.0,346500000.0,84100000.0,492400000.0,400000.0,-196400000.0,222600000.0,1934200000.0,1082400000.0,71300000.0
CTLT,2014-09-30,False,Q1,2015,10-Q,418300000.0,42500000.0,-19500000.0,-0.18,-0.18,0.0,2951300000.0,619100000.0,377600000.0,63200000.0,503000000.0,-39800000.0,-44700000.0,86900000.0,1816700000.0,1057900000.0,31200000.0
CTLT,2016-06-30,False,FY,2016,10-K,1848100000.0,217800000.0,111500000.0,0.89,0.89,0.0,3091100000.0,790200000.0,391200000.0,131600000.0,635900000.0,155300000.0,-137700000.0,-30800000.0,1860500000.0,996500000.0,139600000.0
CTLT,2015-06-30,False,FY,2015,10-K,1830800000.0,259900000.0,212200000.0,1.77,1.75,0.0,3145400000.0,737500000.0,399000000.0,151300000.0,634000000.0,171800000.0,-271800000.0,196500000.0,1887900000.0,1061500000.0,141000000.0
CTLT,2017-09-30,False,Q1,2018,10-Q,543900000.0,31900000.0,3800000.0,0.03,0.03,0.0,3784800000.0,1330100000.0,457100000.0,601400000.0,1038800000.0,83700000.0,-42700000.0,263000000.0,1665200000.0,1069600000.0,42700000.0
CTLT,2017-03-31,False,Q3,2017,10-Q,532600000.0,64600000.0,26000000.0,0.21,0.21,0.0,3285200000.0,928400000.0,390100000.0,241200000.0,642700000.0,199300000.0,-257000000.0,168400000.0,1649200000.0,1030600000.0,87800000.0
CTLT,2018-03-31,False,Q3,2018,10-Q,627900000.0,73100000.0,19000000.0,0.14,0.14,0.0,4554100000.0,1214400000.0,557500000.0,391500000.0,1068400000.0,271200000.0,-860500000.0,674600000.0,1867300000.0,1438600000.0,117700000.0
CTLT,2016-09-30,False,Q1,2017,10-Q,442200000.0,24800000.0,4600000.0,0.04,0.04,0.0,3128100000.0,768900000.0,448600000.0,132100000.0,614500000.0,48300000.0,-114600000.0,65900000.0,1937300000.0,1045400000.0,27700000.0
CTLT,2016-12-31,False,Q2,2017,10-Q,483700000.0,47900000.0,17400000.0,0.14,0.14,0.0,3154300000.0,882600000.0,334800000.0,255800000.0,588000000.0,96000000.0,-138500000.0,175700000.0,2024400000.0,1008500000.0,54100000.0
CTLT,2017-06-30,False,FY,2017,10-K,2075400000.0,234200000.0,109800000.0,0.88,0.87,0.0,3454300000.0,1059800000.0,469000000.0,288300000.0,723500000.0,299500000.0,-309000000.0,161300000.0,1655400000.0,1044100000.0,139800000.0
CTLT,2018-09-30,False,Q1,2019,10-Q,551800000.0,20400000.0,-14400000.0,-0.1,-0.1,0.0,4499800000.0,1083400000.0,527500000.0,266100000.0,1529400000.0,41200000.0,-165800000.0,-18800000.0,2279100000.0,1435000000.0,38300000.0
CTLT,2018-06-30,False,FY,2018,10-K,2463400000.0,271100000.0,83600000.0,0.64,0.63,0.0,4531100000.0,1240300000.0,576900000.0,410200000.0,1086700000.0,374500000.0,-919300000.0,669100000.0,1839100000.0,1397200000.0,176500000.0
