symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
JOEZ,2011-08-31,False,Q3,2011,10-Q,24151000.0,-2642000.0,-2038000.0,-0.03,-0.03,0.0,81239000.0,43162000.0,15419000.0,11641000.0,64597000.0,7986000.0,-1825000.0,-930000.0,,3836000.0,1825000.0
JOEZ,2011-11-30,False,FY,2011,10-K,95420000.0,-565000.0,-1365000.0,-0.02,-0.02,0.0,80162000.0,41519000.0,14121000.0,12690000.0,64757000.0,10606000.0,-2055000.0,-2271000.0,,3836000.0,2055000.0
JOEZ,2012-08-31,False,Q3,2012,10-Q,30304000.0,2677000.0,1390000.0,0.02,0.02,0.0,89398000.0,49344000.0,18376000.0,12778000.0,69364000.0,2554000.0,-1520000.0,-946000.0,,3836000.0,1520000.0
JOEZ,2012-02-29,False,Q1,2012,10-Q,25962000.0,1799000.0,794000.0,0.01,0.01,0.0,84603000.0,46027000.0,17359000.0,12316000.0,65823000.0,-903000.0,-233000.0,762000.0,,3836000.0,233000.0
JOEZ,2013-08-31,False,Q3,2013,10-Q,29385000.0,-295000.0,-287000.0,-0.0,-0.0,0.0,91818000.0,54946000.0,18492000.0,16015000.0,67046000.0,4319000.0,-1509000.0,-221000.0,,3836000.0,1509000.0
JOEZ,2012-05-31,False,Q2,2012,10-Q,28640000.0,3072000.0,1418000.0,0.02,0.02,0.0,86551000.0,46723000.0,17254000.0,11533000.0,67734000.0,-2982000.0,-785000.0,2610000.0,,3836000.0,785000.0
JOEZ,2013-05-31,False,Q2,2013,10-Q,30874000.0,2123000.0,1173000.0,0.02,0.02,0.0,89492000.0,53129000.0,15397000.0,14943000.0,67200000.0,2150000.0,-913000.0,280000.0,,3836000.0,913000.0
JOEZ,2013-02-28,False,Q1,2013,10-Q,29430000.0,-6396000.0,-6388000.0,-0.1,-0.1,0.0,87682000.0,51108000.0,14543000.0,14057000.0,65559000.0,878000.0,-436000.0,189000.0,,3836000.0,436000.0
DFBG,2018-09-30,False,Q3,2018,10-Q,39831000.0,-9246000.0,-12471000.0,-0.89,-0.89,0.0,168865000.0,63728000.0,38689000.0,3514000.0,40762000.0,-3473000.0,-976000.0,-369000.0,85027000.0,8406000.0,976000.0
JOEZ,2012-11-30,False,FY,2012,10-K,118642000.0,10717000.0,5565000.0,0.08,0.08,0.0,86024000.0,49248000.0,12490000.0,13426000.0,71739000.0,5782000.0,-2779000.0,-2267000.0,,3836000.0,2779000.0
