symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CVV,2018-09-30,False,Q3,2018,10-Q,4083752.0,-2853470.0,-2502802.0,-0.39,-0.39,0.0,55410066.0,22619889.0,4916521.0,14192180.0,38082279.0,2730380.0,-2265179.0,-483930.0,10100000.0,,2258379.0
CVV,2013-06-30,False,Q2,2013,10-Q,4847606.0,1043165.0,873686.0,0.14,0.14,0.0,39840391.0,23203641.0,3195268.0,11160920.0,31719615.0,-2045988.0,2145218.0,-2659634.0,4315508.0,,1475181.0
CVV,2012-06-30,False,Q2,2012,10-Q,7093785.0,,320754.0,0.05,0.05,0.0,43244660.0,28521597.0,3973083.0,16597503.0,31415120.0,-1231805.0,-5979368.0,5672149.0,,,7724948.0
CVV,2013-03-31,False,Q1,2013,10-Q,3450018.0,-869811.0,-440006.0,-0.07,-0.07,0.0,41747708.0,22417184.0,3812557.0,11770854.0,30782992.0,-768440.0,-966914.0,-215116.0,,,966914.0
CVV,2012-03-31,False,Q1,2012,10-Q,7154951.0,1073422.0,728156.0,0.12,0.12,0.0,44243964.0,27416408.0,5104356.0,19018184.0,31049583.0,2272822.0,-7290546.0,5899381.0,,,7602327.0
CVV,2011-09-30,False,Q3,2011,10-Q,8844094.0,1388147.0,1238550.0,0.21,0.2,0.0,37392864.0,27842949.0,6038005.0,18618430.0,28649942.0,4883761.0,-1541303.0,9026882.0,,,181303.0
CVV,2012-12-31,False,FY,2012,10-K,22157737.0,545217.0,435586.0,0.07,0.07,0.0,42525261.0,24091048.0,3990578.0,13721324.0,31147664.0,-182161.0,-9670636.0,5437594.0,8322841.0,,11796740.0
CVV,2014-09-30,False,Q3,2014,10-Q,8867158.0,1212425.0,857929.0,0.14,0.14,0.0,41941077.0,25275001.0,5526511.0,11396185.0,32389058.0,579313.0,7112.0,-437800.0,3941000.0,,396055.0
CVV,2014-03-31,False,Q1,2014,10-Q,4385071.0,-49915.0,-268147.0,-0.04,-0.04,0.0,39177291.0,22204554.0,3746559.0,11968531.0,31045224.0,791196.0,58675.0,-128900.0,4091000.0,,141325.0
CVV,2014-06-30,False,Q2,2014,10-Q,6107318.0,157940.0,201974.0,0.03,0.03,0.0,39695668.0,22649994.0,4127222.0,9401258.0,31362938.0,-1430428.0,-106974.0,-308900.0,4016000.0,,306974.0
CVV,2011-12-31,False,FY,2011,10-K,30993885.0,4756906.0,3779123.0,0.69,0.67,0.0,38548978.0,28758316.0,5810463.0,18136527.0,30190673.0,4187771.0,-1564935.0,9264601.0,,,204935.0
CVV,2013-09-30,False,Q3,2013,10-Q,4706672.0,-588203.0,-438494.0,-0.07,-0.07,0.0,39450976.0,22587857.0,3339096.0,10715065.0,31366372.0,-1982140.0,1803715.0,-2827834.0,4240508.0,,1813517.0
CVV,2013-12-31,False,FY,2013,10-K,17883927.0,-1806077.0,-560323.0,-0.09,-0.09,0.0,39141639.0,21895882.0,3451859.0,11247560.0,31124272.0,-1067340.0,1555175.0,-2961599.0,5285508.0,,2071557.0
CVV,2015-03-31,False,Q1,2015,10-Q,9692444.0,1207011.0,668222.0,0.11,0.11,0.0,42627409.0,25864540.0,8829584.0,7500440.0,30132318.0,-4164060.0,-122363.0,-180000.0,3791000.0,,122363.0
CVV,2012-09-30,False,Q3,2012,10-Q,4696409.0,,179964.0,0.03,0.03,0.0,43283299.0,26747085.0,3779335.0,16090188.0,31881839.0,272815.0,-7988824.0,5669670.0,,,10124428.0
CVV,2014-12-31,False,FY,2014,10-K,27990463.0,-3764024.0,-2473530.0,-0.4,-0.4,0.0,45556472.0,28853350.0,12442089.0,11966863.0,29268875.0,1545247.0,-208144.0,-617800.0,4565508.0,,617761.0
CVV,2015-12-31,False,FY,2015,10-K,38965387.0,4591993.0,3204996.0,0.52,0.51,0.0,42806204.0,24551095.0,4641567.0,13073331.0,33224629.0,1873813.0,-47345.0,-720000.0,3845508.0,,248305.0
CVV,2016-06-30,False,Q2,2016,10-Q,3743782.0,-980276.0,-495584.0,-0.08,-0.08,0.0,44999638.0,28602755.0,8684593.0,14036563.0,33199537.0,693685.0,167547.0,102000.0,3400000.0,,34003.0
CVV,2015-09-30,False,Q3,2015,10-Q,10645824.0,870781.0,811083.0,0.13,0.13,0.0,43374421.0,26885020.0,7394227.0,13269050.0,32639686.0,1819781.0,-12594.0,-505000.0,3641000.0,,212594.0
