symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CYTR,2018-09-30,False,Q3,2018,10-Q,250000.0,-3020708.0,-3291044.0,-0.1,-0.1,0.0,32766179.0,31901565.0,,24668339.0,22350163.0,-7718126.0,-11478.0,-5245461.0,,183780.0,11478.0
CYTR,2011-06-30,False,Q2,2011,10-Q,150000.0,-3763254.0,-3120075.0,-0.03,-0.03,0.0,29189012.0,28495630.0,6823342.0,7023176.0,22365670.0,-7705373.0,8404119.0,0.0,,183780.0,25725.0
CYTR,2011-09-30,False,Q3,2011,10-Q,0.0,-4959246.0,-557766.0,0.0,0.0,0.0,44867994.0,44284671.0,16328814.0,30387583.0,28539180.0,-11277329.0,16397363.0,18943119.0,,183780.0,51429.0
CYTR,2011-12-31,False,FY,2011,10-K,250000.0,-22653987.0,-14424545.0,-0.11,-0.11,0.0,37854423.0,37281040.0,13600353.0,17988590.0,24254070.0,-16671383.0,9395924.0,18939619.0,,183780.0,52868.0
CYTR,2012-03-31,False,Q1,2012,10-Q,0.0,-6316230.0,-10134879.0,-0.07,-0.07,0.0,33380659.0,32799881.0,18939853.0,16916696.0,14440806.0,-4032329.0,2960435.0,,,183780.0,29467.0
CYTR,2013-03-31,False,Q1,2013,10-Q,0.0,-5006084.0,-6864109.0,-0.23,-0.23,0.0,34518202.0,34005176.0,10908462.0,11429671.0,23609740.0,-5911973.0,2997556.0,,,183780.0,2444.0
CYTR,2012-06-30,False,Q2,2012,10-Q,0.0,-4778321.0,-13262475.0,-0.63,-0.63,0.0,28513332.0,27888529.0,26790479.0,11859009.0,1722853.0,-9078704.0,2941923.0,7200.0,,183780.0,47979.0
CYTR,2012-12-31,False,FY,2012,10-K,100000.0,-21052059.0,-17963873.0,-0.78,-0.78,0.0,40231776.0,39692448.0,10065935.0,14344088.0,30165841.0,-19044650.0,-6083967.0,21484115.0,,183780.0,141639.0
CYTR,2012-09-30,False,Q3,2012,10-Q,0.0,-4887549.0,1584197.0,0.07,0.07,0.0,24358790.0,23762225.0,20601016.0,12453637.0,3757774.0,-13474865.0,7932712.0,7200.0,,183780.0,124960.0
CYTR,2014-03-31,False,Q1,2014,10-Q,0.0,-10118922.0,4664518.0,0.09,0.08,0.0,114838489.0,114398743.0,16797990.0,62028328.0,98040499.0,-6912553.0,-23506623.0,80964392.0,,183780.0,6623.0
