symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CZNC,2018-12-31,False,FY,2018,10-K,70958000.0,,21903000.0,1.79,1.79,1.08,1290893000.0,,,37487000.0,197368000.0,25892000.0,-21648000.0,-8421000.0,35915000.0,11942000.0,1167000.0
CZNC,2011-06-30,False,Q2,2011,10-Q,19279000.0,,5697000.0,0.47,0.47,0.0,1309650000.0,,,49392000.0,153693000.0,22801000.0,6096000.0,-25806000.0,133182000.0,11942000.0,266000.0
CZNC,2012-03-31,False,Q1,2012,10-Q,18533000.0,,5587000.0,0.46,0.46,0.18,1316764000.0,,,52258000.0,171614000.0,3407000.0,6339000.0,-14303000.0,115202000.0,11942000.0,226000.0
CZNC,2011-12-31,False,FY,2011,10-K,77410000.0,,23368000.0,1.92,1.92,0.58,1323735000.0,,,56815000.0,167385000.0,37464000.0,2917000.0,-29867000.0,125363000.0,11942000.0,998000.0
CZNC,2012-06-30,False,Q2,2012,10-Q,18827000.0,,5685000.0,0.46,0.46,0.0,1327527000.0,,,64438000.0,176062000.0,8966000.0,7346000.0,-8689000.0,110038000.0,11942000.0,1028000.0
CZNC,2011-09-30,False,Q3,2011,10-Q,19342000.0,,5989000.0,0.49,0.49,0.0,1312054000.0,,,55754000.0,161210000.0,27302000.0,15865000.0,-33714000.0,128024000.0,11942000.0,666000.0
CZNC,2012-09-30,False,Q3,2012,10-Q,20369000.0,,5494000.0,0.45,0.45,0.0,1310009000.0,,,37676000.0,180146000.0,17348000.0,-2092000.0,-34395000.0,89954000.0,11942000.0,1428000.0
CZNC,2013-03-31,False,Q1,2013,10-Q,17649000.0,,4706000.0,0.38,0.38,0.25,1240321000.0,,,45069000.0,183208000.0,6883000.0,28225000.0,-49875000.0,76661000.0,11942000.0,263000.0
CZNC,2012-12-31,False,FY,2012,10-K,75631000.0,,22705000.0,1.86,1.85,0.84,1286907000.0,,,59836000.0,182786000.0,27652000.0,34636000.0,-64087000.0,83812000.0,11942000.0,1622000.0
CZNC,2014-03-31,False,Q1,2014,10-Q,15188000.0,,4288000.0,0.35,0.34,0.26,1235139000.0,,,61087000.0,184762000.0,6451000.0,24408000.0,-14151000.0,73270000.0,11942000.0,
CZNC,2013-06-30,False,Q2,2013,10-Q,16646000.0,,4974000.0,0.4,0.4,0.0,1228344000.0,,,35776000.0,179361000.0,18279000.0,18815000.0,-61154000.0,73472000.0,11942000.0,423000.0
CZNC,2013-12-31,False,FY,2013,10-K,67083000.0,,18594000.0,1.51,1.5,1.0,1237695000.0,,,44619000.0,179472000.0,30572000.0,8880000.0,-55877000.0,73338000.0,11942000.0,801000.0
CZNC,2013-09-30,False,Q3,2013,10-Q,16513000.0,,4689000.0,0.38,0.38,0.0,1232952000.0,,,43247000.0,181206000.0,26434000.0,18981000.0,-62724000.0,73405000.0,11942000.0,484000.0
CZNC,2015-06-30,False,Q2,2015,10-Q,16080000.0,,4357000.0,0.36,0.36,0.0,1255722000.0,,,35405000.0,186973000.0,9857000.0,-15580000.0,5081000.0,62916000.0,11942000.0,539000.0
CZNC,2014-06-30,False,Q2,2014,10-Q,15646000.0,,4163000.0,0.33,0.33,0.0,1256205000.0,,,59948000.0,189173000.0,13269000.0,2245000.0,295000.0,73201000.0,11942000.0,
CZNC,2015-09-30,False,Q3,2015,10-Q,15174000.0,,4234000.0,0.35,0.35,0.0,1232531000.0,,,32221000.0,190100000.0,15256000.0,6105000.0,-25187000.0,62842000.0,11942000.0,733000.0
CZNC,2014-09-30,False,Q3,2014,10-Q,16219000.0,,4267000.0,0.34,0.34,0.0,1256533000.0,,,55439000.0,186874000.0,16467000.0,-4304000.0,-623000.0,73131000.0,11942000.0,477000.0
CZNC,2014-12-31,False,FY,2014,10-K,62533000.0,,17086000.0,1.38,1.38,1.04,1241963000.0,,,36047000.0,188362000.0,22281000.0,-9486000.0,-19767000.0,73060000.0,11942000.0,801000.0
CZNC,2015-03-31,False,Q1,2015,10-Q,14724000.0,,3815000.0,0.31,0.31,0.26,1251958000.0,,,36430000.0,189103000.0,3709000.0,-6672000.0,3346000.0,72988000.0,11942000.0,367000.0
CZNC,2016-06-30,False,Q2,2016,10-Q,14952000.0,,3871000.0,0.32,0.32,0.0,1231018000.0,,,27436000.0,190530000.0,8580000.0,-13223000.0,-4702000.0,38615000.0,11942000.0,720000.0
CZNC,2016-03-31,False,Q1,2016,10-Q,15010000.0,,3573000.0,0.29,0.29,0.26,1216544000.0,,,41173000.0,188310000.0,3737000.0,14541000.0,-13166000.0,38692000.0,11942000.0,378000.0
CZNC,2017-03-31,False,Q1,2017,10-Q,15121000.0,,3416000.0,0.28,0.28,0.26,1233924000.0,,,32543000.0,187350000.0,4175000.0,8031000.0,-11772000.0,38388000.0,,745000.0
