symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CZR,2012-03-31,False,Q1,2012,10-Q,2271900000.0,75500000.0,-280600000.0,-2.24,-2.24,0.0,28409700000.0,2103000000.0,1789000000.0,1134900000.0,849200000.0,159400000.0,-15000000.0,85900000.0,,3464800000.0,82900000.0
CZR,2012-06-30,False,Q2,2012,10-Q,2165700000.0,81800000.0,-241700000.0,-2.04,-2.04,0.0,28038200000.0,1969000000.0,1673800000.0,985100000.0,607200000.0,71700000.0,-100400000.0,92500000.0,19943600000.0,3360400000.0,192200000.0
CZR,2012-09-30,False,Q3,2012,10-Q,2198400000.0,-220600000.0,-505500000.0,-4.05,-4.05,0.0,28342900000.0,2879800000.0,2625300000.0,1189400000.0,114700000.0,258300000.0,-843000000.0,850000000.0,20758500000.0,3100800000.0,304000000.0
CZR,2011-06-30,False,Q2,2011,10-Q,2229100000.0,252100000.0,-155500000.0,-2.17,-2.17,0.0,28962800000.0,1966700000.0,1628500000.0,1037800000.0,1394500000.0,112400000.0,-750300000.0,688700000.0,,3468300000.0,91700000.0
CZR,2011-09-30,False,Q3,2011,10-Q,2254000000.0,198200000.0,-164000000.0,-2.28,-2.28,0.0,28866100000.0,2027700000.0,1791900000.0,1150700000.0,1205900000.0,314900000.0,-835400000.0,684200000.0,,3473000000.0,164900000.0
CZR,2011-12-31,False,FY,2011,10-K,8834500000.0,875500000.0,-687600000.0,-5.5,-5.5,0.0,28515600000.0,1837200000.0,1602800000.0,904600000.0,1053400000.0,123100000.0,-1017000000.0,811500000.0,,3464800000.0,283200000.0
CZR,2012-12-31,False,FY,2012,10-K,8586700000.0,-313400000.0,-1497500000.0,-11.08,-11.08,0.0,27998100000.0,3493600000.0,2588300000.0,1757500000.0,-331600000.0,26500000.0,-1224900000.0,1472600000.0,21412100000.0,3160300000.0,507700000.0
CZR,2013-03-31,False,Q1,2013,10-Q,2143200000.0,141800000.0,-217600000.0,-1.41,-1.41,0.0,27475000000.0,3131100000.0,1904000000.0,2095400000.0,-560000000.0,-47300000.0,657800000.0,-273600000.0,21277100000.0,3165800000.0,148100000.0
CZR,2013-09-30,False,Q3,2013,10-Q,2180000000.0,-637500000.0,-761400000.0,-6.12,-6.12,0.0,26096400000.0,2724200000.0,2097500000.0,1707900000.0,-1496800000.0,-11000000.0,225100000.0,-329900000.0,21340200000.0,3019500000.0,466700000.0
CZR,2013-06-30,False,Q2,2013,10-Q,2158200000.0,125300000.0,-212200000.0,-1.69,-1.69,0.0,26844800000.0,2765600000.0,1931800000.0,1810700000.0,-738100000.0,-57000000.0,573500000.0,-463600000.0,21071300000.0,3152800000.0,320300000.0
CZR,2014-06-30,False,Q2,2014,10-Q,2185500000.0,106300000.0,-466400000.0,-3.06,-3.06,0.0,27069400000.0,4431500000.0,2714900000.0,3429600000.0,-2578400000.0,-386800000.0,-2043800000.0,3096600000.0,24357800000.0,3062100000.0,535600000.0
