symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
FDA,2012-04-01,False,Q1,2012,10-Q,37493000.0,1493000.0,817000.0,0.11,0.11,0.0,74172000.0,11967000.0,11717000.0,1727000.0,28963000.0,860000.0,431000.0,-712000.0,,,785000.0
DAVE,2018-12-30,False,FY,2018,10-K,54888000.0,5962000.0,4862000.0,0.57,0.56,0.0,38356000.0,19202000.0,8912000.0,11598000.0,22541000.0,3877000.0,-745000.0,-1118000.0,,61000.0,953000.0
FDA,2011-07-03,False,Q2,2011,10-Q,41290000.0,3921000.0,2401000.0,0.3,0.29,0.0,75580000.0,11785000.0,14333000.0,2342000.0,26167000.0,6463000.0,-1369000.0,-5406000.0,,,1637000.0
FDA,2012-01-01,False,FY,2011,10-K,154811000.0,9396000.0,5562000.0,0.7,0.68,0.0,74117000.0,9957000.0,11937000.0,1148000.0,34094000.0,11852000.0,-5128000.0,-8230000.0,,,5506000.0
FDA,2012-07-01,False,Q2,2012,10-Q,41319000.0,3184000.0,1948000.0,0.26,0.25,0.0,75592000.0,12461000.0,13194000.0,2210000.0,30911000.0,5405000.0,-1887000.0,-2456000.0,5.7,,3119000.0
FDA,2012-09-30,False,Q3,2012,10-Q,39921000.0,739000.0,845000.0,0.12,0.11,0.0,75557000.0,12825000.0,11037000.0,2004000.0,31756000.0,6921000.0,-3060000.0,-3005000.0,5600000.0,,4303000.0
FDA,2011-10-02,False,Q3,2011,10-Q,38927000.0,2642000.0,1565000.0,0.2,0.19,0.0,75105000.0,10983000.0,12769000.0,1669000.0,27732000.0,8476000.0,-3044000.0,-6417000.0,,,3407000.0
FDA,2013-06-30,False,Q2,2013,10-Q,43363000.0,3237000.0,2096000.0,0.28,0.27,0.0,76047000.0,13679000.0,15812000.0,2852000.0,36563000.0,9436000.0,-1719000.0,-6939000.0,5000000.0,,1490000.0
FDA,2013-12-29,False,FY,2013,10-K,155432000.0,7747000.0,4767000.0,0.65,0.62,0.0,75337000.0,12057000.0,14391000.0,1293000.0,32791000.0,15600000.0,-6813000.0,-9568000.0,11400000.0,,6584000.0
FDA,2013-03-31,False,Q1,2013,10-Q,36600000.0,348000.0,62000.0,0.01,0.01,0.0,75355000.0,12255000.0,13961000.0,2006000.0,34007000.0,3933000.0,-968000.0,-3033000.0,5200000.0,,739000.0
FDA,2013-09-29,False,Q3,2013,10-Q,39215000.0,1216000.0,737000.0,0.1,0.1,0.0,75190000.0,12361000.0,14651000.0,1780000.0,36482000.0,11797000.0,-3864000.0,-8227000.0,4900000.0,,3635000.0
FDA,2012-12-30,False,FY,2012,10-K,154988000.0,6213000.0,4360000.0,0.58,0.57,0.0,76253000.0,12346000.0,12117000.0,2074000.0,33767000.0,9626000.0,-5473000.0,-3227000.0,5383000.0,,6712000.0
FDA,2014-03-30,False,Q1,2014,10-Q,35662000.0,1041000.0,516000.0,0.07,0.07,0.0,74072000.0,12789000.0,12932000.0,1942000.0,31529000.0,752000.0,-375000.0,272000.0,4500000.0,,450000.0
FDA,2015-03-29,False,Q1,2015,10-Q,32627000.0,511000.0,197000.0,0.03,0.03,0.0,67402000.0,15320000.0,12322000.0,2007000.0,28515000.0,-2121000.0,-428000.0,2423000.0,3900000.0,,428000.0
FDA,2014-06-29,False,Q2,2014,10-Q,41937000.0,4481000.0,2851000.0,0.39,0.39,0.0,72146000.0,11683000.0,13611000.0,2224000.0,34377000.0,7050000.0,-976000.0,-5143000.0,4400000.0,,1071000.0
FDA,2014-09-28,False,Q3,2014,10-Q,37676000.0,3127000.0,2023000.0,0.28,0.28,0.0,69801000.0,9909000.0,12789000.0,1558000.0,34859000.0,11153000.0,-1938000.0,-8950000.0,4200000.0,,2033000.0
FDA,2016-07-03,False,Q2,2016,10-Q,28044000.0,334000.0,140000.0,0.02,0.02,0.0,56754000.0,18085000.0,13954000.0,6308000.0,23115000.0,215000.0,1761000.0,-968000.0,9400000.0,,-442000.0
DAVE,2014-12-28,False,FY,2014,10-K,149355000.0,4892000.0,2897000.0,0.4,0.4,0.0,66677000.0,13575000.0,14211000.0,2133000.0,31802000.0,12679000.0,-2790000.0,-9049000.0,5000000.0,,2885000.0
DAVE,2016-01-03,False,FY,2015,10-K,114226000.0,2143000.0,-4384000.0,-0.63,-0.63,0.0,57825000.0,17197000.0,14522000.0,5300000.0,22061000.0,1984000.0,4245000.0,-3062000.0,12000000.0,,3197000.0
FDA,2015-06-28,False,Q2,2015,10-Q,37408000.0,1162000.0,654000.0,0.09,0.09,0.0,66401000.0,15829000.0,12522000.0,1833000.0,27243000.0,3106000.0,-2808000.0,-598000.0,,,2808000.0
FDA,2015-09-27,False,Q3,2015,10-Q,31799000.0,1000000.0,708000.0,0.1,0.1,0.0,61175000.0,14414000.0,21293000.0,2016000.0,27944000.0,2475000.0,2196000.0,-4788000.0,,,3145000.0
FDA,2016-04-03,False,Q1,2016,10-Q,23540000.0,395000.0,830000.0,0.12,0.12,0.0,57734000.0,17647000.0,24015000.0,7600000.0,22838000.0,516000.0,2074000.0,-290000.0,,,129000.0
FDA,2017-04-02,False,Q1,2017,10-Q,21976000.0,-1987000.0,-1246000.0,-0.18,-0.18,0.0,52527000.0,19033000.0,14534000.0,4865000.0,18774000.0,864000.0,-104000.0,-345000.0,,,104000.0
DAVE,2017-10-01,False,Q3,2017,10-Q,21895000.0,-2583000.0,-1816000.0,-0.26,-0.26,0.0,46412000.0,20046000.0,13487000.0,7412000.0,15774000.0,4484000.0,-301000.0,-1221000.0,,,301000.0
DAVE,2018-07-01,False,Q2,2018,10-Q,14538000.0,1989000.0,1392000.0,0.16,0.16,0.0,36787000.0,17235000.0,8477000.0,10309000.0,19959000.0,1355000.0,249000.0,-131000.0,,,290000.0
DAVE,2017-07-02,False,Q2,2017,10-Q,25301000.0,-1718000.0,-1261000.0,-0.18,-0.18,0.0,48312000.0,19638000.0,12549000.0,5400000.0,17537000.0,2154000.0,-276000.0,-928000.0,,,276000.0
DAVE,2018-04-01,False,Q1,2018,10-Q,12844000.0,1459000.0,998000.0,0.13,0.13,0.0,37023000.0,17566000.0,10638000.0,8924000.0,13193000.0,517000.0,-498000.0,69000.0,,,41000.0
FDA,2016-10-02,False,Q3,2016,10-Q,25510000.0,-3749000.0,-2459000.0,-0.35,-0.35,0.0,53329000.0,18538000.0,21360000.0,6766000.0,20826000.0,1822000.0,1663000.0,-2019000.0,8400000.0,,540000.0
