symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DGX,2018-12-31,False,FY,2018,10-K,7531000000.0,1101000000.0,733000000.0,5.39,5.29,0.0,11003000000.0,1390000000.0,1485000000.0,135000000.0,5267000000.0,1200000000.0,-801000000.0,-401000000.0,3893000000.0,6563000000.0,383000000.0
DGX,2011-12-31,False,FY,2011,10-K,7510490000.0,995048000.0,470567000.0,2.95,2.92,0.47,9313379000.0,1401260000.0,1561159000.0,164886000.0,3714999000.0,895474000.0,-1243435000.0,63546000.0,560000000.0,5795765000.0,161556000.0
DGX,2012-03-31,False,Q1,2012,10-Q,1936456000.0,299585000.0,159118000.0,1.0,0.99,0.17,9451444000.0,1518604000.0,1525448000.0,145439000.0,3896057000.0,161267000.0,-83243000.0,-97471000.0,,5835075000.0,29998000.0
DGX,2010-03-31,False,Q1,2010,10-Q,1805503000.0,298562000.0,162448000.0,0.9,0.89,0.1,8516209000.0,1645248000.0,1076498000.0,463239000.0,3929215000.0,239215000.0,-42594000.0,-267638000.0,,5082253000.0,39763000.0
DGX,2011-03-31,False,Q1,2011,10-Q,1821577000.0,30960000.0,-53861000.0,-0.33,-0.33,0.1,9224729000.0,2299985000.0,1766564000.0,994242000.0,3238004000.0,160580000.0,-40753000.0,425114000.0,742000000.0,5118908000.0,38991000.0
DGX,2010-09-30,False,Q3,2010,10-Q,1864655000.0,336867000.0,198075000.0,1.14,1.13,0.1,8459338000.0,1552714000.0,1148332000.0,369261000.0,3880705000.0,778458000.0,-139834000.0,-803619000.0,,5100389000.0,136291000.0
DGX,2010-06-30,False,Q2,2010,10-Q,1874727000.0,365894000.0,194615000.0,1.08,1.07,0.1,8481792000.0,1631344000.0,995503000.0,447888000.0,3946888000.0,448384000.0,-92044000.0,-442708000.0,,5063151000.0,88848000.0
DGX,2011-09-30,False,Q3,2011,10-Q,1906405000.0,322053000.0,171848000.0,1.08,1.07,0.1,9326471000.0,1396277000.0,1764072000.0,110825000.0,3544964000.0,557728000.0,-1202058000.0,305854000.0,742000000.0,5796193000.0,117879000.0
DGX,2010-12-31,False,FY,2010,10-K,7368925000.0,1295535000.0,720894000.0,4.08,4.05,0.4,8527630000.0,1605417000.0,1214268000.0,449301000.0,4054125000.0,1118047000.0,-216510000.0,-986492000.0,2649421000.0,5101938000.0,205400000.0
DGX,2011-06-30,False,Q2,2011,10-Q,1903201000.0,316854000.0,163143000.0,1.03,1.02,0.1,9431191000.0,1477955000.0,1993357000.0,184218000.0,3450596000.0,220083000.0,-1007966000.0,522800000.0,742000000.0,5816969000.0,78624000.0
DGX,2012-06-30,False,Q2,2012,10-Q,1906810000.0,334748000.0,177705000.0,1.12,1.11,0.17,9392847000.0,1477175000.0,1324718000.0,173742000.0,4021135000.0,412134000.0,-130541000.0,-272737000.0,,5822551000.0,77408000.0
DGX,2013-03-31,False,Q1,2013,10-Q,1786647000.0,226994000.0,135779000.0,0.86,0.85,0.3,9306164000.0,1457166000.0,1208216000.0,133603000.0,4227353000.0,47243000.0,-140128000.0,-59700000.0,,5630102000.0,49097000.0
DGX,2013-06-30,False,Q2,2013,10-Q,1815740000.0,288721000.0,165468000.0,1.07,1.07,0.3,9036185000.0,1469699000.0,1290691000.0,148342000.0,3938566000.0,255324000.0,-19362000.0,-400440000.0,,5665845000.0,104718000.0
DGX,2013-09-30,False,Q3,2013,10-Q,1787140000.0,689477000.0,405143000.0,2.7,2.68,0.3,8927539000.0,1425648000.0,1238995000.0,158280000.0,3871595000.0,441648000.0,433640000.0,-1029828000.0,,5628808000.0,155467000.0
DGX,2012-12-31,False,FY,2012,10-K,7382562000.0,1200797000.0,555721000.0,3.49,3.46,0.81,9283863000.0,1560997000.0,1047603000.0,295586000.0,4185729000.0,1187168000.0,-217139000.0,-822095000.0,3363577000.0,5535848000.0,182234000.0
DGX,2012-09-30,False,Q3,2012,10-Q,1851439000.0,308733000.0,163082000.0,1.02,1.01,0.17,9318721000.0,1472265000.0,1070640000.0,191770000.0,4197581000.0,806755000.0,-174990000.0,-604881000.0,,5837179000.0,122318000.0
DGX,2009-12-31,False,FY,2009,10-K,7455243000.0,1359111000.0,729111000.0,3.91,3.87,0.4,8563643000.0,1679425000.0,1059212000.0,534256000.0,4011464000.0,997418000.0,-195904000.0,-521204000.0,,5083944000.0,166928000.0
DGX,2009-09-30,False,Q3,2009,10-Q,1897146000.0,348280000.0,192219000.0,1.03,1.02,0.1,8365725000.0,1470682000.0,990845000.0,247033000.0,3938107000.0,637099000.0,-140193000.0,-503819000.0,,5090776000.0,
DGX,2014-03-31,False,Q1,2014,10-Q,1746000000.0,208000000.0,104000000.0,0.72,0.71,0.33,9550000000.0,1488000000.0,1192000000.0,144000000.0,4020000000.0,84000000.0,-636000000.0,509000000.0,3752000000.0,5920000000.0,68000000.0
DGX,2009-06-30,False,Q2,2009,10-Q,1901818000.0,359375000.0,188200000.0,1.01,1.0,0.1,8211435000.0,1339098000.0,1023876000.0,119294000.0,3765642000.0,263556000.0,-94076000.0,-304132000.0,,5067267000.0,
DGX,2014-06-30,False,Q2,2014,10-Q,1902000000.0,262000000.0,133000000.0,0.92,0.92,0.33,9757000000.0,1505000000.0,1258000000.0,144000000.0,4119000000.0,364000000.0,-841000000.0,434000000.0,3763000000.0,6024000000.0,117000000.0
