symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DIT,2018-12-31,False,Q1,2019,10-Q,344733920.0,2066916.0,1245321.0,2.02,1.99,0.18,121832429.0,97412034.0,27185100.0,821708.0,65672852.0,14640643.0,-956976.0,-13382603.0,,4436950.0,956976.0
DIT,2011-12-31,False,Q1,2012,10-Q,283563050.0,2674181.0,1370694.0,2.21,1.83,0.0,111052732.0,84545209.0,25743088.0,974815.0,43871656.0,-7505241.0,-258117.0,7348508.0,,6349827.0,261717.0
DIT,2011-09-30,False,FY,2011,10-K,1041631892.0,15554614.0,7777639.0,13.09,10.44,0.72,107435633.0,80582765.0,31538481.0,1389665.0,41708593.0,16005748.0,-15261671.0,288853.0,,6349827.0,1988139.0
DIT,2011-06-30,False,Q3,2011,10-Q,263828199.0,3917398.0,1757102.0,2.93,2.36,0.0,130820443.0,103580856.0,31131264.0,1330474.0,39059739.0,-11534921.0,-14944717.0,27453377.0,,6149168.0,1641035.0
DIT,2012-03-31,False,Q2,2012,10-Q,275829266.0,2700717.0,1397844.0,2.26,1.87,0.0,102983900.0,76616721.0,26940485.0,851114.0,44239648.0,3666886.0,-666904.0,-3538533.0,,6349827.0,707724.0
DIT,2012-06-30,False,Q3,2012,10-Q,307112774.0,3502916.0,1779094.0,2.92,2.37,0.0,116788565.0,90743475.0,27189935.0,568960.0,45913201.0,-6721036.0,-865502.0,6765833.0,,6349827.0,914486.0
DIT,2012-09-30,False,FY,2012,10-K,1174167758.0,13419090.0,7098467.0,11.56,9.4,0.72,105809866.0,79931164.0,30002223.0,491387.0,48458655.0,9898888.0,-1350948.0,-9446218.0,6258509.0,6349827.0,1480782.0
DIT,2012-12-31,False,Q1,2013,10-Q,302218321.0,2787455.0,1403461.0,2.26,1.9,0.0,115830622.0,91048734.0,24894928.0,34802.0,48793922.0,-13176267.0,-191188.0,12910870.0,,6349827.0,330228.0
DIT,2013-06-30,False,Q3,2013,10-Q,316031197.0,3147445.0,1583845.0,2.54,2.19,0.0,118615158.0,93599094.0,27935903.0,177452.0,51341299.0,-8310342.0,-1663365.0,9659772.0,,6349827.0,1808206.0
DIT,2013-09-30,False,FY,2013,10-K,1211052634.0,11064603.0,5653454.0,9.08,7.79,0.72,106374899.0,81617353.0,28249355.0,275036.0,52740534.0,5732890.0,-1933764.0,-4015477.0,5075680.0,6349827.0,2113426.0
DIT,2014-03-31,False,Q2,2014,10-Q,272421788.0,1178954.0,483177.0,0.79,0.72,0.0,107864413.0,82865579.0,24233873.0,396560.0,53359728.0,37309.0,-1846801.0,1931016.0,,6349827.0,1362832.0
DIT,2014-06-30,False,Q3,2014,10-Q,322647624.0,2441786.0,1211789.0,2.0,1.73,0.0,112683054.0,87375898.0,27338564.0,333751.0,53747627.0,1214411.0,-3286460.0,2130764.0,,6349827.0,2337626.0
DIT,2013-12-31,False,Q1,2014,10-Q,305625557.0,2524760.0,1238819.0,1.99,1.73,0.0,116915737.0,91875839.0,24593413.0,326390.0,53025325.0,-10403801.0,-976358.0,11431513.0,,6349827.0,985678.0
DIT,2014-09-30,False,FY,2014,10-K,1236755388.0,9396369.0,4764423.0,7.81,6.75,0.72,108679952.0,83662858.0,27896976.0,99922.0,55442284.0,7662454.0,-3600756.0,-4236812.0,4076892.0,6349827.0,2796326.0
DIT,2013-03-31,False,Q2,2013,10-Q,274568151.0,2259040.0,1165786.0,1.87,1.63,0.0,103433174.0,78463718.0,24313064.0,432857.0,49858581.0,1102928.0,-964689.0,-196769.0,,6349827.0,1104229.0
DIT,2014-12-31,False,Q1,2015,10-Q,315433476.0,2769105.0,1496853.0,2.44,2.11,0.0,113562268.0,88901210.0,24588539.0,173707.0,57972812.0,-4912488.0,-337996.0,5324269.0,,6349827.0,340796.0
DIT,2015-03-31,False,Q2,2015,10-Q,287443864.0,1656721.0,721225.0,1.17,1.04,0.0,125585645.0,101237466.0,24956335.0,189559.0,58599938.0,-15532888.0,-603306.0,16225831.0,,6349827.0,611106.0
DIT,2015-06-30,False,Q3,2015,10-Q,334456509.0,3550637.0,1947581.0,3.16,2.69,0.0,112936249.0,88990136.0,28245424.0,149857.0,60411299.0,2576540.0,-788624.0,-1737981.0,,6349827.0,812624.0
DIT,2016-03-31,False,Q2,2016,10-Q,296449126.0,2194199.0,1097981.0,1.81,1.61,0.18,114551258.0,91530330.0,25038760.0,321990.0,61995601.0,7353281.0,-644238.0,-6606589.0,17600000.0,6349827.0,692402.0
DIT,2015-12-31,False,Q1,2016,10-Q,322008249.0,2549821.0,1306445.0,2.09,1.85,0.0,106734352.0,83469531.0,24209460.0,344467.0,61385272.0,12716831.0,-347565.0,-12244335.0,,6349827.0,361565.0
DIT,2016-06-30,False,Q3,2016,10-Q,333398723.0,3315180.0,1803292.0,3.03,2.62,0.18,114697352.0,91869697.0,28992452.0,414997.0,62167777.0,13392060.0,-901831.0,-12294768.0,13700000.0,6349827.0,1013988.0
DIT,2017-06-30,False,Q3,2017,10-Q,332842200.0,961802.0,385049.0,0.57,0.56,0.18,112709318.0,89605088.0,28221964.0,121790.0,67331260.0,3440335.0,-1718776.0,-2205149.0,,6349827.0,1761431.0
DIT,2018-03-31,False,Q2,2018,10-Q,295207286.0,908853.0,338899.0,0.49,0.49,0.46,132648757.0,108905782.0,27598448.0,564817.0,70095215.0,1265085.0,-1366467.0,143134.0,,6349827.0,1366767.0
DIT,2017-12-31,False,Q1,2018,10-Q,315513209.0,1307149.0,1480091.0,2.15,2.13,0.18,111914434.0,88764250.0,24346321.0,570560.0,70487717.0,17053936.0,-291018.0,-16715423.0,,6349827.0,291318.0
DIT,2016-12-31,False,Q1,2017,10-Q,310104229.0,2091234.0,1046464.0,1.54,1.52,0.18,107035807.0,84353674.0,23499800.0,331420.0,66696244.0,2166012.0,-369300.0,-2070672.0,,6349827.0,400778.0
DIT,2017-03-31,False,Q2,2017,10-Q,294047870.0,1123429.0,488483.0,0.72,0.71,0.46,105679176.0,82988311.0,26576353.0,248760.0,67051421.0,7662039.0,-805917.0,-7212742.0,,6349827.0,837895.0
DIT,2016-09-30,False,FY,2016,10-K,1294625223.0,10873935.0,5820313.0,9.37,8.38,1.0,112263390.0,89258293.0,28901358.0,605380.0,65750598.0,18386340.0,-1482691.0,-16517805.0,3384319.0,6349827.0,1594848.0
DIT,2015-09-30,False,FY,2015,10-K,1281855896.0,11534963.0,6166173.0,9.96,8.59,0.72,120183807.0,96672673.0,27903426.0,219536.0,61362897.0,-2560285.0,-977391.0,3657290.0,3735702.0,6349827.0,1018391.0
DIT,2018-06-30,False,Q3,2018,10-Q,349043200.0,1489945.0,785050.0,1.21,1.18,0.18,119102355.0,95291233.0,30857687.0,275320.0,63698057.0,19090786.0,-2115058.0,-17223473.0,,6349827.0,2120358.0
DIT,2017-09-30,False,FY,2017,10-K,1274984408.0,6224753.0,2949576.0,4.34,4.26,1.0,131804887.0,108342275.0,29580321.0,523065.0,68168842.0,-13761822.0,-2519045.0,16198552.0,3021824.0,6349827.0,2565699.0
DIT,2018-09-30,False,FY,2018,10-K,1322306658.0,5918941.0,3614610.0,5.47,5.38,1.0,139954154.0,116031991.0,34445493.0,520644.0,64600817.0,5895456.0,-3220307.0,-2677570.0,4754697.0,4436950.0,3226107.0
