symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DMLP,2018-12-31,False,FY,2018,10-K,73278000.0,,53907000.0,1.61,1.61,0.0,87923000.0,30118000.0,486000.0,18285000.0,,62524000.0,-60000.0,,,,41000.0
DMLP,2011-12-31,False,FY,2011,10-K,69489000.0,42178000.0,42215000.0,1.33,1.33,0.0,142769000.0,28456000.0,568000.0,14238000.0,,55496000.0,-6000.0,,,,6000.0
DMLP,2012-09-30,False,Q3,2012,10-Q,14308000.0,8130000.0,8129000.0,0.26,0.26,0.0,121955000.0,20435000.0,1605000.0,12346000.0,,44036000.0,,,,,
DMLP,2011-09-30,False,Q3,2011,10-Q,18326000.0,11469000.0,11506000.0,0.36,0.36,0.0,144996000.0,25975000.0,1494000.0,15739000.0,,42506000.0,-6000.0,,,,6000.0
DMLP,2013-12-31,False,FY,2013,10-K,65869000.0,43400000.0,43576000.0,1.37,1.37,0.0,112785000.0,28198000.0,950000.0,15175000.0,,56398000.0,,,,,
DMLP,2014-03-31,False,Q1,2014,10-Q,17339000.0,12247000.0,12897000.0,0.41,0.41,0.0,110902000.0,28832000.0,1114000.0,16531000.0,,16290000.0,,,,,
DMLP,2013-09-30,False,Q3,2013,10-Q,16440000.0,10718000.0,10749000.0,0.34,0.34,0.0,114700000.0,27171000.0,1530000.0,15765000.0,,42508000.0,,,,,
DMLP,2012-06-30,False,Q2,2012,10-Q,15242000.0,8680000.0,8680000.0,0.27,0.27,0.0,127772000.0,22253000.0,994000.0,15350000.0,,32493000.0,,,,,
DMLP,2012-03-31,False,Q1,2012,10-Q,13433000.0,7286000.0,7298000.0,0.23,0.23,0.0,135914000.0,25913000.0,659000.0,17551000.0,,17547000.0,,,,,
DMLP,2011-06-30,False,Q2,2011,10-Q,16434000.0,9770000.0,9770000.0,0.31,0.31,0.0,146293000.0,22457000.0,1026000.0,14110000.0,,27614000.0,-4000.0,,,,0.0
DMLP,2014-06-30,False,Q2,2014,10-Q,17973000.0,12611000.0,12669000.0,0.39,0.39,0.0,108013000.0,28736000.0,1298000.0,16809000.0,,32282000.0,,,,,
DMLP,2012-12-31,False,FY,2012,10-K,63204000.0,38011000.0,38022000.0,1.2,1.2,0.0,123800000.0,26070000.0,487000.0,13792000.0,,56424000.0,,,,,
DMLP,2013-06-30,False,Q2,2013,10-Q,17295000.0,11884000.0,12025000.0,0.38,0.38,0.0,116625000.0,25549000.0,1617000.0,13512000.0,,27678000.0,,,,,
DMLP,2013-03-31,False,Q1,2013,10-Q,13218000.0,7648000.0,7648000.0,0.24,0.24,0.0,117994000.0,23650000.0,831000.0,14639000.0,,14635000.0,,,,,
DMLP,2014-09-30,False,Q3,2014,10-Q,15716000.0,10965000.0,10969000.0,0.35,0.35,0.0,103521000.0,30443000.0,1447000.0,15899000.0,,47009000.0,,,,,
DMLP,2015-03-31,False,Q1,2015,10-Q,8804000.0,4030000.0,4031000.0,0.13,0.13,0.0,86497000.0,18004000.0,,10673000.0,,10050000.0,,,,,
DMLP,2015-06-30,False,Q2,2015,10-Q,8280000.0,3814000.0,3816000.0,0.12,0.12,0.0,81125000.0,14912000.0,1779000.0,7028000.0,,16073000.0,,,,,
DMLP,2017-03-31,False,Q1,2017,10-Q,12727000.0,,8522000.0,0.27,0.27,0.0,68522000.0,17798000.0,754000.0,10608000.0,,10086000.0,,,,,
DMLP,2016-12-31,False,FY,2016,10-K,37557000.0,20967000.0,20967000.0,0.66,0.66,0.0,67211000.0,14769000.0,275000.0,8212000.0,,28278000.0,,,,,
DMLP,2016-06-30,False,Q2,2016,10-Q,10009000.0,,5951000.0,0.19,0.19,0.0,70738000.0,14252000.0,1152000.0,9522000.0,,13420000.0,,,,,
DMLP,2015-09-30,False,Q3,2015,10-Q,7387000.0,2681000.0,2683000.0,0.08,0.08,0.0,78460000.0,15314000.0,1783000.0,8113000.0,,22476000.0,,,,,
DMLP,2016-09-30,False,Q3,2016,10-Q,10679000.0,,6647000.0,0.21,0.21,0.0,69296000.0,14904000.0,1232000.0,9496000.0,,21563000.0,,,,,
DMLP,2014-12-31,False,FY,2014,10-K,65170000.0,44527000.0,45239000.0,1.42,1.42,0.0,97509000.0,26465000.0,985000.0,15912000.0,,57660000.0,,,,,
DMLP,2016-03-31,False,Q1,2016,10-Q,6126000.0,,1498000.0,0.05,0.05,0.0,68946000.0,10203000.0,607000.0,5267000.0,,4470000.0,,,,,
DMLP,2015-12-31,False,FY,2015,10-K,31863000.0,13248000.0,13255000.0,0.42,0.42,0.0,73729000.0,12780000.0,535000.0,7136000.0,,27692000.0,,,,,
DMLP,2017-09-30,False,Q3,2017,10-Q,12480000.0,,7224000.0,0.22,0.22,0.0,88305000.0,19088000.0,1789000.0,11557000.0,,31274000.0,331000.0,,,,106000.0
DMLP,2017-06-30,False,Q2,2017,10-Q,12553000.0,,8449000.0,0.26,0.26,0.0,91341000.0,19818000.0,1657000.0,12594000.0,,21280000.0,568000.0,,,,40000.0
DMLP,2018-09-30,False,Q3,2018,10-Q,13938000.0,,9279000.0,0.27,0.27,0.0,85472000.0,25584000.0,2139000.0,15703000.0,,46685000.0,-66000.0,,,,41000.0
DMLP,2017-12-31,False,FY,2017,10-K,57291000.0,,38424000.0,1.18,1.18,0.0,92047000.0,25355000.0,637000.0,13827000.0,,44028000.0,-616000.0,,,,1056000.0
DMLP,2018-06-30,False,Q2,2018,10-Q,21123000.0,,16364000.0,0.49,0.49,0.0,93487000.0,31197000.0,1645000.0,19608000.0,,32737000.0,-66000.0,,,,41000.0
DMLP,2018-03-31,False,Q1,2018,10-Q,15883000.0,,10963000.0,0.33,0.33,0.0,90829000.0,26255000.0,1410000.0,15392000.0,,14485000.0,18000.0,,,,34000.0
