symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DNOW,2018-12-31,False,FY,2018,10-K,3127000000.0,73000000.0,51000000.0,0.47,0.47,0.0,1795000000.0,1219000000.0,441000000.0,116000000.0,1214000000.0,73000000.0,-9000000.0,-37000000.0,132000000.0,314000000.0,11000000.0
DNOW,2014-12-31,False,FY,2014,10-K,4105000000.0,181000000.0,116000000.0,1.07,1.06,0.0,2596000000.0,2047000000.0,620000000.0,195000000.0,1966000000.0,108000000.0,-67000000.0,66000000.0,,346000000.0,39000000.0
DNOW,2014-03-31,False,Q1,2014,10-Q,1077000000.0,62000000.0,41000000.0,,,0.0,2343000000.0,1826000000.0,420000000.0,175000000.0,1904000000.0,3000000.0,-6000000.0,78000000.0,,330000000.0,6000000.0
DNOW,2014-09-30,False,Q3,2014,10-Q,1070000000.0,50000000.0,32000000.0,0.3,0.3,0.0,2558000000.0,2032000000.0,578000000.0,166000000.0,1973000000.0,30000000.0,-24000000.0,74000000.0,0.0,328000000.0,32000000.0
DNOW,2014-06-30,False,Q2,2014,10-Q,952000000.0,43000000.0,27000000.0,0.25,0.25,0.0,2473000000.0,1946000000.0,508000000.0,236000000.0,1958000000.0,70000000.0,-10000000.0,74000000.0,,333000000.0,18000000.0
DNOW,2016-03-31,False,Q1,2016,10-Q,548000000.0,-65000000.0,-63000000.0,-0.59,-0.59,0.0,1738000000.0,1201000000.0,302000000.0,131000000.0,1368000000.0,89000000.0,,-57000000.0,,210000000.0,1000000.0
DNOW,2015-06-30,False,Q2,2015,10-Q,750000000.0,-27000000.0,-19000000.0,-0.18,-0.18,0.0,2473000000.0,1732000000.0,448000000.0,114000000.0,1922000000.0,81000000.0,-229000000.0,78000000.0,80000000.0,457000000.0,6000000.0
DNOW,2015-09-30,False,Q3,2015,10-Q,753000000.0,-291000000.0,-224000000.0,-2.09,-2.09,0.0,2186000000.0,1532000000.0,389000000.0,126000000.0,1658000000.0,244000000.0,-402000000.0,118000000.0,120000000.0,296000000.0,8000000.0
DNOW,2016-09-30,False,Q3,2016,10-Q,520000000.0,-53000000.0,-56000000.0,-0.53,-0.53,0.0,1711000000.0,1024000000.0,292000000.0,131000000.0,1268000000.0,186000000.0,-191000000.0,33000000.0,,331000000.0,3000000.0
DNOW,2015-03-31,False,Q1,2015,10-Q,863000000.0,-8000000.0,-10000000.0,-0.09,-0.09,0.0,2609000000.0,1907000000.0,526000000.0,122000000.0,1922000000.0,-13000000.0,-186000000.0,133000000.0,135000000.0,429000000.0,3000000.0
DNOW,2016-06-30,False,Q2,2016,10-Q,501000000.0,-57000000.0,-44000000.0,-0.4,-0.4,0.0,1814000000.0,1108000000.0,304000000.0,136000000.0,1322000000.0,155000000.0,-190000000.0,68000000.0,,334000000.0,2000000.0
DNOW,2015-12-31,False,FY,2015,10-K,3010000000.0,-510000000.0,-502000000.0,-4.68,-4.68,0.0,1832000000.0,1292000000.0,307000000.0,90000000.0,1403000000.0,324000000.0,-523000000.0,106000000.0,108000000.0,205000000.0,11000000.0
DNOW,2017-06-30,False,Q2,2017,10-Q,651000000.0,-14000000.0,-17000000.0,-0.16,-0.16,0.0,1698000000.0,1065000000.0,386000000.0,97000000.0,1176000000.0,-74000000.0,-2000000.0,63000000.0,128000000.0,322000000.0,1000000.0
DNOW,2017-03-31,False,Q1,2017,10-Q,631000000.0,-21000000.0,-23000000.0,-0.21,-0.21,0.0,1663000000.0,1025000000.0,399000000.0,102000000.0,1175000000.0,-21000000.0,-2000000.0,16000000.0,82000000.0,316000000.0,1000000.0
DNOW,2018-03-31,False,Q1,2018,10-Q,764000000.0,7000000.0,2000000.0,0.02,0.02,0.0,1818000000.0,1206000000.0,443000000.0,80000000.0,1192000000.0,-30000000.0,-1000000.0,13000000.0,175000000.0,329000000.0,1000000.0
DNOW,2017-09-30,False,Q3,2017,10-Q,697000000.0,-6000000.0,-9000000.0,-0.08,-0.08,0.0,1780000000.0,1149000000.0,422000000.0,99000000.0,1187000000.0,-107000000.0,-3000000.0,97000000.0,163000000.0,328000000.0,3000000.0
DNOW,2017-12-31,False,FY,2017,10-K,2648000000.0,-41000000.0,-52000000.0,-0.48,-0.48,0.0,1749000000.0,1129000000.0,394000000.0,98000000.0,1185000000.0,-115000000.0,8000000.0,94000000.0,162000000.0,328000000.0,4000000.0
DNOW,2016-12-31,False,FY,2016,10-K,2107000000.0,-222000000.0,-234000000.0,-2.18,-2.18,0.0,1603000000.0,959000000.0,347000000.0,106000000.0,1183000000.0,235000000.0,-183000000.0,-47000000.0,65000000.0,311000000.0,4000000.0
DNOW,2018-09-30,False,Q3,2018,10-Q,822000000.0,26000000.0,20000000.0,0.18,0.18,0.0,1861000000.0,1272000000.0,467000000.0,91000000.0,1217000000.0,-2000000.0,-3000000.0,1000000.0,170000000.0,322000000.0,5000000.0
DNOW,2018-06-30,False,Q2,2018,10-Q,777000000.0,18000000.0,14000000.0,0.12,0.12,0.0,1811000000.0,1213000000.0,420000000.0,91000000.0,1189000000.0,-25000000.0,-2000000.0,25000000.0,195000000.0,321000000.0,3000000.0
