symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DORM,2018-12-29,False,FY,2018,10-K,973705000.0,171143000.0,133602000.0,4.04,4.02,0.0,887557000.0,629728000.0,141590000.0,43458000.0,727623000.0,78112000.0,-59146000.0,-46938000.0,800000.0,72606000.0,26106000.0
DORM,2011-12-31,False,FY,2011,10-K,529287000.0,84663000.0,53277000.0,2.97,2.93,0.0,376693000.0,310153000.0,44553000.0,50196000.0,317103000.0,38063000.0,-18102000.0,-4000.0,,26553000.0,18102000.0
DORM,2011-09-24,False,Q3,2011,10-Q,134243000.0,19896000.0,11500000.0,0.64,0.63,0.0,357730000.0,292475000.0,44773000.0,45588000.0,300056000.0,30554000.0,-14914000.0,-404000.0,,26553000.0,14914000.0
DORM,2011-06-25,False,Q2,2011,10-Q,131619000.0,20450000.0,12747000.0,0.71,0.7,0.0,349907000.0,287048000.0,47927000.0,38812000.0,288740000.0,19106000.0,-10392000.0,-484000.0,,26553000.0,10392000.0
DORM,2013-06-29,False,Q2,2013,10-Q,162261000.0,30754000.0,19342000.0,0.53,0.53,0.0,446503000.0,363754000.0,56903000.0,39691000.0,371453000.0,21310000.0,-8983000.0,-344000.0,,30147000.0,7086000.0
DORM,2013-03-30,False,Q1,2013,10-Q,154443000.0,29908000.0,19072000.0,0.53,0.52,0.0,422947000.0,345659000.0,54437000.0,35149000.0,351897000.0,10581000.0,-2846000.0,-294000.0,,26553000.0,2846000.0
DORM,2012-12-29,False,FY,2012,10-K,570420000.0,104231000.0,70962000.0,1.96,1.94,1.5,406309000.0,329675000.0,57311000.0,27708000.0,332872000.0,48911000.0,-18078000.0,-53390000.0,,26553000.0,18078000.0
DORM,2012-09-29,False,Q3,2012,10-Q,156411000.0,31131000.0,20342000.0,0.56,0.56,0.0,438668000.0,363310000.0,51733000.0,66071000.0,372346000.0,28601000.0,-14437000.0,1640000.0,,26553000.0,14437000.0
DORM,2012-06-30,False,Q2,2012,10-Q,144172000.0,25727000.0,19742000.0,0.55,0.54,0.0,421176000.0,349150000.0,55446000.0,65246000.0,351172000.0,23411000.0,-9454000.0,1066000.0,,26553000.0,9454000.0
DORM,2012-03-31,False,Q1,2012,10-Q,137036000.0,24492000.0,15578000.0,0.87,0.85,0.0,406739000.0,337550000.0,58678000.0,59808000.0,333049000.0,14025000.0,-4495000.0,-145000.0,,26553000.0,4495000.0
DORM,2013-09-28,False,Q3,2013,10-Q,177953000.0,35670000.0,22887000.0,0.63,0.62,0.0,489592000.0,399027000.0,77790000.0,48335000.0,393574000.0,36841000.0,-14846000.0,-1368000.0,,30114000.0,12949000.0
DORM,2014-03-29,False,Q1,2014,10-Q,183512000.0,36947000.0,23551000.0,0.65,0.64,0.0,551215000.0,449373000.0,91104000.0,64021000.0,436974000.0,11144000.0,-7008000.0,-708000.0,,30064000.0,7008000.0
DORM,2014-09-27,False,Q3,2014,10-Q,197796000.0,38476000.0,24536000.0,0.68,0.68,0.0,552186000.0,438265000.0,82301000.0,44210000.0,445685000.0,47406000.0,-22992000.0,-40797000.0,,30014000.0,22992000.0
DORM,2013-12-28,False,FY,2013,10-K,664466000.0,127939000.0,81920000.0,2.25,2.24,0.0,529169000.0,432440000.0,91738000.0,60593000.0,413641000.0,61559000.0,-26563000.0,-2111000.0,,30089000.0,24666000.0
DORM,2014-12-27,False,FY,2014,10-K,751476000.0,140734000.0,89987000.0,2.5,2.49,0.0,580368000.0,455464000.0,90833000.0,47656000.0,462061000.0,59640000.0,-29862000.0,-42715000.0,0.0,29989000.0,29862000.0
DORM,2014-06-28,False,Q2,2014,10-Q,196187000.0,36700000.0,23244000.0,0.64,0.64,0.0,561887000.0,453543000.0,86645000.0,53984000.0,451567000.0,19182000.0,-15878000.0,-9913000.0,,30039000.0,15878000.0
DORM,2015-12-26,False,FY,2015,10-K,802957000.0,146157000.0,92329000.0,2.6,2.6,0.0,621865000.0,478633000.0,98570000.0,78659000.0,518036000.0,92060000.0,-23821000.0,-37236000.0,0.0,29889000.0,21688000.0
DORM,2015-09-26,False,Q3,2015,10-Q,210928000.0,41240000.0,26060000.0,0.73,0.73,0.0,639305000.0,503786000.0,87029000.0,79321000.0,526069000.0,57483000.0,-18534000.0,-7284000.0,,29914000.0,16534000.0
DORM,2015-06-27,False,Q2,2015,10-Q,198721000.0,36895000.0,23143000.0,0.65,0.65,0.0,625293000.0,492801000.0,94053000.0,67199000.0,504773000.0,34855000.0,-13016000.0,-2296000.0,,29939000.0,11016000.0
DORM,2015-03-28,False,Q1,2015,10-Q,188474000.0,33652000.0,21339000.0,0.6,0.6,0.0,605186000.0,476695000.0,96074000.0,64599000.0,482626000.0,23804000.0,-5749000.0,-1112000.0,,29964000.0,5749000.0
