symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DPLO,2018-09-30,False,Q3,2018,10-Q,1373334000.0,9939000.0,169000.0,0.0,0.0,0.0,1800661000.0,549726000.0,578485000.0,8214000.0,764856000.0,33207000.0,-17709000.0,-91535000.0,467375000.0,834580000.0,7880000.0
DPLO,2015-03-31,False,Q1,2015,10-Q,624883000.0,4838000.0,2858000.0,0.06,0.05,0.0,544805000.0,444792000.0,212690000.0,162018000.0,324743000.0,-4097000.0,-3911000.0,152069000.0,0.0,23148000.0,475000.0
DPLO,2015-06-30,False,Q2,2015,10-Q,808011000.0,7195000.0,3390000.0,0.05,0.05,0.0,1005179000.0,452734000.0,402064000.0,17305000.0,472855000.0,-40555000.0,-307096000.0,346999000.0,,250544000.0,1009000.0
DPLO,2015-09-30,False,Q3,2015,10-Q,946913000.0,26903000.0,15961000.0,0.25,0.24,0.0,984156000.0,437170000.0,358523000.0,15665000.0,502005000.0,2532000.0,-311045000.0,306221000.0,,253426000.0,2374000.0
DPLO,2014-09-30,False,Q3,2014,10-Q,595529000.0,5859000.0,3796000.0,0.12,0.11,0.0,322662000.0,221913000.0,261848000.0,15787000.0,-95212000.0,19304000.0,-58520000.0,45894000.0,19848000.0,23172000.0,834000.0
DPLO,2016-03-31,False,Q1,2016,10-Q,995870000.0,25044000.0,15429000.0,0.24,0.23,0.0,1028487000.0,492277000.0,362542000.0,14684000.0,549645000.0,-5579000.0,-5747000.0,-1590000.0,0.0,256318000.0,1316000.0
DPLO,2016-06-30,False,Q2,2016,10-Q,1088506000.0,13854000.0,8534000.0,0.13,0.13,0.0,1145722000.0,529349000.0,424882000.0,7906000.0,606675000.0,45949000.0,-80125000.0,14482000.0,17057000.0,315380000.0,3705000.0
DPLO,2016-09-30,False,Q3,2016,10-Q,1181173000.0,1374000.0,5408000.0,0.08,0.08,0.0,1130354000.0,528799000.0,402734000.0,17092000.0,613414000.0,31405000.0,-83980000.0,42067000.0,112500000.0,315373000.0,5012000.0
DPLO,2014-12-31,False,FY,2014,10-K,2214956000.0,12583000.0,4318000.0,0.12,0.11,0.0,390086000.0,291086000.0,215428000.0,17957000.0,168727000.0,-9568000.0,-66084000.0,84500000.0,0.0,23148000.0,1487000.0
DPLO,2015-12-31,False,FY,2015,10-K,3366631000.0,45937000.0,25776000.0,0.42,0.41,0.0,1005873000.0,460970000.0,371902000.0,27600000.0,515546000.0,29447000.0,-311573000.0,291769000.0,117000000.0,256318000.0,4624000.0
DPLO,2017-06-30,False,Q2,2017,10-Q,1126464000.0,4843000.0,3591000.0,0.05,0.05,0.0,1099322000.0,476016000.0,340417000.0,7804000.0,635534000.0,67253000.0,-58362000.0,-9040000.0,108000000.0,358178000.0,2289000.0
DPLO,2017-03-31,False,Q1,2017,10-Q,1078740000.0,8548000.0,4367000.0,0.07,0.06,0.0,1086188000.0,479706000.0,339219000.0,16581000.0,621720000.0,44295000.0,-28429000.0,-7238000.0,109500000.0,336775000.0,569000.0
DPLO,2016-12-31,False,FY,2016,10-K,4410388000.0,47077000.0,28273000.0,0.43,0.42,0.0,1107947000.0,519810000.0,385346000.0,7953000.0,613724000.0,31326000.0,-85967000.0,34994000.0,111000000.0,316616000.0,6217000.0
DPLO,2017-09-30,False,Q3,2017,10-Q,1124957000.0,2308000.0,1016000.0,0.01,0.01,0.0,1154049000.0,509271000.0,381013000.0,27152000.0,647193000.0,93646000.0,-83350000.0,8903000.0,105750000.0,383015000.0,3414000.0
DPLO,2017-12-31,False,FY,2017,10-K,4485230000.0,18565000.0,15510000.0,0.23,0.23,0.0,1940423000.0,634070000.0,651457000.0,84251000.0,749501000.0,135254000.0,-633319000.0,574363000.0,550000000.0,832624000.0,6652000.0
DPLO,2018-03-31,False,Q1,2018,10-Q,1342484000.0,8691000.0,-450000.0,-0.01,-0.01,0.0,1831909000.0,543954000.0,615178000.0,6040000.0,753995000.0,48572000.0,-2866000.0,-123917000.0,140000000.0,835633000.0,
DPLO,2018-06-30,False,Q2,2018,10-Q,1416078000.0,7774000.0,-3964000.0,-0.05,-0.05,0.0,1817870000.0,545392000.0,596772000.0,7360000.0,757472000.0,66652000.0,-12608000.0,-130935000.0,470250000.0,836427000.0,5487000.0
