symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DRQ,2010-12-31,False,FY,2010,10-K,566251000.0,138713000.0,102226000.0,2.57,2.55,0.0,948551000.0,688249000.0,111329000.0,245850000.0,828014000.0,107160000.0,-72950000.0,14634000.0,,,74815000.0
DRQ,2010-09-30,False,Q3,2010,10-Q,140123000.0,37714000.0,27657000.0,0.69,0.69,0.0,911804000.0,674112000.0,106681000.0,257974000.0,797441000.0,101018000.0,-47356000.0,6456000.0,,,48585000.0
DRQ,2018-12-31,False,FY,2018,10-K,384626000.0,-122738000.0,-95695000.0,-2.58,-2.58,0.0,1192510000.0,852981000.0,82258000.0,418100000.0,1096162000.0,45503000.0,-15173000.0,-99199000.0,,7714000.0,32061000.0
DRQ,2010-06-30,False,Q2,2010,10-Q,142000000.0,39323000.0,27998000.0,0.7,0.7,0.0,847857000.0,635006000.0,86183000.0,225903000.0,754182000.0,43740000.0,-20902000.0,4999000.0,,,21980000.0
DRQ,2011-03-31,False,Q1,2011,10-Q,137667000.0,30595000.0,21672000.0,0.54,0.54,0.0,994685000.0,718898000.0,126938000.0,268276000.0,858549000.0,40571000.0,-18764000.0,186000.0,,,19809000.0
DRQ,2012-09-30,False,Q3,2012,10-Q,190860000.0,38723000.0,29657000.0,0.73,0.73,0.0,1196203000.0,891908000.0,155221000.0,263421000.0,1031460000.0,-9916000.0,-39303000.0,11225000.0,,,40606000.0
DRQ,2012-03-31,False,Q1,2012,10-Q,177124000.0,40032000.0,28797000.0,0.72,0.71,0.0,1125702000.0,829287000.0,151500000.0,285488000.0,964654000.0,-1472000.0,-13710000.0,532000.0,,,13867000.0
DRQ,2012-06-30,False,Q2,2012,10-Q,176570000.0,41349000.0,29803000.0,0.74,0.74,0.0,1149938000.0,852031000.0,149798000.0,248143000.0,990637000.0,-32471000.0,-26647000.0,8189000.0,,,27737000.0
DRQ,2011-12-31,False,FY,2011,10-K,601342000.0,129639000.0,95267000.0,2.38,2.36,0.0,1085858000.0,799302000.0,151000000.0,298576000.0,925244000.0,101854000.0,-54187000.0,5098000.0,57000.0,,56213000.0
DRQ,2011-06-30,False,Q2,2011,10-Q,136994000.0,30428000.0,22208000.0,0.55,0.55,0.0,1033139000.0,748550000.0,138975000.0,250118000.0,884853000.0,35442000.0,-30816000.0,388000.0,,,32839000.0
DRQ,2011-09-30,False,Q3,2011,10-Q,155035000.0,31776000.0,23263000.0,0.58,0.58,0.0,1032463000.0,749990000.0,131598000.0,255572000.0,891562000.0,51245000.0,-42856000.0,444000.0,,,45114000.0
