symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DSS,2012-03-31,False,Q1,2012,10-Q,3842821.0,-771464.0,-1073775.0,-0.05,-0.05,0.0,14811471.0,5329587.0,3926530.0,2769351.0,8407605.0,-495113.0,-49480.0,2596265.0,,3322799.0,49480.0
DSS,2018-09-30,False,Q3,2018,10-Q,311000.0,-378653.0,-412067.0,-0.02,-0.02,0.0,14835231.0,6227886.0,5415162.0,2051800.0,7357170.0,-1524552.0,-571722.0,-290374.0,609703.0,2453597.0,526251.0
DSS,2011-12-31,False,FY,2011,10-K,13383604.0,-3474109.0,-3222146.0,-0.17,-0.17,0.0,12822466.0,3192270.0,4272098.0,717679.0,5500037.0,-2124505.0,-533670.0,-710720.0,,3322799.0,523596.0
DSS,2013-03-31,False,Q1,2013,10-Q,3770454.0,-1071823.0,-1131585.0,-0.05,-0.05,0.0,13181295.0,4256690.0,3616172.0,1195968.0,7912650.0,-347331.0,-17527.0,-326337.0,,3322799.0,17527.0
DSS,2012-06-30,False,Q2,2012,10-Q,3659388.0,-924488.0,-994956.0,-0.05,-0.05,0.0,13704011.0,4262441.0,3719294.0,1517916.0,7529600.0,-1428970.0,-212557.0,2441764.0,,3322799.0,105782.0
DSS,2012-09-30,False,Q2,2012,10-Q,4164123.0,-1029068.0,-1096250.0,-0.05,-0.05,0.0,13425863.0,4191476.0,3881599.0,1022924.0,7151394.0,-2078427.0,-212500.0,2596172.0,,3322799.0,108931.0
DSS,2011-06-30,True,Q2,2011,10-Q,2875527.0,-1048518.0,-1112480.0,-0.06,-0.06,0.0,12123432.0,4092896.0,2966551.0,1512161.0,7066332.0,-1891997.0,33014.0,-715430.0,,3153668.0,4509.0
DSS,2014-03-31,False,Q1,2014,10-Q,3627731.0,-2941680.0,-3055154.0,-0.07,-0.07,0.0,67735108.0,6584515.0,3288253.0,2941874.0,56050739.0,-488086.0,-923499.0,2376428.0,,15046197.0,134373.0
DSS,2013-09-30,False,Q3,2013,10-Q,4249370.0,-2661313.0,6461836.0,0.15,0.15,0.0,64821789.0,6510373.0,4315771.0,3237724.0,54383654.0,-1920473.0,3431835.0,-160801.0,,15305316.0,321230.0
DSS,2012-12-31,False,FY,2012,10-K,17115270.0,-3773925.0,-4280828.0,-0.21,-0.21,0.0,14250468.0,5118269.0,3787688.0,1887163.0,8723546.0,-3163283.0,-358681.0,4691448.0,,3322799.0,245112.0
DSS,2011-09-30,False,Q3,2011,10-Q,3616159.0,-860915.0,-757052.0,-0.04,-0.04,0.0,13809117.0,4018127.0,4315156.0,1070510.0,6337859.0,-2017193.0,-462027.0,-536844.0,,3322799.0,497709.0
DSS,2014-06-30,False,Q2,2014,10-Q,4883391.0,-2215336.0,-2343526.0,-0.06,-0.06,0.0,66309172.0,5020309.0,4243282.0,1304656.0,54559318.0,-1103677.0,-2104769.0,2536071.0,,15046197.0,157789.0
DSS,2013-06-30,False,Q2,2013,10-Q,4279306.0,-1828430.0,-1925479.0,-0.09,-0.09,0.0,13317155.0,3817338.0,4052976.0,559286.0,7062386.0,-937936.0,-134818.0,-255123.0,,3322799.0,82312.0
DSS,2014-09-30,False,Q3,2014,10-Q,4964294.0,-13698459.0,-8069000.0,-0.19,-0.19,0.0,54388831.0,6057346.0,4484860.0,1899977.0,42055422.0,-1580810.0,-2223827.0,3727583.0,1127713.0,15046197.0,257764.0
DSS,2013-12-31,False,FY,2013,10-K,17452444.0,-8154427.0,2593530.0,0.08,0.08,0.0,67342211.0,6087563.0,4473826.0,2477031.0,58389014.0,-3149239.0,4099030.0,-359923.0,4492704.0,15046197.0,378587.0
DSS,2011-06-30,False,Q2,2011,10-Q,2875527.0,-1048518.0,-1112480.0,-0.06,-0.06,0.0,10982392.0,4092896.0,2966551.0,1512161.0,5925292.0,-1891997.0,33014.0,-715430.0,,2012628.0,4509.0
DSS,2015-06-30,False,Q2,2015,10-Q,4196100.0,-1094524.0,-1043308.0,-0.02,-0.02,0.0,25950669.0,4537600.0,4632706.0,1014857.0,13851046.0,-927591.0,-14440.0,-386787.0,509009.0,12046197.0,57486.0
DSS,2016-03-31,False,Q1,2016,10-Q,4338986.0,-542158.0,-624022.0,-0.01,-0.01,0.0,14951490.0,4671838.0,8811805.0,1049535.0,3110659.0,-68663.0,-119619.0,-202439.0,0.0,2453349.0,51827.0
DSS,2015-03-31,False,Q1,2015,10-Q,3429531.0,-1544478.0,-1646693.0,-0.04,-0.04,0.0,26209449.0,4958492.0,3682558.0,1591859.0,14557504.0,-528941.0,-27791.0,-195084.0,1006728.0,12046197.0,27791.0
DSS,2016-09-30,False,Q3,2016,10-Q,4979488.0,45738.0,-26738.0,-0.0,-0.0,0.0,13855615.0,4613904.0,8912831.0,823446.0,2783885.0,383751.0,229433.0,-1229994.0,0.0,2453349.0,-192614.0
DSS,2015-09-30,False,Q3,2015,10-Q,4419993.0,-767150.0,-860438.0,-0.02,-0.02,0.0,26365268.0,5303497.0,4926175.0,1244696.0,14047512.0,-1166871.0,-73204.0,141096.0,484864.0,12046197.0,118497.0
DSS,2016-06-30,False,Q2,2016,10-Q,4072480.0,-240289.0,-317825.0,-0.01,-0.01,0.0,14116248.0,4594384.0,9027047.0,771239.0,2797620.0,-66633.0,,,0.0,2453349.0,128632.0
DSS,2014-12-31,False,FY,2014,10-K,18287496.0,-46476576.0,-41157052.0,-0.98,-0.98,0.0,27752618.0,6094571.0,3789345.0,2343675.0,15855799.0,-2390238.0,-2274616.0,5031498.0,8193781.0,12046197.0,280902.0
DSS,2015-12-31,False,FY,2015,10-K,17505109.0,-14083293.0,-14309480.0,-0.3,-0.3,0.0,15657433.0,5082090.0,9486239.0,1440256.0,3687275.0,-976630.0,-115974.0,189185.0,3811176.0,2453349.0,157098.0
DSS,2017-06-30,False,Q2,2017,10-Q,3860163.0,-167845.0,-264527.0,-0.02,-0.02,0.0,16817700.0,8167610.0,10077800.0,4068745.0,3060524.0,-1024783.0,-370562.0,-407648.0,0.0,2453597.0,365659.0
DSS,2017-03-31,False,Q1,2017,10-Q,4770591.0,-86414.0,-184039.0,-0.01,-0.01,0.0,17591009.0,8893599.0,10613362.0,4866070.0,3240768.0,-730866.0,-71155.0,-203647.0,0.0,2453349.0,66206.0
DSS,2017-09-30,False,Q3,2017,10-Q,4198690.0,-173299.0,-277051.0,-0.02,-0.02,0.0,17435187.0,8579516.0,10040099.0,4223005.0,4103006.0,-1376155.0,-443253.0,170675.0,0.0,2453597.0,438350.0
DSS,2018-03-31,False,Q1,2018,10-Q,4377554.0,-332296.0,-406091.0,-0.02,-0.02,0.0,16982400.0,8131055.0,9375398.0,3728086.0,4683908.0,-93452.0,-148717.0,81458.0,522000.0,2453597.0,132937.0
DSS,2016-12-31,False,FY,2016,10-K,19177599.0,-660059.0,-950003.0,-0.07,-0.07,0.0,18466023.0,9496994.0,7701891.0,5871738.0,3284101.0,5466525.0,151469.0,-1186512.0,2997007.0,15285123.0,269870.0
DSS,2018-06-30,False,Q2,2018,10-Q,362000.0,-818298.0,2677458.0,0.16,0.16,0.0,15142447.0,6750565.0,5139293.0,3051593.0,7453251.0,-449843.0,-331539.0,-470302.0,522000.0,2453597.0,311402.0
DSS,2017-12-31,False,FY,2017,10-K,18661872.0,-225864.0,-578156.0,-0.04,-0.04,0.0,17430777.0,8382482.0,9400265.0,4188623.0,4785859.0,-1367530.0,-970371.0,654786.0,2700678.0,2453597.0,958819.0
