symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DUK,2012-03-31,False,Q1,2012,10-Q,3630000000.0,495000000.0,295000000.0,0.22,0.22,0.25,61799000000.0,5924000000.0,4283000000.0,1071000000.0,22878000000.0,872000000.0,-1180000000.0,-731000000.0,,3853000000.0,988000000.0
DUK,2012-06-30,False,Q2,2012,10-Q,3577000000.0,786000000.0,444000000.0,0.99,0.99,1.515,63031000000.0,6487000000.0,6139000000.0,1526000000.0,22516000000.0,2002000000.0,-2391000000.0,-195000000.0,8522000000.0,3842000000.0,2252000000.0
DUK,2012-09-30,False,Q3,2012,10-Q,6722000000.0,1078000000.0,594000000.0,0.84,0.85,0.0,112008000000.0,10106000000.0,8556000000.0,1761000000.0,40995000000.0,3979000000.0,-3989000000.0,-339000000.0,9166000000.0,16180000000.0,3845000000.0
DUK,2013-06-30,False,Q2,2013,10-Q,5879000000.0,821000000.0,339000000.0,0.48,0.48,1.545,114100000000.0,9875000000.0,10015000000.0,1571000000.0,40201000000.0,2843000000.0,-2562000000.0,-134000000.0,39582000000.0,16345000000.0,2715000000.0
DUK,2018-12-31,False,FY,2018,10-K,24521000000.0,4685000000.0,2666000000.0,3.76,3.76,3.635,145392000000.0,9714000000.0,15041000000.0,442000000.0,43834000000.0,7186000000.0,-10060000000.0,2960000000.0,57939000000.0,19303000000.0,9389000000.0
DUK,2013-03-31,False,Q1,2013,10-Q,5898000000.0,1215000000.0,634000000.0,0.89,0.89,0.765,113666000000.0,9549000000.0,9965000000.0,1296000000.0,41030000000.0,1091000000.0,-1465000000.0,246000000.0,39662000000.0,16371000000.0,1375000000.0
DUK,2013-09-30,False,Q3,2013,10-Q,6709000000.0,1743000000.0,1004000000.0,1.42,1.42,0.0,114590000000.0,10418000000.0,9239000000.0,2166000000.0,41237000000.0,4990000000.0,-3566000000.0,-682000000.0,39709000000.0,16345000000.0,3854000000.0
DUK,2014-03-31,False,Q1,2014,10-Q,6624000000.0,58000000.0,-97000000.0,-0.14,-0.14,0.78,113792000000.0,10565000000.0,7492000000.0,1531000000.0,40789000000.0,1373000000.0,-1286000000.0,-57000000.0,39885000000.0,16342000000.0,1232000000.0
DUK,2011-12-31,False,FY,2011,10-K,14529000000.0,2777000000.0,1702000000.0,1.28,1.28,0.99,62526000000.0,6880000000.0,5528000000.0,2110000000.0,22865000000.0,3672000000.0,-4434000000.0,1202000000.0,21000000000.0,3849000000.0,4363000000.0
DUK,2015-03-31,False,Q1,2015,10-Q,6065000000.0,1456000000.0,864000000.0,1.22,1.22,0.795,122142000000.0,12322000000.0,11903000000.0,2821000000.0,41087000000.0,1440000000.0,-1456000000.0,801000000.0,39973000000.0,16329000000.0,1411000000.0
DUK,2014-06-30,False,Q2,2014,10-Q,5949000000.0,1116000000.0,609000000.0,0.86,0.86,0.78,115173000000.0,11515000000.0,8708000000.0,2008000000.0,40881000000.0,2619000000.0,-2367000000.0,255000000.0,40593000000.0,16343000000.0,2400000000.0
