symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DVA,2011-09-30,False,Q3,2011,10-Q,1807869000.0,318712000.0,135344000.0,1.45,1.42,0.0,8706668000.0,2370167000.0,1205920000.0,541206000.0,2082392000.0,1029387000.0,-1133007000.0,-215291000.0,4499965000.0,4769965000.0,251879000.0
DVA,2010-12-31,False,FY,2010,10-K,6516044000.0,997027000.0,405615000.0,4.0,3.94,0.0,8114424000.0,2622854000.0,924345000.0,860117000.0,2037134000.0,839683000.0,-436633000.0,-82392000.0,4308742000.0,4091307000.0,273602000.0
DVA,2011-06-30,False,Q2,2011,10-Q,1711529000.0,247046000.0,100015000.0,1.05,1.03,0.0,8192721000.0,2513364000.0,1035611000.0,729825000.0,1946126000.0,534193000.0,-308556000.0,-355929000.0,4286049000.0,4227386000.0,154929000.0
DVA,2011-03-31,False,Q1,2011,10-Q,1605958000.0,235553000.0,94502000.0,0.98,0.96,0.0,8322941000.0,2726916000.0,1007373000.0,1006010000.0,2136901000.0,329783000.0,-145388000.0,-38502000.0,4292752000.0,4182076000.0,67530000.0
DVA,2010-06-30,False,Q2,2010,10-Q,1586907000.0,242365000.0,107853000.0,1.05,1.04,0.0,7577681000.0,2265150000.0,1118818000.0,574716000.0,2356808000.0,557766000.0,-169803000.0,-352706000.0,3384113000.0,4013711000.0,99351000.0
DVA,2010-09-30,False,Q3,2010,10-Q,1651649000.0,256591000.0,119387000.0,1.16,1.15,0.0,7627105000.0,2262005000.0,1111784000.0,534565000.0,2376476000.0,719132000.0,-285313000.0,-438713000.0,3362442000.0,4053123000.0,169376000.0
DVA,2012-06-30,False,Q2,2012,10-Q,1984156000.0,247882000.0,95337000.0,1.01,0.99,0.0,9254933000.0,2178751000.0,1235864000.0,273445000.0,2507947000.0,533979000.0,-587211000.0,-66967000.0,4498470000.0,5258056000.0,250508000.0
DVA,2011-12-31,False,FY,2011,10-K,7309901000.0,1130782000.0,478001000.0,5.05,4.96,0.0,8892172000.0,2281608000.0,1153116000.0,393752000.0,2268125000.0,1180046000.0,-1399228000.0,-247183000.0,4504969000.0,4946976000.0,400156000.0
DVA,2010-03-31,False,Q1,2010,10-Q,1559418000.0,242666000.0,109423000.0,1.05,1.04,0.0,7691718000.0,2461251000.0,1047475000.0,755909000.0,2318636000.0,261847000.0,-23563000.0,-21834000.0,,3942386000.0,42585000.0
DVA,2012-03-31,False,Q1,2012,10-Q,1919643000.0,320720000.0,140120000.0,1.49,1.46,0.0,9157084000.0,2374400000.0,1242115000.0,449290000.0,2401930000.0,331874000.0,-233690000.0,-42657000.0,4491511000.0,5064577000.0,112459000.0
