symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DWSN,2018-12-31,False,FY,2018,10-K,154156000.0,-25027000.0,-24407000.0,-1.07,-1.07,0.0,150685000.0,77025000.0,27288000.0,28729000.0,117016000.0,12871000.0,-8596000.0,2517000.0,5975000.0,,15745000.0
TGE,2013-06-30,False,Q2,2013,10-Q,31487231.0,-5620291.0,-4004029.0,-0.18,-0.18,0.0,119489185.0,44970756.0,23743929.0,24806819.0,78537700.0,23085199.0,239059.0,-7008528.0,,201530.0,458271.0
TGE,2012-06-30,False,Q2,2012,10-Q,30383957.0,-2860233.0,-1974121.0,-0.1,-0.1,0.0,139689075.0,55047436.0,42769987.0,24259157.0,74385533.0,34425053.0,-20834079.0,-5067080.0,,201530.0,22376129.0
TGE,2012-09-30,False,Q3,2012,10-Q,41834680.0,2096231.0,1111642.0,0.05,0.05,0.0,135564305.0,54351168.0,38183323.0,21481441.0,77544272.0,36565396.0,-21977458.0,-8958031.0,,201530.0,23673444.0
TGE,2011-12-31,False,FY,2011,10-K,151028582.0,18164890.0,10833215.0,0.56,0.55,0.0,99881227.0,41804996.0,21948467.0,15745559.0,63719680.0,34174167.0,-21270845.0,-10172831.0,,201530.0,22011503.0
TGE,2011-12-31,True,FY,2011,10-K,151028582.0,18164890.0,10833215.0,0.56,0.55,0.0,99881227.0,41804996.0,21948467.0,15745559.0,63719680.0,34174167.0,-21270845.0,-10172831.0,,201530.0,22011503.0
DWSN,2014-12-31,False,FY,2014,10-K,118847754.0,-13547046.0,-9528330.0,-1.3,-1.3,0.0,85122334.0,34900438.0,22418417.0,11363151.0,57061736.0,9255375.0,-963976.0,-13039683.0,12521762.0,201530.0,1379395.0
TGE,2014-06-30,False,Q2,2014,10-Q,18236767.0,-6433887.0,-4032003.0,-0.18,-0.18,0.0,114280063.0,59880108.0,37546053.0,30511752.0,69681728.0,21329177.0,-792955.0,-6273755.0,,201530.0,1086520.0
TGE,2014-09-30,False,Q3,2014,10-Q,26094909.0,-5973323.0,-4009477.0,-0.18,-0.18,0.0,95955749.0,41460550.0,24263783.0,25064116.0,63989670.0,19709387.0,-915989.0,-9681998.0,,201530.0,1258607.0
TGE,2012-12-31,False,FY,2012,10-K,196317215.0,26779411.0,15671879.0,0.76,0.75,0.0,142027838.0,52343724.0,40127631.0,8614244.0,77985561.0,39283062.0,-30265696.0,-16140906.0,25027877.0,201530.0,31970418.0
TGE,2013-09-30,False,Q3,2013,10-Q,21115045.0,-5826611.0,-3951687.0,-0.18,-0.18,0.0,109578173.0,39807967.0,20125632.0,21335800.0,75500124.0,23907216.0,-159943.0,-11121765.0,,201530.0,1250550.0
TGE,2014-03-31,False,Q1,2014,10-Q,48801423.0,7197478.0,4279703.0,0.19,0.19,0.0,114778615.0,56931505.0,33448633.0,15292842.0,71902392.0,3181839.0,-909117.0,-3023042.0,,201530.0,978660.0
TGE,2013-12-31,False,FY,2013,10-K,134534540.0,-7378074.0,-6316041.0,-0.29,-0.29,0.0,98301538.0,34903342.0,17195179.0,16130374.0,69130801.0,22969342.0,-667498.0,-14996672.0,14917991.0,201530.0,1848678.0
TGE,2013-03-31,False,Q1,2013,10-Q,63204413.0,10904862.0,6351472.0,0.29,0.29,0.0,139959297.0,57277853.0,35933808.0,9999433.0,83401137.0,5271194.0,-516353.0,-3301830.0,,201530.0,559335.0
