symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DX,2011-12-31,False,FY,2011,10-K,83377000.0,,39812000.0,1.03,1.03,1.09,2582193000.0,,,48776000.0,371349000.0,70641000.0,-915755000.0,875054000.0,70895000.0,,
DX,2011-06-30,False,Q2,2011,10-Q,21065000.0,,13594000.0,0.34,0.34,0.27,2656703000.0,,,33975000.0,386860000.0,33280000.0,-991772000.0,973631000.0,105983000.0,,
DX,2012-03-31,False,Q1,2012,10-Q,26272000.0,,16476000.0,0.33,0.33,0.28,3349056000.0,,,41724000.0,522897000.0,24323000.0,-697425000.0,666050000.0,32237000.0,,
DX,2011-09-30,False,Q3,2011,10-Q,21143000.0,,1532000.0,0.04,0.04,0.27,2633686000.0,,,10156000.0,369534000.0,53602000.0,-944982000.0,882700000.0,84013000.0,,
DX,2013-03-31,False,Q1,2013,10-Q,32982000.0,,18381000.0,0.34,0.34,0.29,4628113000.0,,,44129000.0,633298000.0,45405000.0,-186731000.0,129646000.0,,,
DX,2012-09-30,False,Q3,2012,10-Q,28574000.0,,18353000.0,0.34,0.34,0.29,4405030000.0,,,34723000.0,617931000.0,96334000.0,-1785497000.0,1675110000.0,,,
DX,2013-06-30,False,Q2,2013,10-Q,33890000.0,,29442000.0,0.54,0.54,0.29,4749271000.0,,,29343000.0,607237000.0,101989000.0,-656605000.0,528150000.0,,,
DX,2012-06-30,False,Q2,2012,10-Q,27125000.0,,18847000.0,0.35,0.35,0.29,3729197000.0,,,53763000.0,525073000.0,58785000.0,-1129758000.0,1075960000.0,,,
DX,2012-12-31,False,FY,2012,10-K,113548000.0,,72006000.0,1.35,1.35,1.15,4280229000.0,,,55809000.0,616710000.0,149388000.0,-1691192000.0,1548837000.0,,,
DX,2013-09-30,False,Q3,2013,10-Q,31666000.0,,-6921000.0,-0.13,-0.13,0.27,4319644000.0,,,39608000.0,581041000.0,158004000.0,-262036000.0,87831000.0,,,
DX,2014-03-31,False,Q1,2014,10-Q,27640000.0,,-3028000.0,-0.06,-0.06,0.25,4144282000.0,,,61168000.0,599015000.0,49903000.0,59981000.0,-118046000.0,,,
DX,2013-12-31,False,FY,2013,10-K,127132000.0,,60167000.0,1.1,1.1,1.12,4217137000.0,,,69330000.0,585876000.0,208760000.0,-165138000.0,-30101000.0,12914000.0,,
DX,2014-12-31,False,FY,2014,10-K,,,18630000.0,0.0,0.34,0.0,3688311000.0,,,43944000.0,607302000.0,214551000.0,424205000.0,-664142000.0,247115000.0,,
DX,2014-03-31,True,Q1,2014,10-Q,27640000.0,,-3028000.0,-0.06,-0.06,0.25,4144282000.0,,,61168000.0,599015000.0,49903000.0,59981000.0,-118046000.0,,,
DX,2014-09-30,False,Q3,2014,10-Q,,,28572000.0,0.0,0.52,0.25,3813511000.0,,,56639000.0,614047000.0,159650000.0,328790000.0,-501131000.0,131275000.0,,
DX,2015-09-30,False,Q3,2015,10-Q,,,-39271000.0,-0.74,-0.74,0.24,3928201000.0,,,12636000.0,527760000.0,162547000.0,-374461000.0,180606000.0,8581000.0,,
DX,2014-06-30,False,Q2,2014,10-Q,27718000.0,,-8293000.0,0.0,-0.15,0.25,4115918000.0,,,36837000.0,612914000.0,105534000.0,47429000.0,-185456000.0,,,
DX,2015-12-31,False,FY,2015,10-K,,,7368000.0,0.14,0.14,0.0,3670048000.0,,,33935000.0,492025000.0,216988000.0,-209370000.0,-17627000.0,8442000.0,,
DX,2016-09-30,False,Q3,2016,10-Q,,,12406000.0,0.25,0.25,0.21,3343556000.0,,,73406000.0,494919000.0,157636000.0,324892000.0,-443057000.0,7025000.0,,
DX,2016-03-31,False,Q1,2016,10-Q,,,-39725000.0,-0.81,-0.81,0.21,3584088000.0,,,82940000.0,483799000.0,53613000.0,170586000.0,-175194000.0,8140000.0,,
DX,2016-06-30,False,Q2,2016,10-Q,,,-5525000.0,-0.11,-0.11,0.21,3469073000.0,,,96897000.0,491526000.0,106230000.0,263507000.0,-306775000.0,7520000.0,,
DX,2015-06-30,False,Q2,2015,10-Q,,,28168000.0,0.52,0.52,0.24,4169042000.0,,,56463000.0,575253000.0,108386000.0,-537512000.0,441645000.0,8788000.0,,
DX,2017-09-30,False,Q3,2017,10-Q,,,7503000.0,0.15,0.15,0.18,3143278000.0,,,117702000.0,524099000.0,156089000.0,282862000.0,-376151000.0,343780000.0,,
DX,2017-03-31,False,Q1,2017,10-Q,,,6616000.0,0.13,0.13,0.18,3339874000.0,,,65943000.0,492522000.0,47108000.0,33697000.0,-88982000.0,6075000.0,,
DX,2016-12-31,False,FY,2016,10-K,,,33914000.0,0.69,0.69,0.0,3397731000.0,,,74120000.0,467184000.0,210514000.0,67968000.0,-238297000.0,6440000.0,,
DX,2017-12-31,False,FY,2017,10-K,,,23099000.0,0.46,0.46,0.0,3305778000.0,,,40867000.0,557058000.0,204448000.0,87433000.0,-303570000.0,304005000.0,,
DX,2017-06-30,False,Q2,2017,10-Q,,,-10073000.0,-0.2,-0.2,0.18,3060220000.0,,,100863000.0,497275000.0,103020000.0,309245000.0,-385522000.0,5892000.0,,
DX,2018-06-30,False,Q2,2018,10-Q,,,12710000.0,0.23,0.23,0.18,3082777000.0,,,165126000.0,542234000.0,92975000.0,109804000.0,-72021000.0,241829000.0,,
DX,2018-03-31,False,Q1,2018,10-Q,,,41367000.0,0.74,0.74,0.18,3205672000.0,,,28072000.0,543624000.0,41896000.0,-77910000.0,35198000.0,273218000.0,,
DX,2015-03-31,False,Q1,2015,10-Q,,,-11766000.0,-0.21,-0.21,0.24,4075511000.0,,,38504000.0,605461000.0,50958000.0,-187200000.0,130802000.0,253160000.0,,
DX,2018-09-30,False,Q3,2018,10-Q,,,22630000.0,0.39,0.39,0.18,3448179000.0,,,55251000.0,546753000.0,138560000.0,-216302000.0,104127000.0,228992000.0,,
