symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EARN,2018-12-31,False,FY,2018,10-K,,,-11295000.0,-0.88,-0.88,1.45,1675566000.0,,,18585000.0,153822000.0,28849000.0,62833000.0,-129214000.0,,,
EARN,2013-03-31,False,Q1,2013,10-Q,,,1129000.0,0.69,0.69,0.0,32940000.0,,,20098000.0,32093000.0,-353000.0,2418000.0,-128000.0,,,
EARN,2013-12-31,False,FY,2013,10-K,,,-1914000.0,-0.29,-0.29,1.14,1511090000.0,,,50112000.0,167180000.0,25510000.0,-1446559000.0,1453000000.0,,,
EARN,2013-09-30,False,Q3,2013,10-Q,,,6785000.0,0.74,0.74,0.0,1613718000.0,,,44331000.0,171832000.0,18612000.0,-1432611000.0,1440169000.0,,,
EARN,2015-03-31,False,Q1,2015,10-Q,,,3677000.0,0.4,0.4,0.55,1576702000.0,,,53340000.0,162040000.0,1220000.0,123885000.0,-117002000.0,,,
EARN,2014-09-30,False,Q3,2014,10-Q,,,3533000.0,0.39,0.39,0.55,1482192000.0,,,51063000.0,169543000.0,11042000.0,81786000.0,-91877000.0,,,
EARN,2014-03-31,False,Q1,2014,10-Q,,,2761000.0,0.3,0.3,0.55,1533098000.0,,,51106000.0,164955000.0,6445000.0,28028000.0,-33479000.0,,,
EARN,2014-06-30,False,Q2,2014,10-Q,,,11050000.0,1.21,1.21,0.55,1524309000.0,,,49908000.0,170993000.0,9858000.0,24321000.0,-34383000.0,,,
EARN,2015-09-30,False,Q3,2015,10-Q,,,-4817000.0,-0.53,-0.53,0.45,1515857000.0,,,40482000.0,148025000.0,9686000.0,98134000.0,-112575000.0,,,
EARN,2014-12-31,False,FY,2014,10-K,,,16168000.0,1.77,1.77,2.2,1521074000.0,,,45237000.0,163365000.0,21260000.0,-19030000.0,-7105000.0,,,
EARN,2016-09-30,False,Q3,2016,10-Q,,,6626000.0,0.73,0.73,0.4,1430883000.0,,,43026000.0,143274000.0,26475000.0,52199000.0,-75814000.0,,,
EARN,2015-06-30,False,Q2,2015,10-Q,,,190000.0,0.02,0.02,0.55,1518449000.0,,,43978000.0,157228000.0,13574000.0,53832000.0,-68665000.0,,,
EARN,2016-03-31,False,Q1,2016,10-Q,,,-239000.0,-0.03,-0.03,0.45,1385109000.0,,,41242000.0,140357000.0,10835000.0,83426000.0,-93185000.0,,,
EARN,2016-06-30,False,Q2,2016,10-Q,,,3507000.0,0.38,0.38,0.4,1473586000.0,,,36200000.0,140258000.0,21916000.0,-740000.0,-25142000.0,,,
EARN,2017-03-31,False,Q1,2017,10-Q,,,2052000.0,0.22,0.22,0.4,1467807000.0,,,37509000.0,140125000.0,30640000.0,-3295000.0,-23340000.0,,,
EARN,2016-12-31,False,FY,2016,10-K,,,11906000.0,1.31,1.31,1.65,1429134000.0,,,33504000.0,141677000.0,19928000.0,13863000.0,-40453000.0,,,
EARN,2015-12-31,False,FY,2015,10-K,,,30000.0,0.0,0.0,2.0,1556684000.0,,,40166000.0,144855000.0,24802000.0,90070000.0,-119943000.0,,,
EARN,2013-06-30,False,Q2,2013,10-Q,,,-9704000.0,-1.55,-1.55,0.0,1496967000.0,,,52345000.0,169573000.0,-14031000.0,-1316799000.0,1365014000.0,,,
EARN,2017-06-30,False,Q2,2017,10-Q,,,1603000.0,0.15,0.15,0.4,1972190000.0,,,41660000.0,181905000.0,30586000.0,-490712000.0,468282000.0,,,
EARN,2017-09-30,False,Q3,2017,10-Q,,,6340000.0,0.48,0.48,0.4,1934277000.0,,,50271000.0,196795000.0,35354000.0,-509454000.0,490867000.0,,,
EARN,2018-03-31,False,Q1,2018,10-Q,,,-3953000.0,-0.3,-0.3,0.37,1846534000.0,,,46025000.0,178312000.0,4845000.0,3627000.0,-18564000.0,,,
EARN,2018-09-30,False,Q3,2018,10-Q,,,946000.0,0.07,0.07,0.37,1752784000.0,,,41016000.0,170230000.0,22163000.0,87578000.0,-124842000.0,,,
EARN,2017-12-31,False,FY,2017,10-K,,,10788000.0,0.93,0.93,1.57,1887087000.0,,,56117000.0,192703000.0,60246000.0,-477887000.0,440254000.0,,,
EARN,2018-06-30,False,Q2,2018,10-Q,,,1786000.0,0.14,0.14,0.37,1748269000.0,,,41402000.0,174169000.0,24112000.0,37861000.0,-76688000.0,,,
