symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EBF,2018-11-30,False,Q3,2019,10-Q,108070000.0,14006000.0,10419000.0,0.4,0.4,0.225,362334000.0,162972000.0,30632000.0,80818000.0,287722000.0,36667000.0,-30855000.0,-21224000.0,20000000.0,81376000.0,3778000.0
EBF,2011-08-31,False,Q2,2012,10-Q,130384000.0,15772000.0,9712000.0,0.37,0.37,0.155,488092000.0,199452000.0,96556000.0,14307000.0,361961000.0,12744000.0,-3965000.0,-7860000.0,,117341000.0,4169000.0
EBF,2011-11-30,False,Q3,2012,10-Q,121846000.0,11097000.0,6892000.0,0.27,0.27,0.155,484531000.0,197579000.0,94047000.0,16761000.0,362291000.0,26964000.0,-11061000.0,-11895000.0,,117341000.0,5304000.0
EBF,2012-11-30,False,Q3,2013,10-Q,128996000.0,10017000.0,6170000.0,0.24,0.24,0.175,497507000.0,193561000.0,40085000.0,9234000.0,364450000.0,40635000.0,2030000.0,-43678000.0,60000000.0,121809000.0,1725000.0
EBF,2012-05-31,False,Q1,2013,10-Q,,,3879000.0,,,0.0,512881000.0,206150000.0,39538000.0,14967000.0,357402000.0,14766000.0,-126000.0,-9561000.0,,121175000.0,133000.0
EBF,2012-02-29,False,FY,2012,10-K,517014000.0,51688000.0,31358000.0,1.21,1.21,0.62,531962000.0,219210000.0,50241000.0,10410000.0,359875000.0,24573000.0,-50810000.0,23691000.0,,121634000.0,5087000.0
EBF,2012-08-31,False,Q2,2013,10-Q,138344000.0,12623000.0,7592000.0,0.29,0.29,0.175,505537000.0,199738000.0,41525000.0,13205000.0,362082000.0,29360000.0,2889000.0,-29111000.0,70000000.0,121731000.0,862000.0
EBF,2013-02-28,False,FY,2013,10-K,533506000.0,40393000.0,24715000.0,0.95,0.95,0.88,495292000.0,193416000.0,43039000.0,6232000.0,361216000.0,49957000.0,1195000.0,-55215000.0,57500000.0,121809000.0,2560000.0
EBF,2013-05-31,False,Q1,2014,10-Q,138466000.0,13597000.0,8506000.0,0.33,0.33,0.0,489417000.0,190279000.0,39984000.0,14396000.0,370276000.0,21551000.0,-662000.0,-12501000.0,,121809000.0,669000.0
EBF,2014-05-31,False,Q1,2015,10-Q,141186000.0,13594000.0,8032000.0,0.31,0.31,0.175,541891000.0,222410000.0,42591000.0,13266000.0,366924000.0,13312000.0,-303000.0,-5382000.0,,115219000.0,305000.0
EBF,2013-08-31,False,Q2,2014,10-Q,135288000.0,15824000.0,9801000.0,0.38,0.38,0.175,487279000.0,191282000.0,43457000.0,17681000.0,374837000.0,40104000.0,-1204000.0,-27043000.0,,121809000.0,2173000.0
EBF,2015-08-31,False,Q2,2016,10-Q,150761000.0,17190000.0,11046000.0,0.43,0.43,0.175,421309000.0,192935000.0,44579000.0,18851000.0,293267000.0,60675000.0,-2824000.0,-52512000.0,2800000.0,64537000.0,2520000.0
EBF,2015-05-31,False,Q1,2016,10-Q,150576000.0,14872000.0,9171000.0,0.36,0.36,0.175,436643000.0,203810000.0,40458000.0,19047000.0,289023000.0,30732000.0,-1203000.0,-25496000.0,,64537000.0,1219000.0
EBF,2014-08-31,False,Q2,2015,10-Q,151841000.0,16367000.0,10016000.0,0.39,0.39,0.175,546021000.0,223306000.0,43977000.0,13782000.0,371065000.0,32338000.0,-11414000.0,-12638000.0,,116164000.0,927000.0
EBF,2015-02-28,False,FY,2015,10-K,580240000.0,-37716000.0,-44533000.0,-1.72,-1.72,0.7,453262000.0,216542000.0,40247000.0,15346000.0,284680000.0,65269000.0,-29410000.0,-24277000.0,,64489000.0,2479000.0
EBF,2014-02-28,False,FY,2014,10-K,542442000.0,33164000.0,13189000.0,0.5,0.5,0.525,536347000.0,214143000.0,41877000.0,5316000.0,362935000.0,32755000.0,-65511000.0,32508000.0,,115207000.0,4646000.0
EBF,2013-11-30,False,Q3,2014,10-Q,136550000.0,15434000.0,9349000.0,0.36,0.36,0.175,557597000.0,207041000.0,47204000.0,8516000.0,380258000.0,38571000.0,-64912000.0,28912000.0,,145673000.0,4043000.0
EBF,2014-11-30,False,Q3,2015,10-Q,146971000.0,-80610000.0,-71179000.0,-2.76,-2.76,0.175,444717000.0,220236000.0,41546000.0,14668000.0,289558000.0,46398000.0,-12386000.0,-24187000.0,,60241000.0,1624000.0
EBF,2016-08-31,False,Q2,2016,10-Q,91246000.0,10985000.0,6784000.0,0.26,0.26,1.675,324279000.0,160567000.0,26640000.0,85225000.0,252120000.0,29078000.0,105253000.0,-57063000.0,20000000.0,64537000.0,927000.0
