symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EBIX,2012-06-30,False,Q2,2012,10-Q,47716000.0,17711000.0,18067000.0,0.49,0.47,0.0,489478000.0,68601000.0,57428000.0,25313000.0,340621000.0,34723000.0,-49097000.0,18397000.0,45000000.0,320238000.0,1079000.0
EBIX,2018-12-31,False,FY,2018,10-K,497826000.0,152979000.0,93139000.0,2.97,2.95,0.0,1610947000.0,427380000.0,317428000.0,147766000.0,544437000.0,89869000.0,-251590000.0,256132000.0,719762000.0,946685000.0,10366000.0
EBIX,2012-03-31,False,Q1,2012,10-Q,43827000.0,18329000.0,15685000.0,0.43,0.4,0.0,429464000.0,74785000.0,48387000.0,37140000.0,335252000.0,13762000.0,306000.0,-1495000.0,,264504000.0,673000.0
EBIX,2012-09-30,False,Q3,2012,10-Q,53804000.0,20708000.0,18072000.0,0.49,0.46,0.0,515833000.0,76426000.0,60661000.0,29491000.0,352825000.0,54002000.0,-58922000.0,13700000.0,42900000.0,337249000.0,1468000.0
EBIX,2013-09-30,False,Q3,2013,10-Q,50293000.0,18601000.0,13143000.0,0.35,0.34,0.0,533360000.0,84475000.0,59825000.0,36889000.0,400462000.0,37776000.0,-8500000.0,-27165000.0,34300000.0,337403000.0,887000.0
EBIX,2011-12-31,True,FY,2011,10-K,168969000.0,68748000.0,71378000.0,1.89,1.75,0.0,411182000.0,63817000.0,49779000.0,23696000.0,316115000.0,71286000.0,-13320000.0,-55537000.0,,259218000.0,2829000.0
EBIX,2013-06-30,False,Q2,2013,10-Q,51004000.0,19294000.0,13542000.0,0.36,0.35,0.0,538044000.0,81849000.0,69463000.0,35394000.0,384589000.0,24839000.0,-8144000.0,-15256000.0,36800000.0,333872000.0,652000.0
EBIX,2012-12-31,False,FY,2012,10-K,199370000.0,77008000.0,70569000.0,1.91,1.8,0.0,516946000.0,81669000.0,56690000.0,36449000.0,362155000.0,72295000.0,-63375000.0,6906000.0,81273000.0,326748000.0,1965000.0
EBIX,2013-03-31,False,Q1,2013,10-Q,52566000.0,19305000.0,17344000.0,0.47,0.45,0.0,529753000.0,89895000.0,57771000.0,43005000.0,376687000.0,14265000.0,-707000.0,-7022000.0,36800000.0,326223000.0,345000.0
EBIX,2011-12-31,True,FY,2011,10-K,168969000.0,68748000.0,71378000.0,1.89,1.75,0.0,411182000.0,63817000.0,49779000.0,23696000.0,316115000.0,71286000.0,-13320000.0,-55537000.0,,259218000.0,2829000.0
EBIX,2011-09-30,False,Q3,2011,10-Q,42602000.0,17954000.0,16536000.0,0.44,0.41,0.0,381007000.0,54383000.0,50492000.0,13941000.0,305320000.0,51933000.0,5726000.0,-66788000.0,,237863000.0,1863000.0
EBIX,2011-06-30,False,Q2,2011,10-Q,42267000.0,18605000.0,22348000.0,0.57,0.53,0.0,401294000.0,66715000.0,41494000.0,23627000.0,334317000.0,29870000.0,6149000.0,-36205000.0,,245749000.0,1335000.0
EBIX,2011-12-31,False,FY,2011,10-K,168969000.0,68748000.0,71378000.0,1.89,1.75,0.0,411182000.0,63817000.0,49779000.0,23696000.0,316115000.0,71286000.0,-13320000.0,-55537000.0,,259218000.0,2829000.0
EBIX,2014-03-31,False,Q1,2014,10-Q,51404000.0,19405000.0,15417000.0,0.4,0.4,0.0,552362000.0,105815000.0,58799000.0,57728000.0,425798000.0,10804000.0,-420000.0,-10038000.0,29500000.0,341744000.0,413000.0
EBIX,2015-09-30,False,Q3,2015,10-Q,66813000.0,21968000.0,20232000.0,0.59,0.59,29.34,648479000.0,93240000.0,49680000.0,33200000.0,400163000.0,25663000.0,-32128000.0,-10371000.0,186500000.0,408093000.0,12713000.0
EBIX,2015-06-30,False,Q2,2015,10-Q,64712000.0,20423000.0,19036000.0,0.54,0.54,29.36,644254000.0,87662000.0,52835000.0,27423000.0,426567000.0,10155000.0,-23496000.0,-10455000.0,150465000.0,412842000.0,10312000.0
EBIX,2015-03-31,False,Q1,2015,10-Q,63753000.0,20499000.0,18336000.0,0.51,0.51,24.35,613228000.0,82995000.0,47785000.0,27197000.0,418694000.0,-7342000.0,-6778000.0,-9992000.0,135465000.0,399408000.0,5778000.0
EBIX,2015-12-31,False,FY,2015,10-K,265482000.0,88714000.0,79533000.0,2.29,2.28,0.0,675989000.0,116830000.0,51266000.0,57179000.0,408971000.0,48686000.0,-37393000.0,-6307000.0,207065000.0,402259000.0,13994000.0
EBIX,2013-12-31,False,FY,2013,10-K,204710000.0,75006000.0,59274000.0,1.58,1.53,0.0,553864000.0,102349000.0,66675000.0,56674000.0,413225000.0,57062000.0,-8840000.0,-26449000.0,56669000.0,337068000.0,1230000.0
EBIX,2014-09-30,False,Q3,2014,10-Q,50808000.0,21738000.0,18015000.0,0.47,0.47,0.0,564472000.0,94285000.0,35566000.0,47350000.0,436370000.0,38390000.0,-24620000.0,-22911000.0,0.0,350255000.0,15922000.0
EBIX,2014-12-31,False,FY,2014,10-K,214321000.0,79672000.0,63558000.0,1.68,1.67,0.0,634311000.0,103861000.0,69786000.0,52300000.0,432221000.0,58510000.0,-77786000.0,15863000.0,122008000.0,402220000.0,16277000.0
EBIX,2014-06-30,False,Q2,2014,10-Q,51476000.0,17461000.0,13579000.0,0.35,0.35,0.0,551454000.0,81097000.0,68515000.0,32903000.0,438433000.0,28624000.0,-22522000.0,-30706000.0,27100000.0,352833000.0,13852000.0
EBIX,2016-09-30,False,Q3,2016,10-Q,74608000.0,24293000.0,24067000.0,0.74,0.74,0.0,761115000.0,185383000.0,71321000.0,99806000.0,440206000.0,53050000.0,-7228000.0,-2459000.0,121900000.0,428063000.0,4420000.0
EBIX,2017-06-30,False,Q2,2017,10-Q,87387000.0,26539000.0,23434000.0,0.74,0.74,0.0,923329000.0,194120000.0,86444000.0,68449000.0,478439000.0,31200000.0,-79857000.0,3027000.0,112500000.0,557502000.0,4956000.0
EBIX,2016-12-31,False,FY,2016,10-K,298294000.0,100281000.0,93847000.0,2.88,2.86,0.0,803755000.0,209869000.0,89712000.0,114118000.0,438636000.0,83748000.0,-20739000.0,-4078000.0,272779000.0,441404000.0,5977000.0
EBIX,2017-09-30,False,Q3,2017,10-Q,92800000.0,27911000.0,24184000.0,0.77,0.76,0.0,1025932000.0,240774000.0,148766000.0,96734000.0,501921000.0,50112000.0,-85171000.0,17435000.0,109400000.0,559163000.0,6370000.0
EBIX,2017-03-31,False,Q1,2017,10-Q,79103000.0,25690000.0,26427000.0,0.83,0.83,0.0,815190000.0,217024000.0,69063000.0,120195000.0,433315000.0,15701000.0,-4224000.0,-6186000.0,115600000.0,443304000.0,2705000.0
EBIX,2016-03-31,False,Q1,2016,10-Q,71066000.0,24763000.0,22159000.0,0.67,0.67,30.0,697400000.0,139254000.0,44236000.0,69020000.0,417199000.0,10534000.0,-1768000.0,2754000.0,226465000.0,403210000.0,1028000.0
EBIX,2016-06-30,False,Q2,2016,10-Q,72574000.0,23564000.0,22992000.0,0.7,0.7,44.56,707933000.0,145396000.0,58622000.0,78014000.0,412078000.0,30976000.0,-3878000.0,-5643000.0,125000000.0,406946000.0,2190000.0
EBIX,2018-06-30,False,Q2,2018,10-Q,124626000.0,38315000.0,29180000.0,0.93,0.92,0.0,1357577000.0,328229000.0,194077000.0,113410000.0,547902000.0,39893000.0,-177931000.0,193709000.0,246900000.0,825526000.0,1472000.0
EBIX,2018-03-31,False,Q1,2018,10-Q,108230000.0,33896000.0,26208000.0,0.83,0.83,0.0,1162444000.0,290867000.0,158675000.0,111898000.0,540927000.0,25493000.0,2487000.0,21755000.0,250000000.0,672159000.0,531000.0
EBIX,2017-12-31,False,FY,2017,10-K,363971000.0,113221000.0,100618000.0,3.19,3.17,0.0,1113013000.0,252932000.0,146932000.0,63895000.0,533759000.0,76807000.0,-207111000.0,78028000.0,400279000.0,666863000.0,7385000.0
EBIX,2018-09-30,False,Q3,2018,10-Q,128643000.0,39238000.0,29242000.0,0.93,0.92,0.0,1428895000.0,348692000.0,222912000.0,134987000.0,541590000.0,74165000.0,-230409000.0,234331000.0,243800000.0,870311000.0,5840000.0
