symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EDGE,2018-12-31,False,FY,2018,10-K,,-43096567.0,-40868006.0,-1.31,-1.31,0.0,36220960.0,35651138.0,6381752.0,34645549.0,29839208.0,-33153293.0,0.0,-20268805.0,,,0.0
EDGE,2017-06-30,False,Q2,2017,10-Q,,-13148688.0,-13504482.0,-0.44,-0.44,0.0,112985972.0,109351483.0,11590468.0,108714544.0,84268373.0,-20057383.0,-105662.0,22478670.0,,,105662.0
EDGE,2018-06-30,False,Q2,2018,10-Q,,-12505077.0,-12677632.0,-0.41,-0.41,0.0,47212349.0,46559016.0,13869512.0,45978737.0,33342837.0,-21820105.0,0.0,-20268805.0,,,0.0
EDGE,2016-09-30,False,Q3,2016,10-Q,,-10276792.0,-10759262.0,-0.37,-0.37,0.0,116579228.0,113144485.0,4253599.0,112784622.0,97508147.0,-26142397.0,-339410.0,9077008.0,15000000.0,,339410.0
EDGE,2015-09-30,False,Q3,2015,10-Q,,-8484860.0,-11957618.0,-7.08,-7.08,0.0,58483452.0,55597327.0,8450143.0,52879907.0,-50643768.0,-14969855.0,-799424.0,54920214.0,6000000.0,,799424.0
EDGE,2017-12-31,False,FY,2017,10-K,,-51966620.0,-50859803.0,-1.67,-1.67,0.0,92621077.0,89054327.0,12866759.0,88067647.0,62371411.0,-40696831.0,-188721.0,22554280.0,,,188721.0
EDGE,2017-09-30,False,Q3,2017,10-Q,,-10903454.0,-11281479.0,-0.37,-0.37,0.0,101239204.0,97633991.0,11701979.0,97307258.0,74653985.0,-31456757.0,-160751.0,22525847.0,,,160751.0
EDGE,2018-03-31,False,Q1,2018,10-Q,,-20096182.0,-20840103.0,-0.67,-0.67,0.0,76609301.0,75913674.0,32330165.0,74996609.0,44279136.0,-13702233.0,0.0,631195.0,,,0.0
EDGE,2018-09-30,False,Q3,2018,10-Q,,-4452427.0,-4265171.0,-0.14,-0.14,0.0,37673121.0,37062081.0,6688287.0,36814899.0,30984834.0,-30983943.0,0.0,-20268805.0,,,0.0
EDGE,2016-03-31,False,Q1,2016,10-Q,,-9032360.0,-9170410.0,-0.32,-0.32,0.0,123766068.0,120784219.0,6570690.0,119942415.0,114722964.0,-9073947.0,-77287.0,-1095772.0,4919000.0,,77287.0
EDGE,2016-06-30,False,Q2,2016,10-Q,,-9264195.0,-9376129.0,-0.33,-0.33,0.0,115419833.0,111815842.0,6763927.0,111022034.0,106756104.0,-17349155.0,-195317.0,-1622915.0,4359000.0,,195317.0
EDGE,2015-12-31,False,FY,2015,10-K,,-26498818.0,-32435054.0,-4.01,-4.01,0.0,134092658.0,131270505.0,8589708.0,130189421.0,122477527.0,-21752643.0,-1305086.0,139518178.0,5466000.0,,1305086.0
EDGE,2017-03-31,False,Q1,2017,10-Q,,-11791338.0,-12170220.0,-0.42,-0.42,0.0,99898111.0,96290186.0,6745759.0,95590661.0,78646747.0,-10773679.0,-89284.0,54705.0,,,89284.0
EDGE,2016-12-31,False,FY,2016,10-K,,-39512146.0,-38820998.0,-1.34,-1.34,0.0,110914447.0,107353500.0,6684747.0,106398919.0,89276557.0,-32188668.0,-686705.0,9084871.0,,,686705.0
