symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EFII,2013-03-31,False,Q1,2013,10-Q,171359000.0,9530000.0,8362000.0,0.18,0.17,0.0,1091599000.0,656550000.0,384785000.0,298251000.0,462800000.0,22618000.0,-4697000.0,-2636000.0,,216530000.0,2269000.0
EFII,2012-06-30,False,Q2,2012,10-Q,163901000.0,10379000.0,7005000.0,0.15,0.15,0.0,826228000.0,407311000.0,168204000.0,101825000.0,384408000.0,18380000.0,-35467000.0,-838000.0,,200514000.0,3801000.0
EFII,2012-03-31,False,Q1,2012,10-Q,160056000.0,7681000.0,6234000.0,0.14,0.13,0.0,818898000.0,414338000.0,175711000.0,113668000.0,377403000.0,9966000.0,-16314000.0,-748000.0,,188927000.0,
EFII,2018-12-31,False,FY,2018,10-K,5115000.0,19686000.0,-971000.0,-0.02,-0.02,0.0,1499034000.0,839939000.0,627808000.0,309052000.0,726108000.0,83505000.0,36161000.0,28796000.0,,390109000.0,
EFII,2011-12-31,False,FY,2011,10-K,591556000.0,27333000.0,27465000.0,0.59,0.58,0.0,739734000.0,376661000.0,131837000.0,120058000.0,371169000.0,72196000.0,-42124000.0,-35890000.0,,164323000.0,
EFII,2012-09-30,False,Q3,2012,10-Q,154074000.0,4006000.0,13411000.0,0.29,0.28,0.0,830915000.0,480489000.0,168291000.0,110870000.0,397819000.0,25610000.0,-28996000.0,-5848000.0,,202203000.0,5319000.0
EFII,2014-12-31,False,FY,2014,10-K,790427000.0,53439000.0,33714000.0,0.72,0.7,0.0,1304560000.0,878707000.0,193809000.0,298133000.0,788689000.0,82341000.0,-180657000.0,220825000.0,,245443000.0,
EFII,2013-12-31,False,FY,2013,10-K,727693000.0,174648000.0,109107000.0,2.34,2.26,0.0,1026384000.0,600564000.0,200870000.0,177084000.0,767450000.0,89339000.0,-161862000.0,-33390000.0,,233203000.0,21500000.0
EFII,2014-09-30,False,Q3,2014,10-Q,197674000.0,12922000.0,4805000.0,0.1,0.1,0.0,1308543000.0,883295000.0,200374000.0,445374000.0,783044000.0,46739000.0,-13921000.0,236624000.0,,249142000.0,
EFII,2014-06-30,False,Q2,2014,10-Q,192965000.0,12470000.0,6912000.0,0.15,0.14,0.0,993230000.0,588641000.0,197967000.0,163947000.0,758453000.0,33381000.0,-1286000.0,-45278000.0,,240671000.0,
EFII,2014-03-31,False,Q1,2014,10-Q,188688000.0,10787000.0,10082000.0,0.22,0.21,0.0,982181000.0,579862000.0,196226000.0,149690000.0,754917000.0,5886000.0,1345000.0,-34652000.0,,236708000.0,
EFII,2015-06-30,False,Q2,2015,10-Q,202721000.0,13368000.0,7717000.0,0.16,0.16,0.0,1316081000.0,899256000.0,193802000.0,238472000.0,797373000.0,31720000.0,-66140000.0,-24034000.0,,240711000.0,
EFII,2015-03-31,False,Q1,2015,10-Q,194554000.0,11076000.0,5237000.0,0.11,0.11,0.0,1311875000.0,897973000.0,198591000.0,195740000.0,789404000.0,7083000.0,-97165000.0,-10659000.0,,237083000.0,
EFII,2013-06-30,False,Q2,2013,10-Q,180298000.0,11855000.0,9424000.0,0.2,0.2,0.0,1108739000.0,633880000.0,378241000.0,290010000.0,669778000.0,41677000.0,-15125000.0,-18913000.0,,222398000.0,
EFII,2013-09-30,False,Q3,2013,10-Q,178823000.0,14112000.0,16141000.0,0.34,0.33,0.0,1153490000.0,657432000.0,400295000.0,200730000.0,692326000.0,57940000.0,-118700000.0,-21433000.0,,225552000.0,
EFII,2012-12-31,False,FY,2012,10-K,652137000.0,33886000.0,83269000.0,1.79,1.74,0.0,1073784000.0,633292000.0,369284000.0,283996000.0,454438000.0,53354000.0,133115000.0,-22741000.0,,218269000.0,6147000.0
EFII,2011-09-30,False,Q3,2011,10-Q,147284000.0,6158000.0,6124000.0,0.13,0.13,0.0,720042000.0,380673000.0,129582000.0,97524000.0,359693000.0,42845000.0,-36356000.0,-35305000.0,,156002000.0,7687000.0
EFII,2011-06-30,False,Q2,2011,10-Q,141162000.0,3368000.0,3615000.0,0.08,0.07,0.0,721401000.0,399262000.0,124748000.0,117093000.0,353569000.0,31918000.0,-27223000.0,-14062000.0,,143396000.0,4849000.0
EFII,2016-06-30,False,Q2,2016,10-Q,245650000.0,11709000.0,5235000.0,0.11,0.11,0.0,1477343000.0,811152000.0,259898000.0,143648000.0,819288000.0,31860000.0,-4997000.0,-49121000.0,,367587000.0,
EFII,2015-09-30,False,Q3,2015,10-Q,228694000.0,12780000.0,10257000.0,0.22,0.21,0.0,1460751000.0,861564000.0,244940000.0,198952000.0,823383000.0,40989000.0,-73870000.0,-64865000.0,,328617000.0,
EFII,2017-03-31,False,Q1,2017,10-Q,228691000.0,8143000.0,4787000.0,0.1,0.1,0.0,1519518000.0,822851000.0,283983000.0,151096000.0,832659000.0,14898000.0,-10808000.0,-18276000.0,,371674000.0,
EFII,2016-03-31,False,Q1,2016,10-Q,234133000.0,6696000.0,1854000.0,0.04,0.04,0.0,1465031000.0,835115000.0,240566000.0,190156000.0,829398000.0,8801000.0,38899000.0,-23954000.0,,344369000.0,
EFII,2015-12-31,False,FY,2015,10-K,882513000.0,56643000.0,33540000.0,0.71,0.7,0.0,1455902000.0,828478000.0,240327000.0,164091000.0,824194000.0,65102000.0,-110618000.0,-88427000.0,,338793000.0,
