symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EGP,2010-09-30,False,Q3,2010,10-Q,43138000.0,12793000.0,4023000.0,0.15,0.15,0.0,1185495000.0,,,154000.0,420305000.0,63815000.0,-51516000.0,-13207000.0,,,15438000.0
EGP,2011-09-30,False,Q3,2011,10-Q,43962000.0,14291000.0,5670000.0,0.21,0.21,0.0,1212193000.0,,,447000.0,387991000.0,68926000.0,-69222000.0,606000.0,,990000.0,14089000.0
EGP,2011-06-30,False,Q2,2011,10-Q,43265000.0,13977000.0,5492000.0,0.2,0.2,0.0,1179697000.0,,,100000.0,395266000.0,40286000.0,-24714000.0,-15609000.0,,990000.0,10645000.0
EGP,2011-03-31,False,Q1,2011,10-Q,43278000.0,13602000.0,4792000.0,0.18,0.18,0.52,1180875000.0,,,108000.0,402794000.0,14057000.0,-10825000.0,-3261000.0,,,6288000.0
EGP,2012-03-31,False,Q1,2012,10-Q,46798000.0,14633000.0,5403000.0,0.2,0.19,0.52,1292641000.0,,,205000.0,414520000.0,12420000.0,-21739000.0,9350000.0,,990000.0,3902000.0
EGP,2012-06-30,False,Q2,2012,10-Q,46472000.0,14995000.0,7973000.0,0.28,0.28,0.0,1296230000.0,,,118000.0,461163000.0,41561000.0,-37635000.0,-3982000.0,,990000.0,9398000.0
EGP,2010-12-31,True,FY,2010,10-K,173126000.0,53302000.0,18325000.0,0.68,0.68,2.08,1183276000.0,,,137000.0,411506000.0,76858000.0,-63501000.0,-14282000.0,,,23720000.0
EGP,2011-12-31,False,FY,2011,10-K,174631000.0,56826000.0,22359000.0,0.83,0.83,2.08,1286516000.0,,,174000.0,405609000.0,86547000.0,-150833000.0,64323000.0,,990000.0,19048000.0
EGP,2013-03-31,False,Q1,2013,10-Q,48275000.0,15705000.0,7154000.0,0.24,0.24,0.53,1363655000.0,,,24000.0,497439000.0,17241000.0,-23526000.0,5051000.0,,990000.0,4577000.0
EGP,2012-09-30,False,Q3,2012,10-Q,46997000.0,15421000.0,6771000.0,0.23,0.23,0.0,1299072000.0,,,1027000.0,457860000.0,73183000.0,-58409000.0,-13921000.0,,990000.0,13670000.0
EGP,2013-06-30,False,Q2,2013,10-Q,49179000.0,16252000.0,7643000.0,0.25,0.25,0.0,1452575000.0,,,10000.0,494765000.0,52794000.0,-122373000.0,68331000.0,,990000.0,9501000.0
EGP,2018-12-31,False,FY,2018,10-K,300392000.0,108556000.0,88506000.0,2.5,2.49,2.72,2131705000.0,,,374000.0,904703000.0,164731000.0,-241435000.0,77062000.0,,990000.0,37502000.0
EGP,2010-06-30,False,Q2,2010,10-Q,43588000.0,13293000.0,4477000.0,0.17,0.17,0.0,1188119000.0,,,141000.0,429562000.0,38213000.0,-42004000.0,2870000.0,,,9839000.0
EGP,2012-12-31,False,FY,2012,10-K,186178000.0,60813000.0,32384000.0,1.13,1.13,2.1,1354102000.0,,,1258000.0,491176000.0,91808000.0,-119908000.0,29184000.0,,990000.0,18135000.0
EGP,2013-09-30,False,Q3,2013,10-Q,51250000.0,17110000.0,8363000.0,0.28,0.28,0.0,1465647000.0,,,207000.0,503684000.0,88579000.0,-155969000.0,66339000.0,,990000.0,16053000.0
EGP,2014-06-30,False,Q2,2014,10-Q,53819000.0,17922000.0,9118000.0,0.29,0.29,0.0,1548608000.0,,,19000.0,540771000.0,53732000.0,-96699000.0,42978000.0,,990000.0,9912000.0
EGP,2015-06-30,False,Q2,2015,10-Q,57844000.0,20001000.0,14533000.0,0.45,0.45,0.0,1603483000.0,,,13000.0,566422000.0,59662000.0,-60493000.0,833000.0,,990000.0,11593000.0
EGP,2014-03-31,False,Q1,2014,10-Q,52812000.0,17184000.0,8372000.0,0.27,0.27,0.54,1480930000.0,,,1880000.0,528818000.0,17611000.0,-20891000.0,5152000.0,,990000.0,4258000.0
EGP,2015-09-30,False,Q3,2015,10-Q,58553000.0,20347000.0,11968000.0,0.37,0.37,0.0,1619908000.0,,,342000.0,561865000.0,103575000.0,-94452000.0,-8792000.0,,990000.0,17753000.0
EGP,2015-03-31,False,Q1,2015,10-Q,57592000.0,18499000.0,9930000.0,0.31,0.31,0.57,1581279000.0,,,173000.0,564807000.0,21421000.0,-26446000.0,5187000.0,,990000.0,2790000.0
EGP,2014-09-30,False,Q3,2014,10-Q,55957000.0,18906000.0,17729000.0,0.56,0.56,0.0,1562977000.0,,,323000.0,562454000.0,94915000.0,-126089000.0,31489000.0,,990000.0,12931000.0
EGP,2016-03-31,False,Q1,2016,10-Q,61589000.0,19295000.0,21711000.0,0.67,0.67,0.6,1659282000.0,,,12000.0,556283000.0,18653000.0,-6764000.0,-11925000.0,,990000.0,5804000.0
EGP,2016-06-30,False,Q2,2016,10-Q,61917000.0,21903000.0,43913000.0,1.36,1.35,0.0,1654848000.0,,,10000.0,607489000.0,64420000.0,13822000.0,-78280000.0,,990000.0,10759000.0
EGP,2017-03-31,False,Q1,2017,10-Q,66154000.0,21444000.0,12819000.0,0.38,0.38,0.62,1856430000.0,,,44000.0,674981000.0,23813000.0,-44367000.0,20076000.0,,990000.0,4270000.0
EGP,2013-12-31,False,FY,2013,10-K,202171000.0,66581000.0,32615000.0,1.08,1.08,2.14,1473412000.0,,,8000.0,518705000.0,109750000.0,-176111000.0,65111000.0,,990000.0,20807000.0
EGP,2016-09-30,False,Q3,2016,10-Q,63190000.0,22788000.0,14661000.0,0.45,0.45,0.0,1718443000.0,,,33000.0,605030000.0,106952000.0,-64057000.0,-42910000.0,,990000.0,17184000.0
EGP,2018-09-30,False,Q3,2018,10-Q,75326000.0,27578000.0,23010000.0,0.64,0.64,0.0,2089165000.0,,,257000.0,869931000.0,141995000.0,-178142000.0,36388000.0,,990000.0,26779000.0
EGP,2018-06-30,False,Q2,2018,10-Q,74885000.0,26884000.0,18227000.0,0.52,0.52,0.0,2021726000.0,,,252000.0,840701000.0,73734000.0,-83025000.0,9527000.0,,990000.0,16126000.0
EGP,2014-12-31,False,FY,2014,10-K,219829000.0,73782000.0,47941000.0,1.53,1.52,2.22,1575824000.0,,,11000.0,575615000.0,117401000.0,-159514000.0,42116000.0,,990000.0,20524000.0
EGP,2015-12-31,False,FY,2015,10-K,235008000.0,79061000.0,47866000.0,1.49,1.49,2.34,1666232000.0,,,48000.0,559201000.0,131385000.0,-156418000.0,25070000.0,,990000.0,24514000.0
EGP,2018-03-31,False,Q1,2018,10-Q,72203000.0,26379000.0,28713000.0,0.83,0.83,0.64,1962785000.0,,,37000.0,774676000.0,21714000.0,-11217000.0,-10476000.0,,990000.0,5158000.0
EGP,2017-06-30,False,Q2,2017,10-Q,67894000.0,23882000.0,36890000.0,1.09,1.08,0.0,1870715000.0,,,78000.0,720846000.0,67195000.0,-60360000.0,-7279000.0,,990000.0,10817000.0
EGP,2016-12-31,False,FY,2016,10-K,253047000.0,87372000.0,95509000.0,2.93,2.93,2.44,1825764000.0,,,522000.0,641866000.0,138864000.0,-186472000.0,48082000.0,,990000.0,23671000.0
EGP,2017-09-30,False,Q3,2017,10-Q,68746000.0,24421000.0,15884000.0,0.46,0.46,0.0,1893993000.0,,,10000.0,726174000.0,122706000.0,-104757000.0,-18461000.0,,990000.0,18378000.0
EGP,2017-12-31,False,FY,2017,10-K,274150000.0,95196000.0,83183000.0,2.45,2.44,2.52,1953221000.0,,,16000.0,751130000.0,155014000.0,-179426000.0,23906000.0,,990000.0,26158000.0
