symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EKSO,2018-12-31,False,FY,2018,10-K,11332000.0,-27030000.0,-26992000.0,-0.44,-0.44,0.0,17655000.0,14967000.0,10132000.0,7655000.0,2728000.0,-22165000.0,-131000.0,2273000.0,4981000.0,189000.0,131000.0
EKSO,2016-09-30,False,Q3,2016,10-Q,1596000.0,-6866000.0,-11494000.0,-0.6,-0.6,0.0,21621000.0,17574000.0,5506000.0,12800000.0,8228000.0,-20555000.0,-728000.0,14537000.0,,189000.0,728000.0
EKSO,2016-06-30,False,Q2,2016,10-Q,1552000.0,-7396000.0,-9970000.0,-0.61,-0.61,0.0,13575000.0,9367000.0,5792000.0,4661000.0,1561000.0,-14122000.0,-597000.0,-172000.0,,189000.0,597000.0
EKSO,2017-03-31,False,Q1,2017,10-Q,1436000.0,-8141000.0,-8302000.0,-0.38,-0.38,0.0,16895000.0,13262000.0,7021000.0,9426000.0,-1383000.0,-7254000.0,-138000.0,2000.0,6834000.0,189000.0,138000.0
EKSO,2017-09-30,False,Q3,2017,10-Q,1597000.0,-7066000.0,-6335000.0,-0.18,-0.18,0.0,43405000.0,40168000.0,6592000.0,33439000.0,29667000.0,-25582000.0,-353000.0,42459000.0,6924000.0,189000.0,353000.0
PNMD,2016-03-31,False,Q1,2016,10-Q,8486000.0,-6642000.0,-6775000.0,-0.44,-0.44,0.0,22551000.0,18221000.0,7849000.0,12314000.0,6753000.0,-6789000.0,-285000.0,-164000.0,,189000.0,285000.0
EKSO,2018-03-31,False,Q1,2018,10-Q,2518000.0,-8613000.0,-7901000.0,-0.13,-0.13,0.0,30959000.0,27937000.0,10028000.0,20572000.0,14839000.0,-6745000.0,-31000.0,-399000.0,6623000.0,189000.0,31000.0
EKSO,2016-12-31,False,FY,2016,10-K,14221000.0,-27586000.0,-33815000.0,-1.87,-2.05,0.0,24425000.0,20684000.0,6314000.0,16846000.0,6531000.0,-24997000.0,-1096000.0,23307000.0,6789000.0,189000.0,1096000.0
EKSO,2017-06-30,False,Q2,2017,10-Q,1867000.0,-8459000.0,-5507000.0,-0.22,-0.22,0.0,18932000.0,15301000.0,6587000.0,10701000.0,1628000.0,-16859000.0,-248000.0,10923000.0,6878000.0,189000.0,248000.0
PNMG,2012-09-30,False,Q2,2013,10-Q,0.0,,-1252.0,,,0.0,12727.0,,,12727.0,,-9897.0,,22781.0,,,
PNMG,2012-06-30,True,Q2,2013,10-Q,0.0,,-4895.0,0.0,0.0,0.0,5229.0,,,5229.0,-4552.0,-8645.0,,5431.0,,,
EKSO,2017-12-31,False,FY,2017,10-K,7353000.0,-31612000.0,-29122000.0,-0.82,-0.82,0.0,37988000.0,34937000.0,9165000.0,27813000.0,21391000.0,-31226000.0,-456000.0,42568000.0,6969000.0,189000.0,456000.0
EKSO,2018-06-30,False,Q2,2018,10-Q,2967000.0,-7185000.0,-7978000.0,-0.13,-0.13,0.0,23208000.0,20403000.0,9395000.0,13890000.0,7626000.0,-12804000.0,-31000.0,-994000.0,6079000.0,189000.0,31000.0
EKSO,2018-09-30,False,Q3,2018,10-Q,2550000.0,-6094000.0,-6983000.0,-0.11,-0.11,0.0,22423000.0,19853000.0,10185000.0,12995000.0,5587000.0,-17011000.0,-51000.0,2377000.0,5532000.0,189000.0,51000.0
PNMG,2012-12-31,False,Q3,2013,10-Q,0.0,,-1777.0,,,0.0,29950.0,,,29950.0,11419.0,-11674.0,,41781.0,,,
PNMD,2013-03-31,False,FY,2013,10-K,0.0,-12292.0,-12292.0,0.0,0.0,0.0,29175.0,,,29175.0,15051.0,-11992.0,,32724.0,,,
PNMG,2012-06-30,False,Q2,2013,10-Q,0.0,,-4895.0,0.0,0.0,0.0,5229.0,,,5229.0,-4552.0,-8645.0,,5431.0,,,
PNMD,2013-09-30,True,Q2,2014,10-Q,,-1493.0,-1493.0,-0.0,-0.0,0.0,438.0,438.0,10074.0,438.0,-9636.0,-28737.0,,41324.0,,,
PNMD,2013-06-30,False,Q1,2014,10-Q,0.0,-23194.0,-23194.0,0.0,0.0,0.0,1931.0,,,1931.0,-8143.0,-27244.0,,0.0,,,
PNMD,2013-09-30,True,Q2,2014,10-Q,,-1493.0,-1493.0,-0.0,-0.0,0.0,438.0,438.0,10074.0,438.0,-9636.0,-28737.0,,41324.0,,,
EKSO,2014-03-31,False,Q1,2014,10-Q,1061711.0,-3891884.0,-81765359.0,-1.22,-1.22,0.0,21801054.0,18855845.0,5613435.0,14576378.0,-74535986.0,-5562822.0,-144655.0,19478549.0,,,248390.0
PNMD,2013-09-30,False,Q2,2014,10-Q,,-1493.0,-1493.0,-0.0,-0.0,0.0,438.0,438.0,10074.0,438.0,-9636.0,-28737.0,,41324.0,,,
EKSO,2013-12-31,False,Q3,2014,10-Q,,-6075.0,-6075.0,-0.0,-0.0,0.0,78.0,78.0,15789.0,78.0,-15711.0,-30642.0,,42869.0,,,
EKSO,2014-06-30,False,Q2,2014,10-Q,1197053.0,-4310918.0,56126982.0,0.72,-0.05,0.0,18597714.0,15306161.0,6104842.0,10965161.0,-18108594.0,-8708862.0,-571129.0,19439846.0,,,674864.0
