symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EL,2018-12-31,False,Q2,2019,10-Q,4005000000.0,771000000.0,573000000.0,1.58,1.55,0.43,12676000000.0,6440000000.0,3776000000.0,1876000000.0,4333000000.0,1273000000.0,-35000000.0,-1536000000.0,,1911000000.0,292000000.0
EL,2013-09-30,False,Q1,2014,10-Q,2675000000.0,449500000.0,300700000.0,0.78,0.76,0.18,7520500000.0,4632400000.0,1987600000.0,1322200000.0,3612500000.0,29900000.0,-94900000.0,-114900000.0,,885400000.0,85700000.0
EL,2011-12-31,False,Q2,2012,10-Q,2737500000.0,597000000.0,396700000.0,1.03,1.0,0.525,6342200000.0,3753300000.0,2022100000.0,999100000.0,2643700000.0,610200000.0,-189200000.0,-657700000.0,,879000000.0,181500000.0
EL,2011-03-31,False,Q3,2011,10-Q,2165700000.0,209100000.0,124700000.0,0.63,0.62,0.0,6196500000.0,3710500000.0,1974500000.0,1099000000.0,2528800000.0,727600000.0,-479800000.0,-288800000.0,1277900000.0,874400000.0,223900000.0
EL,2010-09-30,False,Q1,2011,10-Q,2091700000.0,298000000.0,191100000.0,0.97,0.95,0.0,5637500000.0,3198400000.0,1686900000.0,693500000.0,2138000000.0,-39100000.0,-316200000.0,-83400000.0,1356600000.0,896700000.0,57700000.0
EL,2012-12-31,False,Q2,2013,10-Q,2933000000.0,653100000.0,447500000.0,1.16,1.13,0.72,7170100000.0,4341000000.0,2052200000.0,1323600000.0,3123100000.0,655100000.0,-216200000.0,-472500000.0,,889100000.0,205400000.0
EL,2011-09-30,False,Q1,2012,10-Q,2476700000.0,430000000.0,278600000.0,1.43,1.4,0.0,6135400000.0,3562100000.0,1969600000.0,719500000.0,2492000000.0,-36200000.0,-88500000.0,-390900000.0,,876700000.0,80800000.0
EL,2012-03-31,False,Q3,2012,10-Q,2248200000.0,211500000.0,130400000.0,0.34,0.33,0.0,6601500000.0,3899900000.0,2058200000.0,1192800000.0,2855500000.0,869700000.0,-279500000.0,-640700000.0,,881900000.0,271900000.0
EL,2012-06-30,False,FY,2012,10-K,9713600000.0,1311700000.0,856900000.0,2.2,2.16,0.525,6593000000.0,3855100000.0,2125800000.0,1347700000.0,2747500000.0,1126700000.0,-428300000.0,-585100000.0,,882600000.0,420700000.0
EL,2013-03-31,False,Q3,2013,10-Q,2291800000.0,245100000.0,178800000.0,0.46,0.45,0.18,7095100000.0,4286200000.0,1915900000.0,1438600000.0,3206800000.0,934200000.0,-310800000.0,-536500000.0,,890300000.0,305500000.0
