symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EMAN,2012-06-30,False,Q2,2012,10-Q,8587000.0,911000.0,437000.0,0.02,0.02,0.0,38703000.0,22486000.0,3393000.0,4041000.0,35310000.0,387000.0,-3591000.0,-326000.0,,,1042000.0
EMAN,2018-09-30,False,Q3,2018,10-Q,6867000.0,-1250000.0,54000.0,0.0,0.0,0.0,29404000.0,20523000.0,9074000.0,6190000.0,20330000.0,-4375000.0,-1469000.0,8508000.0,0.0,,1469000.0
EMAN,2011-12-31,False,FY,2011,10-K,29181000.0,3275000.0,3716000.0,0.17,0.07,0.0,37932000.0,22660000.0,3821000.0,7571000.0,34111000.0,3545000.0,-5006000.0,1236000.0,,,2861000.0
EMAN,2012-03-31,False,Q1,2012,10-Q,6137000.0,-722000.0,-452000.0,-0.02,-0.02,0.0,37589000.0,21776000.0,3152000.0,5832000.0,34437000.0,330000.0,-2098000.0,29000.0,,,598000.0
EMAN,2011-09-30,False,Q3,2011,10-Q,8263000.0,1602000.0,4119000.0,0.13,0.03,0.0,36318000.0,21612000.0,4700000.0,6498000.0,31618000.0,1609000.0,-3995000.0,1088000.0,,,1350000.0
EMAN,2012-09-30,False,Q3,2012,10-Q,7510000.0,558000.0,257000.0,0.01,0.01,0.0,40511000.0,24556000.0,4089000.0,7567000.0,36422000.0,3482000.0,-3373000.0,-113000.0,,,1090000.0
EMAN,2014-03-31,False,Q1,2014,10-Q,6278000.0,-1614000.0,-1618000.0,-0.07,-0.07,0.0,27802000.0,18079000.0,4866000.0,2063000.0,22936000.0,-2445000.0,411000.0,65000.0,,,346000.0
EMAN,2013-09-30,False,Q3,2013,10-Q,6329000.0,-1055000.0,-4559000.0,-0.19,-0.19,0.0,36239000.0,22382000.0,4025000.0,4811000.0,32214000.0,114000.0,8000.0,304000.0,,,757000.0
EMAN,2013-06-30,False,Q2,2013,10-Q,7028000.0,-1140000.0,-1008000.0,-0.04,-0.04,0.0,39748000.0,22523000.0,3590000.0,4605000.0,36158000.0,250000.0,-287000.0,257000.0,,,552000.0
EMAN,2013-03-31,False,Q1,2013,10-Q,8503000.0,322000.0,155000.0,0.01,0.01,0.0,41019000.0,23969000.0,4544000.0,5632000.0,36475000.0,1123000.0,100000.0,24000.0,,,150000.0
EMAN,2013-12-31,False,FY,2013,10-K,27990000.0,-5202000.0,-14067000.0,-0.6,-0.6,0.0,28676000.0,18780000.0,4677000.0,4032000.0,23999000.0,-798000.0,88000.0,357000.0,,,1927000.0
EMAN,2012-12-31,False,FY,2012,10-K,30560000.0,1623000.0,1497000.0,0.06,0.06,0.1,39539000.0,21935000.0,3912000.0,4385000.0,35627000.0,4827000.0,-4795000.0,-3218000.0,,,2483000.0
EMAN,2011-06-30,False,Q2,2011,10-Q,7449000.0,624000.0,2971000.0,0.1,0.01,0.0,33974000.0,20236000.0,10520000.0,6878000.0,18790000.0,470000.0,-1984000.0,596000.0,,,834000.0
EMAN,2014-06-30,False,Q2,2014,10-Q,7018000.0,-1044000.0,-1047000.0,-0.04,-0.04,0.0,27340000.0,18098000.0,4256000.0,2095000.0,23084000.0,-5979000.0,2940000.0,1102000.0,0.0,,567000.0
