symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EML,2018-09-29,False,Q3,2018,10-Q,57357442.0,4740408.0,3766661.0,0.6,0.6,0.11,177906469.0,96709488.0,29708197.0,11171703.0,95160209.0,7095540.0,-9330762.0,-8545518.0,14500000.0,34891579.0,2850365.0
EML,2011-10-01,False,Q3,2011,10-Q,36089946.0,2127106.0,1459941.0,0.24,0.24,0.09,106693747.0,65214029.0,15010849.0,9333687.0,73012542.0,1650018.0,-2932833.0,-1654956.0,,13878251.0,2934833.0
EML,2011-07-02,False,Q2,2011,10-Q,35520182.0,2298916.0,1482799.0,0.24,0.24,0.09,102945494.0,61195961.0,11415238.0,8449223.0,72400176.0,-410814.0,-1843634.0,-1538095.0,,13975143.0,1843634.0
EML,2012-06-30,False,Q2,2012,10-Q,41559589.0,4144234.0,2632346.0,0.42,0.42,0.1,110989994.0,69249618.0,13843809.0,14484499.0,73079193.0,5394598.0,-2352770.0,282589.0,,13902604.0,2371770.0
EML,2012-09-29,False,Q3,2012,10-Q,39644050.0,3334522.0,2223975.0,0.36,0.36,0.1,113771168.0,71062997.0,14937091.0,17823345.0,75448028.0,10769769.0,-3530674.0,-696456.0,,13948576.0,3549674.0
EML,2011-12-31,False,FY,2011,10-K,142856049.0,8712180.0,5504930.0,0.89,0.89,0.36,106699974.0,65416730.0,16186152.0,11147297.0,69158328.0,1446456.0,-3390726.0,819388.0,,13905209.0,3394726.0
EML,2012-03-31,False,Q1,2012,10-Q,40495894.0,3169414.0,2045608.0,0.33,0.33,0.1,110806295.0,68803986.0,14189832.0,12958901.0,71231758.0,2053606.0,-1537971.0,1200042.0,,13928130.0,1537971.0
EML,2013-03-30,False,Q1,2013,10-Q,34692174.0,1585284.0,1005248.0,0.16,0.16,0.1,113834946.0,69670436.0,12377991.0,16891943.0,72137944.0,706034.0,-1256623.0,-979118.0,,13906902.0,1256623.0
EML,2013-06-29,False,Q2,2013,10-Q,39247980.0,3307657.0,2174294.0,0.35,0.35,0.1,116180123.0,71806269.0,13377433.0,18166988.0,73543619.0,4526417.0,-2714190.0,-1944782.0,,13867312.0,2714190.0
EML,2014-09-27,False,Q3,2014,10-Q,35803405.0,3748873.0,2431817.0,0.39,0.39,0.15,116972609.0,74440952.0,13967339.0,21198789.0,84908577.0,7013599.0,-2273872.0,-3373819.0,,13791518.0,2292872.0
