symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EMMS,2016-08-31,False,Q2,2017,10-Q,58774000.0,4935000.0,335000.0,0.03,0.03,0.0,316789000.0,56802000.0,46711000.0,5694000.0,-12035000.0,6089000.0,-367000.0,-4484000.0,229678000.0,12639000.0,711000.0
EMMS,2016-11-30,False,Q3,2017,10-Q,56299000.0,23835000.0,17676000.0,1.46,1.43,0.0,302067000.0,52077000.0,37519000.0,2057000.0,4658000.0,9702000.0,22377000.0,-34478000.0,207428000.0,4603000.0,1403000.0
EMMS,2016-05-31,False,Q1,2017,10-Q,56002000.0,8637000.0,2686000.0,0.06,0.06,0.0,318649000.0,54431000.0,47392000.0,4284000.0,-11350000.0,2069000.0,-379000.0,-1862000.0,230891000.0,14697000.0,402000.0
EMMS,2014-11-30,False,Q3,2015,10-Q,62960000.0,13106000.0,2823000.0,0.07,0.06,0.0,496212000.0,141911000.0,117210000.0,4223000.0,94738000.0,10602000.0,-136387000.0,124704000.0,257442000.0,74337000.0,2565000.0
EMMS,2015-11-30,False,Q3,2016,10-Q,59614000.0,11618000.0,5548000.0,0.12,0.12,0.0,335655000.0,58484000.0,43517000.0,4316000.0,-123000.0,16700000.0,-1820000.0,-14233000.0,240117000.0,15392000.0,1943000.0
EMMS,2015-08-31,False,Q2,2016,10-Q,62482000.0,9858000.0,4394000.0,0.1,0.09,0.0,337303000.0,59908000.0,45694000.0,6751000.0,-5164000.0,12079000.0,-1174000.0,-7823000.0,245312000.0,15392000.0,1281000.0
EMMS,2015-05-31,False,Q1,2016,10-Q,58453000.0,7641000.0,1525000.0,0.04,0.03,0.0,335014000.0,57130000.0,43200000.0,3270000.0,-10453000.0,1689000.0,-398000.0,-1690000.0,251482000.0,15392000.0,421000.0
EMMS,2015-02-28,False,FY,2015,10-K,237938000.0,-34063000.0,-99259000.0,-2.33,-2.33,0.0,334732000.0,55891000.0,42766000.0,3669000.0,-12149000.0,18456000.0,-140218000.0,120127000.0,254150000.0,15392000.0,3514000.0
EMMS,2016-02-29,False,FY,2016,10-K,231433000.0,19664000.0,1952000.0,0.04,0.04,0.0,316606000.0,51691000.0,51285000.0,4456000.0,-14149000.0,25114000.0,-3281000.0,-21046000.0,228027000.0,14697000.0,3388000.0
EMMS,2017-02-28,False,FY,2017,10-K,214568000.0,31908000.0,13119000.0,1.09,1.07,0.0,289338000.0,46457000.0,54603000.0,11349000.0,-4016000.0,19052000.0,28499000.0,-40658000.0,190372000.0,4603000.0,2850000.0
EMMS,2018-05-31,False,Q1,2019,10-Q,28006000.0,35235000.0,23485000.0,1.88,1.75,0.0,246175000.0,35952000.0,57755000.0,10456000.0,101291000.0,-811000.0,59980000.0,-53708000.0,53385000.0,4338000.0,20000.0
EMMS,2017-05-31,False,Q1,2018,10-Q,40164000.0,5213000.0,-267000.0,-0.02,-0.02,0.0,282720000.0,43728000.0,42647000.0,2190000.0,-3829000.0,-10258000.0,-397000.0,1496000.0,195745000.0,4603000.0,397000.0
