symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ESL,2010-07-30,False,Q3,2010,10-Q,383486000.0,49450000.0,39858000.0,1.33,1.3,0.0,2402293000.0,902790000.0,302584000.0,282910000.0,1333211000.0,134207000.0,-37007000.0,12656000.0,,733537000.0,36667000.0
ESL,2011-04-29,False,Q2,2011,10-Q,435277000.0,67287000.0,45914000.0,1.51,1.47,0.0,2814920000.0,1107952000.0,443097000.0,391514000.0,1585625000.0,89445000.0,-142520000.0,6609000.0,,835167000.0,26315000.0
ESL,2018-12-28,False,Q1,2019,10-Q,1604378000.0,,33798000.0,1.14,1.13,0.0,3017381000.0,1322135000.0,378046000.0,391182000.0,1857506000.0,20701000.0,-6868000.0,14563000.0,180000000.0,1013461000.0,11136000.0
ESL,2011-01-28,False,Q1,2011,10-Q,370799000.0,46411000.0,29991000.0,0.99,0.97,0.0,2661848000.0,1020561000.0,330218000.0,351481000.0,1454493000.0,49645000.0,-131786000.0,11417000.0,,806338000.0,14633000.0
ESL,2010-10-29,False,FY,2010,10-K,1526601000.0,188176000.0,141920000.0,4.73,4.66,0.0,2587738000.0,1076585000.0,324377000.0,422120000.0,1415499000.0,179801000.0,-20719000.0,84260000.0,,739730000.0,45540000.0
ESL,2011-07-29,False,Q3,2011,10-Q,409512000.0,50412000.0,37695000.0,1.23,1.21,0.0,3499270000.0,1114016000.0,461633000.0,207838000.0,1600580000.0,158459000.0,-860228000.0,481229000.0,,1190506000.0,35227000.0
ESL,2013-01-25,False,Q1,2013,10-Q,457962000.0,38658000.0,25111000.0,0.81,0.8,0.0,3235404000.0,1047990000.0,383310000.0,202776000.0,1665262000.0,86546000.0,-12203000.0,-32385000.0,,1105656000.0,12253000.0
ESL,2013-04-26,False,Q2,2013,10-Q,499562000.0,57440000.0,35522000.0,1.14,1.12,0.0,3187586000.0,1023843000.0,379002000.0,169177000.0,1681507000.0,122684000.0,-65079000.0,-46852000.0,,1107514000.0,25085000.0
ESL,2012-07-27,False,Q3,2012,10-Q,485949000.0,2123000.0,-17104000.0,-0.55,-0.55,0.0,3202026000.0,1045427000.0,408689000.0,213073000.0,1540932000.0,151247000.0,-38317000.0,-79249000.0,,1076874000.0,39456000.0
ESL,2012-04-27,False,Q2,2012,10-Q,504831000.0,67919000.0,45191000.0,1.47,1.44,0.0,3327558000.0,1056884000.0,403617000.0,191095000.0,1617540000.0,85303000.0,-25623000.0,-50430000.0,,1141347000.0,25777000.0
