symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ESP,2018-12-31,False,Q2,2019,10-Q,7303109.0,220548.0,217758.0,0.09,0.09,0.25,34788669.0,30931285.0,4189995.0,3311856.0,30490360.0,-3015611.0,5379283.0,-3350612.0,,,354933.0
ESP,2011-09-30,False,Q1,2012,10-Q,7993927.0,1258941.0,926904.0,0.43,0.42,0.225,32371349.0,29638107.0,2873996.0,10336395.0,29244590.0,1634773.0,-632232.0,-361957.0,,,40370.0
ESP,2012-03-31,False,Q3,2012,10-Q,7661946.0,1740765.0,1262863.0,0.58,0.58,0.225,31540393.0,28871842.0,2936291.0,9870589.0,28387271.0,5523963.0,-1740495.0,-3608690.0,,,230259.0
ESP,2011-12-31,False,Q2,2012,10-Q,8265754.0,1491035.0,1070863.0,0.49,0.49,1.225,30545708.0,27827932.0,2700577.0,8736132.0,27610334.0,3517540.0,-1382180.0,-3095039.0,,,162438.0
ESP,2012-06-30,False,FY,2012,10-K,32037357.0,5991754.0,4390268.0,2.02,1.99,0.0,32785603.0,30195036.0,2995651.0,11523424.0,29567448.0,7386326.0,-1463276.0,-4095437.0,,,267983.0
ESP,2012-09-30,False,Q1,2013,10-Q,7891877.0,1759604.0,1280718.0,0.59,0.57,0.225,33582487.0,31039986.0,2890206.0,10978191.0,30483772.0,36325.0,-183916.0,-397642.0,,,72187.0
ESP,2012-12-31,False,Q2,2013,10-Q,8052447.0,1457400.0,1071776.0,0.49,0.48,1.25,31914046.0,29395232.0,2539292.0,8165231.0,29179628.0,100726.0,-656529.0,-2802390.0,,,163784.0
ESP,2013-03-31,False,Q3,2013,10-Q,6799970.0,1244282.0,915231.0,0.41,0.41,0.25,32710690.0,30266544.0,3058878.0,9215070.0,29470837.0,1811850.0,-666391.0,-3453813.0,,,203500.0
ESP,2013-06-30,False,FY,2013,10-K,34298210.0,7782429.0,5562425.0,2.52,2.48,1.975,35540947.0,33094421.0,3502968.0,9888628.0,31842594.0,3285630.0,-990225.0,-3930201.0,,,322507.0
ESP,2014-03-31,False,Q3,2014,10-Q,6549623.0,916796.0,706030.0,0.31,0.31,0.25,33263622.0,30515895.0,2862961.0,8260526.0,30150987.0,3417603.0,-1411207.0,-3634498.0,,,659762.0
ESP,2013-12-31,True,Q2,2014,10-Q,6569641.0,109454.0,111152.0,0.05,0.05,1.25,32381763.0,29550088.0,2211531.0,8217319.0,29938513.0,2837149.0,-1392425.0,-3116033.0,,,624785.0
ESP,2014-09-30,False,Q1,2015,10-Q,5693472.0,1211877.0,911221.0,0.4,0.4,0.25,32752232.0,30170783.0,2696218.0,9872162.0,29800262.0,688594.0,397290.0,-770613.0,,,18588.0
ESP,2015-03-31,False,Q3,2015,10-Q,6470286.0,671634.0,506369.0,0.22,0.22,0.25,33744190.0,31239103.0,3096617.0,9437876.0,30447577.0,1257401.0,500003.0,-1876419.0,,,162822.0
ESP,2014-06-30,False,FY,2014,10-K,27136919.0,1317196.0,1167885.0,0.52,0.51,2.0,32398446.0,29719545.0,2468062.0,9556891.0,29646945.0,5387543.0,-1705547.0,-4013733.0,,,709972.0
ESP,2013-09-30,False,Q1,2014,10-Q,6920955.0,1427161.0,1048907.0,0.47,0.46,0.25,35845188.0,33187413.0,3084589.0,11607437.0,32547022.0,2406578.0,-316654.0,-371115.0,,,328311.0
ESP,2015-09-30,False,Q1,2016,10-Q,6279436.0,1218670.0,878530.0,0.38,0.38,0.25,34937959.0,32543552.0,3436147.0,10427547.0,31299478.0,2951142.0,-841029.0,-541971.0,,,5751.0
ESP,2014-12-31,False,Q2,2015,10-Q,5697083.0,1625558.0,1219082.0,0.54,0.54,0.25,32604170.0,30099205.0,1991613.0,10237837.0,30384907.0,1636421.0,461511.0,-1416986.0,,,54050.0
ESP,2016-09-30,False,Q1,2017,10-Q,6068684.0,571081.0,420825.0,0.18,0.18,0.25,34634191.0,32238067.0,2175524.0,8570213.0,32255956.0,2404759.0,-3290436.0,-575754.0,,,155730.0
ESP,2016-06-30,False,FY,2016,10-K,27471365.0,4343233.0,3175801.0,1.39,1.38,1.0,34452917.0,32104392.0,1861442.0,10031644.0,32388238.0,5759602.0,-1699359.0,-2888004.0,,,284210.0
ESP,2016-12-31,False,Q2,2017,10-Q,5667624.0,329764.0,244079.0,0.11,0.11,0.25,33895324.0,31540215.0,1640744.0,8857278.0,32052332.0,3489362.0,-3611126.0,-1052602.0,,,223211.0
ESP,2016-03-31,False,Q3,2016,10-Q,7217922.0,1366975.0,972468.0,0.43,0.43,0.25,34156170.0,31841859.0,2319399.0,9547801.0,31679327.0,4447788.0,-1371982.0,-2387410.0,,,140340.0
ESP,2015-06-30,False,FY,2015,10-K,26831705.0,4429766.0,3183127.0,1.4,1.39,1.0,34344244.0,31845381.0,3188619.0,8859405.0,30930874.0,671742.0,481270.0,-1850498.0,,,266029.0
ESP,2015-12-31,False,Q2,2016,10-Q,7242020.0,833085.0,614427.0,0.27,0.27,0.25,33456622.0,31093586.0,2193576.0,9547218.0,31084573.0,3818117.0,-1147250.0,-1983054.0,,,82341.0
ESP,2017-09-30,False,Q1,2018,10-Q,7496423.0,582334.0,442764.0,0.19,0.19,0.25,35289615.0,33001500.0,3509746.0,7389349.0,31779869.0,-198211.0,-1889023.0,-581580.0,,,28758.0
ESP,2017-12-31,False,Q2,2018,10-Q,11531105.0,2093228.0,1614871.0,0.69,0.69,0.25,35706542.0,33377484.0,2973819.0,7202247.0,32732723.0,596844.0,-2180684.0,-1272076.0,,,185190.0
ESP,2017-06-30,False,FY,2017,10-K,22521012.0,1526456.0,1135736.0,0.49,0.49,1.0,35493695.0,33228599.0,3375581.0,10058163.0,31897543.0,6420723.0,-4202411.0,-2191793.0,,,352132.0
ESP,2017-03-31,False,Q3,2017,10-Q,5324104.0,343916.0,279173.0,0.12,0.12,0.25,33945802.0,31589300.0,1934118.0,9386048.0,31809725.0,4933145.0,-3964362.0,-1614379.0,,,331686.0
ESP,2018-09-30,False,Q1,2018,10-Q,8337399.0,-16610.0,61671.0,0.03,0.03,1.25,38156348.0,33908588.0,7306765.0,6337621.0,30786521.0,-1625670.0,3464372.0,200123.0,,,611995.0
ESP,2018-06-30,False,FY,2018,10-K,32517883.0,3853857.0,3075797.0,1.32,1.31,1.0,36716417.0,32957780.0,3217312.0,4298796.0,33481412.0,260907.0,-4020102.0,-2000172.0,,,1923220.0
ESP,2018-03-31,False,Q3,2018,10-Q,5663161.0,360075.0,317764.0,0.14,0.14,0.25,35787823.0,33130291.0,3083369.0,6906752.0,32704454.0,1112409.0,-2611650.0,-1652170.0,,,632023.0
