symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ESV,2009-09-30,False,Q3,2009,10-Q,425400000.0,175200000.0,149700000.0,1.05,1.05,0.025,6455200000.0,1550800000.0,403000000.0,1017200000.0,5291500000.0,938200000.0,-677900000.0,-21700000.0,,336200000.0,684700000.0
ESV,2010-03-31,False,Q1,2010,10-Q,449400000.0,190000000.0,189800000.0,1.33,1.33,0.025,6782700000.0,1700800000.0,336600000.0,1229400000.0,5699800000.0,144100000.0,-77500000.0,-4800000.0,,336200000.0,167700000.0
ESV,2011-06-30,False,Q2,2011,10-Q,880800000.0,147000000.0,100900000.0,0.59,0.59,0.35,17511400000.0,1566300000.0,1194700000.0,554000000.0,10578300000.0,175800000.0,-2881700000.0,2209100000.0,4917400000.0,3295000000.0,265600000.0
ESV,2010-06-30,False,Q2,2010,10-Q,406300000.0,124500000.0,124800000.0,0.89,0.89,0.35,6921000000.0,1687600000.0,416400000.0,1237100000.0,5773700000.0,343600000.0,-203500000.0,-80800000.0,,336200000.0,336600000.0
ESV,2018-12-31,False,FY,2018,10-K,1705400000.0,-235900000.0,-639700000.0,-1.45,-1.45,0.01,14023700000.0,1309700000.0,528500000.0,275100000.0,8088800000.0,-55700000.0,-304700000.0,188200000.0,666800000.0,,426700000.0
ESV,2011-03-31,False,Q1,2011,10-Q,361500000.0,80300000.0,63600000.0,0.45,0.45,0.35,9665100000.0,3885200000.0,2932400000.0,3432100000.0,5991900000.0,125200000.0,-130500000.0,2386600000.0,,336200000.0,131000000.0
ESV,2009-12-31,False,FY,2009,10-K,1945900000.0,950500000.0,779400000.0,5.48,5.48,0.1,6747200000.0,1652800000.0,484900000.0,1141400000.0,5507100000.0,1221700000.0,-853700000.0,-34200000.0,,336200000.0,861300000.0
ESV,2012-03-31,False,Q1,2012,10-Q,1030700000.0,328600000.0,262700000.0,1.15,1.15,0.375,17948000000.0,1297000000.0,1239000000.0,208900000.0,11087600000.0,547300000.0,-759000000.0,-10600000.0,,3263000000.0,764100000.0
ESV,2010-12-31,False,FY,2010,10-K,421400000.0,626300000.0,572100000.0,4.06,4.06,1.075,7051500000.0,1436700000.0,349000000.0,1050700000.0,5965000000.0,816700000.0,-715700000.0,-192600000.0,240100000.0,336200000.0,875300000.0
ESV,2011-09-30,False,Q3,2011,10-Q,915600000.0,261500000.0,202200000.0,0.89,0.88,0.35,17650200000.0,1514400000.0,1255200000.0,479900000.0,10716100000.0,402000000.0,-3112800000.0,2140700000.0,5124600000.0,3296100000.0,498400000.0
ESV,2011-12-31,False,FY,2011,10-K,458200000.0,794300000.0,593500000.0,3.09,3.08,1.4,17871200000.0,1644700000.0,1323400000.0,430700000.0,10884500000.0,732300000.0,-3355600000.0,2004100000.0,5050100000.0,3288800000.0,741600000.0
ESV,2010-09-30,False,Q3,2010,10-Q,428300000.0,158000000.0,128700000.0,0.91,0.91,0.35,7110100000.0,1525900000.0,477900000.0,905200000.0,5873000000.0,521400000.0,-604000000.0,-131400000.0,,336200000.0,737500000.0
ESV,2012-06-30,False,Q2,2012,10-Q,1065900000.0,407300000.0,337800000.0,1.47,1.47,0.375,18158200000.0,1460500000.0,1151200000.0,226700000.0,11415400000.0,1010600000.0,-985500000.0,-230300000.0,,3274000000.0,1047100000.0
ESV,2012-09-30,False,Q3,2012,10-Q,1026700000.0,415100000.0,339900000.0,1.48,1.48,0.375,18234300000.0,1410600000.0,914900000.0,159800000.0,11693900000.0,1587600000.0,-1517000000.0,-343400000.0,,3274000000.0,1583800000.0
ESV,2013-03-31,False,Q1,2013,10-Q,844900000.0,402300000.0,313800000.0,1.36,1.36,0.5,18592500000.0,1784900000.0,845400000.0,561800000.0,12068600000.0,342100000.0,-167400000.0,-115700000.0,,3274000000.0,168300000.0
ESV,2012-12-31,False,FY,2012,10-K,3858000000.0,1565200000.0,1169700000.0,5.05,5.04,1.5,18565300000.0,1723900000.0,989700000.0,487100000.0,11852100000.0,2200200000.0,-1844500000.0,-435500000.0,4845900000.0,3274000000.0,1802200000.0
ESV,2009-06-30,False,Q2,2009,10-Q,511600000.0,268500000.0,200300000.0,1.41,1.41,0.025,6349000000.0,1537400000.0,455000000.0,882000000.0,5128600000.0,586200000.0,-464900000.0,-18400000.0,,336200000.0,471500000.0
ESV,2013-09-30,False,Q3,2013,10-Q,891400000.0,456300000.0,378800000.0,1.62,1.62,0.5,19142900000.0,1517100000.0,940500000.0,325400000.0,12602600000.0,1432400000.0,-1228900000.0,-379900000.0,,3274000000.0,1282700000.0
ESV,2014-03-31,False,Q1,2014,10-Q,773700000.0,384500000.0,292500000.0,1.25,1.25,0.75,19521200000.0,1472400000.0,952900000.0,122500000.0,12930800000.0,416600000.0,-270800000.0,-189000000.0,,3274000000.0,274100000.0
ESV,2013-06-30,False,Q2,2013,10-Q,1046100000.0,452000000.0,360900000.0,1.55,1.55,0.5,18806600000.0,1783500000.0,861300000.0,489800000.0,12317800000.0,784200000.0,-547200000.0,-249200000.0,,3274000000.0,598600000.0
ESV,2013-12-31,False,FY,2013,10-K,3471500000.0,1758600000.0,1418200000.0,6.08,6.07,2.25,19472900000.0,1535200000.0,1047300000.0,165600000.0,12798900000.0,1980300000.0,-1740200000.0,-577100000.0,4766400000.0,3274000000.0,1779200000.0
ESV,2014-12-31,False,FY,2014,10-K,3490900000.0,-2400900000.0,-3902600000.0,-16.88,-16.88,3.0,16059900000.0,2934800000.0,1104600000.0,664800000.0,8222900000.0,2057900000.0,-2106900000.0,442700000.0,5920400000.0,276100000.0,1568800000.0
