symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ETH,2011-12-31,False,Q2,2012,10-Q,183275000.0,13938000.0,8077000.0,0.28,0.28,0.0,602371000.0,247723000.0,130606000.0,66352000.0,290434000.0,10965000.0,-6125000.0,-16709000.0,,,11392000.0
ETH,2018-12-31,False,Q2,2019,10-Q,197152000.0,16128000.0,12190000.0,0.46,0.45,0.0,534491000.0,223096000.0,140236000.0,38763000.0,369665000.0,31475000.0,-4859000.0,-10173000.0,,,4954000.0
ETH,2011-09-30,False,Q1,2012,10-Q,184921000.0,13638000.0,6770000.0,0.24,0.23,0.0,622732000.0,267431000.0,149241000.0,79376000.0,360465000.0,6252000.0,-353000.0,-5054000.0,,,3375000.0
ETH,2012-03-31,False,Q3,2012,10-Q,175861000.0,7787000.0,27548000.0,0.95,0.94,0.0,633431000.0,268431000.0,143934000.0,73130000.0,317720000.0,27833000.0,-15425000.0,-18538000.0,,,19836000.0
ETH,2012-09-30,False,Q1,2013,10-Q,187437000.0,17954000.0,10064000.0,0.35,0.35,0.0,644714000.0,280969000.0,143336000.0,73913000.0,329666000.0,6689000.0,-9943000.0,-2609000.0,154469000.0,,8318000.0
ETH,2012-12-31,False,Q2,2013,10-Q,191251000.0,17357000.0,9846000.0,0.34,0.34,0.0,615376000.0,248916000.0,116358000.0,57267000.0,325661000.0,18180000.0,-21333000.0,-19408000.0,155337000.0,,13565000.0
ETH,2013-09-30,False,Q1,2014,10-Q,181659000.0,15944000.0,9034000.0,0.31,0.31,0.0,635572000.0,281383000.0,144883000.0,91224000.0,340941000.0,21145000.0,-23000.0,-2583000.0,131197000.0,,3305000.0
ETH,2012-06-30,False,FY,2012,10-K,729373000.0,49697000.0,49694000.0,1.72,1.71,0.3,644788000.0,282792000.0,151077000.0,79721000.0,321868000.0,37701000.0,-16157000.0,-20878000.0,154500000.0,25400000.0,22884000.0
ETH,2013-03-31,False,Q3,2013,10-Q,168144000.0,8660000.0,4374000.0,0.15,0.15,0.0,638306000.0,277786000.0,135656000.0,83645000.0,329150000.0,44445000.0,-22155000.0,-18381000.0,155305000.0,,16545000.0
ETH,2013-06-30,False,FY,2013,10-K,729083000.0,60437000.0,32478000.0,1.13,1.11,0.77,617285000.0,260570000.0,132939000.0,72601000.0,334357000.0,61301000.0,-21601000.0,-46566000.0,131289000.0,25400000.0,19005000.0
ETH,2013-12-31,False,Q2,2014,10-Q,193104000.0,19850000.0,11555000.0,0.4,0.39,0.0,625281000.0,269952000.0,124091000.0,77603000.0,349960000.0,22606000.0,-12107000.0,-5519000.0,131103000.0,,8558000.0
ETH,2014-03-31,False,Q3,2014,10-Q,173061000.0,9552000.0,5258000.0,0.18,0.18,0.0,644900000.0,297914000.0,140856000.0,95804000.0,352874000.0,40019000.0,-8319000.0,-8443000.0,131009000.0,,12588000.0
ETH,2015-12-31,False,Q2,2016,10-Q,207535000.0,26507000.0,16534000.0,0.58,0.58,0.0,578810000.0,248934000.0,120892000.0,57031000.0,380402000.0,21039000.0,-3055000.0,-36817000.0,59343000.0,,7374000.0
ETH,2016-03-31,False,Q3,2016,10-Q,190583000.0,16009000.0,10178000.0,0.37,0.36,0.0,579069000.0,249682000.0,130887000.0,48815000.0,380177000.0,38602000.0,-7138000.0,-58625000.0,48530000.0,,13824000.0
ETH,2014-06-30,False,FY,2014,10-K,746659000.0,69636000.0,42931000.0,1.48,1.47,0.4,654434000.0,305629000.0,136047000.0,109176000.0,367467000.0,59889000.0,-12058000.0,-11252000.0,130912000.0,25400000.0,19305000.0
ETH,2014-12-31,False,Q2,2015,10-Q,197067000.0,17660000.0,10038000.0,0.35,0.34,0.0,652067000.0,307205000.0,174936000.0,112942000.0,380987000.0,10460000.0,1262000.0,-7567000.0,76559000.0,,13115000.0
ETH,2015-03-31,False,Q3,2015,10-Q,173259000.0,9226000.0,2536000.0,0.09,0.09,0.0,609038000.0,265343000.0,136553000.0,58436000.0,376123000.0,22451000.0,-723000.0,-71883000.0,77822000.0,,17528000.0
ETH,2014-09-30,False,Q1,2015,10-Q,190706000.0,20470000.0,11879000.0,0.41,0.41,0.0,670179000.0,323800000.0,144576000.0,114308000.0,375215000.0,6808000.0,1523000.0,-3046000.0,131136000.0,,5410000.0
ETH,2015-06-30,False,FY,2015,10-K,754600000.0,65934000.0,37142000.0,1.29,1.27,0.5,607308000.0,270674000.0,140969000.0,76182000.0,370535000.0,55106000.0,3428000.0,-90963000.0,77568000.0,25400000.0,19787000.0
ETH,2017-03-31,False,Q3,2017,10-Q,180501000.0,3920000.0,2282000.0,0.08,0.08,0.0,579903000.0,252948000.0,122780000.0,63677000.0,401109000.0,53769000.0,-13227000.0,-29535000.0,,,15112000.0
ETH,2016-12-31,False,Q2,2017,10-Q,194672000.0,17094000.0,10700000.0,0.39,0.38,0.0,574505000.0,248416000.0,111808000.0,57149000.0,401484000.0,27475000.0,-9387000.0,-13475000.0,,,11254000.0
ETH,2016-09-30,False,Q1,2017,10-Q,193287000.0,18337000.0,11529000.0,0.42,0.41,0.0,591593000.0,262958000.0,134696000.0,69254000.0,395792000.0,27516000.0,-5622000.0,-5261000.0,41088000.0,,7440000.0
ETH,2015-09-30,False,Q1,2016,10-Q,190391000.0,20900000.0,13147000.0,0.46,0.46,0.0,615092000.0,282871000.0,141471000.0,87008000.0,379551000.0,16054000.0,-728000.0,-4354000.0,76759000.0,,3138000.0
ETH,2017-06-30,False,FY,2017,10-K,763385000.0,57950000.0,36194000.0,1.31,1.29,0.74,568222000.0,243098000.0,126445000.0,57701000.0,400896000.0,78633000.0,-16383000.0,-57343000.0,,25400000.0,17645000.0
ETH,2016-06-30,False,FY,2016,10-K,794202000.0,89179000.0,56637000.0,2.02,2.0,0.62,577409000.0,248204000.0,123347000.0,52659000.0,392202000.0,58369000.0,-12526000.0,-69114000.0,41838000.0,25400000.0,22967000.0
ETH,2017-09-30,False,Q1,2018,10-Q,181302000.0,11549000.0,7415000.0,0.27,0.27,0.0,564426000.0,242108000.0,135747000.0,52728000.0,402272000.0,17632000.0,-2318000.0,-20394000.0,,,2653000.0
ETH,2018-03-31,False,Q3,2018,10-Q,181419000.0,3873000.0,2616000.0,0.1,0.09,0.0,564557000.0,244014000.0,137209000.0,44977000.0,401399000.0,35090000.0,-8396000.0,-39548000.0,,,9121000.0
ETH,2017-12-31,False,Q2,2018,10-Q,198481000.0,17538000.0,14862000.0,0.54,0.54,0.0,555012000.0,236456000.0,126779000.0,41987000.0,402694000.0,14155000.0,-4286000.0,-25640000.0,,,4981000.0
ETH,2018-06-30,False,FY,2018,10-K,766784000.0,48867000.0,36371000.0,1.33,1.32,1.07,530433000.0,214425000.0,121260000.0,22363000.0,383870000.0,42497000.0,-10912000.0,-66891000.0,,25400000.0,18773000.0
ETH,2018-09-30,False,Q1,2019,10-Q,187785000.0,11799000.0,8840000.0,0.33,0.33,0.0,550954000.0,236292000.0,136125000.0,39590000.0,389987000.0,24440000.0,-2745000.0,-4593000.0,,,2777000.0
