symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EVBG,2017-03-31,False,Q1,2017,10-Q,22844000.0,-6193000.0,-6202000.0,-0.23,-0.23,0.0,113959000.0,60400000.0,73997000.0,39679000.0,38025000.0,1459000.0,-22945000.0,568000.0,0.0,30932000.0,223000.0
EVBG,2018-12-31,False,FY,2018,10-K,201700000.0,-42091000.0,-47515000.0,-1.63,-1.63,0.0,262180000.0,162515000.0,120047000.0,59978000.0,42158000.0,3295000.0,-48413000.0,3099000.0,115427000.0,48382000.0,201000.0
EVBG,2016-12-31,False,FY,2016,10-K,76846000.0,-10826000.0,-11286000.0,-0.68,-0.68,0.0,108322000.0,82883000.0,63783000.0,60765000.0,42352000.0,9503000.0,-9020000.0,51470000.0,5000000.0,9676000.0,250000.0
EVBG,2017-12-31,False,FY,2017,10-K,104352000.0,-19285000.0,-19634000.0,-0.7,-0.7,0.0,236413000.0,183461000.0,86962000.0,102754000.0,55991000.0,4863000.0,-71266000.0,108475000.0,115000000.0,31328000.0,1667000.0
EVBG,2018-06-30,False,Q2,2018,10-Q,82463000.0,-15551000.0,-16918000.0,-0.59,-0.59,0.0,251445000.0,152312000.0,101806000.0,102599000.0,52837000.0,-1452000.0,-764000.0,2429000.0,0.0,53048000.0,168000.0
EVBG,2017-06-30,False,Q2,2017,10-Q,25021000.0,-3519000.0,-3437000.0,-0.12,-0.12,0.0,127058000.0,73272000.0,77660000.0,32833000.0,46747000.0,-2359000.0,-37110000.0,11684000.0,0.0,31052000.0,505000.0
EVBG,2016-09-30,False,Q3,2016,10-Q,19932000.0,-2429000.0,-2629000.0,-0.18,-0.18,0.0,106791000.0,84076000.0,61044000.0,62296000.0,44031000.0,6535000.0,-5033000.0,52056000.0,0.0,7839000.0,739000.0
EVBG,2018-03-31,False,Q1,2018,10-Q,30519000.0,-10932000.0,-12342000.0,-0.43,-0.43,0.0,246846000.0,186856000.0,92270000.0,103633000.0,60498000.0,7508000.0,-8128000.0,1241000.0,0.0,31077000.0,136000.0
EVBG,2018-09-30,False,Q3,2018,10-Q,171100000.0,-7199000.0,-8450000.0,-0.29,-0.29,0.0,254588000.0,154804000.0,105699000.0,76271000.0,47723000.0,-776000.0,-27258000.0,2023000.0,0.0,53132000.0,184000.0
EVBG,2017-09-30,False,Q3,2017,10-Q,27312000.0,-4391000.0,-4231000.0,-0.15,-0.15,0.0,130119000.0,76571000.0,80363000.0,23628000.0,47174000.0,4379000.0,-50613000.0,9409000.0,0.0,31343000.0,1337000.0
