symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EVOK,2015-06-30,False,Q2,2015,10-Q,,-3164556.0,-3241163.0,-0.52,-0.52,0.0,10607701.0,10607701.0,3194319.0,9883088.0,4311612.0,-5539254.0,,1266533.0,,,
EVOK,2018-12-31,False,FY,2018,10-K,,-8014685.0,-7566080.0,-0.46,-0.46,0.0,5659773.0,5648222.0,1634453.0,5319004.0,4025320.0,-6978560.0,,4618297.0,,,
EVOK,2015-09-30,False,Q3,2015,10-Q,,-2657446.0,-2735400.0,-0.42,-0.42,0.0,11682680.0,11674683.0,2006204.0,10738817.0,5307727.0,-8043365.0,,4626373.0,,,
EVOK,2013-09-30,False,Q3,2013,10-Q,,-485593.0,-485904.0,-0.41,-0.41,0.0,23738053.0,23738053.0,2637009.0,23738053.0,19222608.0,-1151002.0,,43873021.0,2948238.0,,
EVOK,2014-06-30,False,Q2,2014,10-Q,,-3491865.0,-3547040.0,-0.59,-0.59,0.0,17023161.0,16934702.0,1837015.0,16045799.0,15169257.0,-5068207.0,,-3082685.0,,,
EVOK,2015-03-31,False,Q1,2015,10-Q,,-3445222.0,-3520748.0,-0.58,-0.58,0.0,12621229.0,12574112.0,2499689.0,11692360.0,6433324.0,-2995069.0,,531620.0,,,
EVOK,2014-12-31,False,FY,2014,10-K,,-13150034.0,-13247681.0,-2.2,-2.2,0.0,15301729.0,15248706.0,1871617.0,14155809.0,9188664.0,-11501072.0,,1460190.0,4500000.0,,
EVOK,2016-09-30,False,Q3,2016,10-Q,,-2169435.0,-3025281.0,-0.29,-0.29,0.0,10813125.0,10813125.0,1011643.0,10379882.0,4703078.0,-7338098.0,,9026825.0,,,
EVOK,2016-06-30,False,Q2,2016,10-Q,,-2897804.0,-2970498.0,-0.41,-0.41,0.0,4636372.0,4636372.0,6163285.0,4129051.0,-1526913.0,-4920127.0,,358023.0,,,
EVOK,2016-03-31,False,Q1,2016,10-Q,,-3152829.0,-3225409.0,-0.45,-0.45,0.0,6872416.0,6872416.0,2434319.0,6099698.0,757176.0,-2690201.0,,98744.0,,,
EVOK,2015-12-31,False,FY,2015,10-K,,-11818303.0,-12121463.0,-1.87,-1.87,0.0,9532428.0,9524431.0,1834440.0,8691155.0,3464929.0,-10495838.0,,5031184.0,4500000.0,,
EVOK,2013-12-31,False,FY,2013,10-K,,-2601828.0,-2836465.0,-1.2,-1.2,0.0,24986458.0,24430953.0,2284906.0,24196691.0,21183261.0,-3040270.0,,27120948.0,2954053.0,,
EVOK,2014-03-31,False,Q1,2014,10-Q,,-2922595.0,-2955484.0,-0.49,-0.49,0.0,22567250.0,22011745.0,2943944.0,21835498.0,18451087.0,-2000617.0,,-360576.0,,,
EVOK,2018-03-31,False,Q1,2018,10-Q,,-2417611.0,-1982786.0,-0.13,-0.13,0.0,5584859.0,5584859.0,1195593.0,5405944.0,4389266.0,-2817966.0,,544643.0,,,
EVOK,2017-09-30,False,Q3,2017,10-Q,,-3701745.0,-5243061.0,-0.34,-0.34,0.0,10759247.0,10747696.0,2648659.0,10412968.0,2059687.0,-5983204.0,,7389101.0,,,
EVOK,2017-06-30,False,Q2,2017,10-Q,,-2889548.0,-1625969.0,-0.11,-0.19,0.0,13155763.0,13144212.0,1879011.0,12556280.0,6769989.0,-3783030.0,,7332239.0,,,
EVOK,2017-03-31,False,Q1,2017,10-Q,,-1980256.0,-5052039.0,-0.37,-0.37,0.0,14838073.0,14826522.0,1135811.0,14654998.0,7933587.0,-1686812.0,,7334739.0,,,
EVOK,2014-09-30,False,Q3,2014,10-Q,,-3821173.0,-3825354.0,-0.63,-0.63,0.0,13390920.0,13308367.0,1685467.0,12176682.0,11690739.0,-8980199.0,,-3039810.0,,,
EVOK,2016-12-31,False,FY,2016,10-K,,-10544425.0,-10748531.0,-1.15,-1.15,0.0,9294330.0,9282779.0,1411673.0,9007071.0,3787638.0,-8707742.0,,9023658.0,,,
EVOK,2017-12-31,False,FY,2017,10-K,,-11230682.0,-12229512.0,-0.82,-0.9,0.0,7941864.0,7930313.0,2074838.0,7679267.0,2165749.0,-8716905.0,,7389101.0,,,
EVOK,2018-09-30,False,Q3,2018,10-Q,,-1522557.0,-1519468.0,-0.09,-0.09,0.0,7018426.0,7006875.0,1610677.0,6567918.0,5407749.0,-5729646.0,,4618297.0,,,
EVOK,2018-06-30,False,Q2,2018,10-Q,,-2306096.0,-2303193.0,-0.14,-0.14,0.0,6626312.0,6626312.0,1265934.0,6531079.0,5360378.0,-4579708.0,,3431520.0,,,
