symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EXP,2011-09-30,True,Q2,2011,10-Q,134819000.0,16768000.0,6025000.0,0.14,0.14,0.1,990133000.0,192839000.0,77474000.0,10692000.0,461435000.0,27544000.0,7516000.0,-11210000.0,,132515000.0,7516000.0
EXP,2010-06-30,False,Q1,2011,10-Q,130794000.0,23660000.0,10527000.0,0.24,0.24,0.1,1008889000.0,166584000.0,79633000.0,2997000.0,453106000.0,15618000.0,-2640000.0,-11397000.0,,,3240000.0
EXP,2018-12-31,False,Q3,2019,10-Q,333285000.0,89928000.0,57715000.0,1.25,1.24,0.1,2355416000.0,409473000.0,181032000.0,17060000.0,1420337000.0,294100000.0,-124165000.0,-200943000.0,245000000.0,205211000.0,126446000.0
EXP,2011-03-31,False,FY,2011,10-K,462180000.0,60650000.0,14849000.0,0.34,0.34,0.4,982810000.0,174626000.0,70350000.0,1874000.0,459564000.0,44083000.0,-16624000.0,-27001000.0,,,17224000.0
EXP,2011-12-31,False,Q3,2011,10-Q,123596000.0,19783000.0,2897000.0,0.07,0.07,0.1,985149000.0,183937000.0,83869000.0,3679000.0,462191000.0,43742000.0,-22944000.0,-18993000.0,280936000.0,132515000.0,22944000.0
EXP,2011-06-30,True,Q1,2011,10-Q,119807000.0,9742000.0,807000.0,0.02,0.02,0.1,985211000.0,181004000.0,64110000.0,3478000.0,458457000.0,1141000.0,-3812000.0,4275000.0,,132515000.0,3812000.0
EXP,2010-09-30,False,Q2,2011,10-Q,132135000.0,17884000.0,9630000.0,0.22,0.22,0.1,1000535000.0,170829000.0,84126000.0,8001000.0,466318000.0,26963000.0,-4867000.0,-15511000.0,,,5467000.0
EXP,2011-06-30,False,Q1,2011,10-Q,119807000.0,12742000.0,3057000.0,0.07,0.07,0.1,985211000.0,181004000.0,64860000.0,3478000.0,458757000.0,1141000.0,-3812000.0,4275000.0,,132515000.0,3812000.0
EXP,2012-03-31,False,FY,2012,10-K,495023000.0,69361000.0,18732000.0,0.42,0.42,0.4,985145000.0,191841000.0,77043000.0,6481000.0,472511000.0,60852000.0,-26099000.0,-30146000.0,266936000.0,132515000.0,26099000.0
EXP,2012-09-30,False,Q2,2013,10-Q,164659000.0,41305000.0,17953000.0,0.4,0.4,0.1,974888000.0,193807000.0,93464000.0,8149000.0,502111000.0,66760000.0,-8628000.0,-56464000.0,216936000.0,132515000.0,8628000.0
EXP,2010-12-31,False,Q3,2011,10-Q,103870000.0,15228000.0,5496000.0,0.13,0.12,0.1,990443000.0,159783000.0,66383000.0,4053000.0,468779000.0,38112000.0,-11143000.0,-24332000.0,,,11743000.0
EXP,2011-09-30,False,Q2,2011,10-Q,134819000.0,16768000.0,6025000.0,0.14,0.14,0.1,990133000.0,192839000.0,78224000.0,10692000.0,461735000.0,27544000.0,7516000.0,-11210000.0,,132515000.0,7516000.0
EXP,2013-06-30,False,Q1,2014,10-Q,227044000.0,55065000.0,30101000.0,0.61,0.6,0.1,1515217000.0,298381000.0,102207000.0,6744000.0,725452000.0,18861000.0,-21237000.0,5223000.0,497259000.0,132515000.0,21237000.0
EXP,2012-06-30,False,Q1,2013,10-Q,154042000.0,29095000.0,13978000.0,0.31,0.31,0.1,980396000.0,194818000.0,77661000.0,3707000.0,483942000.0,19092000.0,-4685000.0,-17181000.0,253936000.0,132515000.0,4685000.0
EXP,2012-12-31,False,Q3,2013,10-Q,164743000.0,39890000.0,17980000.0,0.37,0.37,0.1,1456820000.0,243323000.0,110452000.0,9247000.0,687547000.0,106953000.0,-477252000.0,373065000.0,103000000.0,132515000.0,28832000.0
EXP,2013-03-31,False,FY,2013,10-K,642562000.0,134520000.0,57744000.0,1.24,1.22,0.4,1476233000.0,261271000.0,100229000.0,3897000.0,696170000.0,124407000.0,-506431000.0,379441000.0,489259000.0,132515000.0,53011000.0
