symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
EXPR,2018-11-03,False,Q3,2018,10-Q,514961000.0,10202000.0,7967000.0,0.11,0.11,0.0,1194266000.0,598491000.0,352980000.0,161189000.0,611037000.0,18315000.0,-32402000.0,-60946000.0,0.0,,32402000.0
EXPR,2013-11-02,False,Q3,2013,10-Q,502992000.0,36730000.0,19267000.0,0.23,0.23,0.0,1168726000.0,592938000.0,351118000.0,181553000.0,422183000.0,37640000.0,-78841000.0,-33323000.0,199086000.0,,69000.0
EXPR,2012-04-28,False,Q1,2012,10-Q,495952000.0,74557000.0,42073000.0,0.47,0.47,0.0,879075000.0,426673000.0,259003000.0,180439000.0,326540000.0,45622000.0,-17117000.0,-466000.0,198611000.0,,185000.0
EXPR,2012-07-28,False,Q2,2012,10-Q,454879000.0,31196000.0,15829000.0,0.18,0.18,0.0,875375000.0,401356000.0,271431000.0,130174000.0,297299000.0,74282000.0,-45846000.0,-50624000.0,198685000.0,,185000.0
EXPR,2013-05-04,False,Q1,2013,10-Q,508524000.0,58694000.0,32437000.0,0.38,0.38,0.0,1036863000.0,516528000.0,275836000.0,244214000.0,407607000.0,5361000.0,-16853000.0,-717000.0,198923000.0,,0.0
EXPR,2012-10-27,False,Q3,2012,10-Q,468527000.0,34402000.0,17422000.0,0.2,0.2,0.0,951354000.0,451913000.0,313719000.0,102438000.0,303095000.0,89142000.0,-73564000.0,-65543000.0,198760000.0,,210000.0
EXPR,2014-02-01,False,FY,2013,10-K,2219125000.0,214259000.0,116539000.0,1.38,1.37,0.0,1182670000.0,583461000.0,299207000.0,55587000.0,474569000.0,195075000.0,-105462000.0,-33331000.0,199170000.0,,94000.0
EXPR,2013-02-02,False,FY,2012,10-K,2148069000.0,251563000.0,139267000.0,1.6,1.6,0.0,1019199000.0,515862000.0,312776000.0,256297000.0,371162000.0,269364000.0,-99884000.0,-65551000.0,198843000.0,,210000.0
EXPR,2014-05-03,False,Q1,2014,10-Q,460652000.0,14991000.0,5083000.0,0.06,0.06,0.0,1172144000.0,554258000.0,264710000.0,124000.0,483095000.0,-31187000.0,-26937000.0,-3676000.0,199257000.0,,26937000.0
EXPR,2014-11-01,False,Q3,2014,10-Q,497608000.0,30524000.0,14585000.0,0.17,0.17,0.0,1278070000.0,640049000.0,332893000.0,217814000.0,511779000.0,-1993000.0,-87581000.0,-4539000.0,199435000.0,,1010000.0
